Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,48
Role 2,75
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1718.85233603408,5.111948728561401,12209.470664024353,259546.7027411461,0.0,0.0,0.0,0.0,31973.64238410596,0.0,248580.0,4828020.0,9.549179644633778,0.02839971515867445,67.83039257791307,1441.9261263397004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151
Amend Request for Quotation,604.8703287595725,0.0,1276.460232257843,100408.47457408905,0.0,0.0,0.0,0.0,15255.903614457831,0.0,158460.0,2532480.0,3.360390715330957,0.0,7.091445734765794,557.8248587449389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166
Analyze Purchase Requisition,393.69403309600295,240.38504314422607,539.5350723266602,118501.9039618969,0.0,0.0,0.0,0.0,7732.624584717608,0.0,158460.0,2327520.0,2.187189072755571,1.335472461912367,2.9974170684814454,658.3439108994269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301
Analyze Quotation Comparison Map,1169.8761215655009,367.797837972641,2031.660701751709,175481.41823482513,0.0,0.0,0.0,0.0,30789.2,0.0,158460.0,4618380.0,6.499311786475005,2.0433213220702275,11.287003898620606,974.8967679712507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,66300.18148590944,313.0827007293701,272333.03560113907,2.0950857349547386E7,64882.286321139785,0.0,271497.6253256798,2.0502802477480173E7,1549193.5508266476,0.0,6380220.0,4.8954516206122065E8,7.87951277147366,0.0,16.904956249396005,2489.9260357856765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316
Approve Purchase Order for payment,54031.77266935825,60.0,272143.9192099571,8104765.900403738,53971.77266935825,0.0,272083.9192099571,8095765.900403738,1265044.8,0.0,6380220.0,1.8975672E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,4193.2665580209095,0.0,20621.166113615036,628989.9837031364,4193.2665580209095,0.0,20621.166113615036,628989.9837031364,107261.2,0.0,504300.0,1.608918E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,129831.62084311963,447.80957102775574,275797.0007584095,1.9474743126467943E7,129262.95835223833,0.0,275069.07711553574,1.938944375283575E7,3034383.2,0.0,6477480.0,4.5515748E8,3.15923606045158,2.0540233347151013,4.319795809851753,473.885409067737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1838.7571692196527,312.3012866973877,3413.429756641388,275813.5753829479,0.0,0.0,0.0,0.0,57588.61808475812,0.0,157757.33550786972,8638292.712713718,10.215317606775852,1.7350071483188205,18.96349864800771,1532.2976410163778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,122964.94819985867,8572.753720760345,285318.3113987446,1.84447422299788E7,110343.27372712453,0.0,272164.7864615917,1.655149105906868E7,2880307.6,201720.0,6704400.0,4.3204614E8,70.12041373741185,12.730721056461334,120.76988501416312,10518.062060611777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,340.58316317717237,7.0190815925598145,1170.5871222019196,51087.47447657585,0.0,0.0,0.0,0.0,7663.2,0.0,158460.0,1149480.0,3.7842573686352465,0.07798979547288683,13.006523580021328,567.638605295287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,371964.1808333778,17062.100865602493,881267.4142582417,5.5794627125006676E7,274909.70652803103,0.0,706815.2919328213,4.1236455979204655E7,8712545.6,327900.0,2.050608E7,1.30688184E9,539.1915239185932,67.38623529540168,978.1348151564598,80878.728587789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301
Pay Invoice,5146.760739666621,241.72202324867249,20718.20273423195,772014.1109499931,4579.996102286975,0.0,20042.601723909378,686999.4153430462,119003.6,0.0,507960.0,1.785054E7,3.148692429886923,1.3429001291592917,4.997115850448608,472.30386448303847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,312.8,0.0,43260.0,46920.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,655.0575968726477,124.26223540306091,18249.047234773636,98258.63953089714,387.5754200251897,0.0,17892.54355454445,58136.31300377846,13448.8,0.0,507960.0,2017320.0,1.4860120935969885,0.6727090266015795,2.329511460993025,222.90181403954827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,319844.96039732295,0.0,714914.472164154,4.7976744059598446E7,319844.96039732295,0.0,714914.472164154,4.7976744059598446E7,7491543.6,0.0,1.674852E7,1.12373154E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,84819.47109538237,639.025402545929,259295.6286008358,1.2722920664307356E7,83448.66063640118,0.0,258216.12161684036,1.2517299095460176E7,1982349.6,0.0,6102780.0,2.9735244E8,7.615613661006647,1.7476683603392706,14.482444426748488,1142.3420491509971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,179648.98701860587,18693.53399848938,325140.0218074322,2.694734805279088E7,144808.39923499903,0.0,274843.1584353447,2.1721259885249853E7,4207054.4,425160.0,7612320.0,6.3105816E8,193.558821020038,79.55025605095757,292.381690870391,29033.823153005702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,15211.957869858355,189.51037430763245,75853.76974248886,1125684.8823695183,3574.4915821101213,0.0,19274.86714577675,264512.377076149,351167.02702702704,0.0,1837320.0,2.598636E7,64.6525904874902,1.0528354128201802,385.789003513919,4784.291696074275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4322540.083374262,3.4837636239180796E7,4.449778975297189E7
Process Cycle Time excluding out of timetable hours (s),181258.8922328949,1426876.4210960309,1819846.947528839
Process Waiting Time (s),118437.15160059929,1264199.3353228506,1649141.0581190586
Accumulated Process Duration (s),4322540.083374262,3.4837636736319736E7,4.449778975297189E7
Cost,351.0062074581782,905.6612838684985,1674.5885823369026


Process Cycle Time (s) distribution
From,To,Count
4322540,8340064,2
8340065,12357589,5
12357590,16375114,11
16375115,20392639,4
20392640,24410164,4
24410165,28427689,6
28427690,32445214,8
32445215,36462739,14
36462740,40480264,8
40480265,44497789,88

Process Waiting Time (s) distribution
From,To,Count
118437,271507,4
271508,424578,10
424579,577649,5
577650,730720,4
730721,883791,5
883792,1036862,5
1036863,1189933,8
1189934,1343004,14
1343005,1496075,22
1496076,1649146,73

Accumulated Process Duration (s) distribution
From,To,Count
4322540,8340064,2
8340065,12357589,5
12357590,16375114,11
16375115,20392639,4
20392640,24410164,4
24410165,28427689,6
28427690,32445214,8
32445215,36462739,14
36462740,40480264,8
40480265,44497789,88

Process Cost distribution
From,To,Count
351,483,12
484,616,18
617,749,23
750,882,15
883,1015,20
1016,1148,23
1149,1281,26
1282,1414,12
1415,1547,0
1548,1680,1

In-timetable Cycle time (s) distribution
From,To,Count
181258,345116,2
345117,508975,5
508976,672834,11
672835,836693,4
836694,1000552,4
1000553,1164411,6
1164412,1328270,8
1328271,1492129,14
1492130,1655988,8
1655989,1819847,88



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0216118894260645E7,419677.8942606449,243134.42081069946,982.9007769756848
2,9696868.355766296,397147.374383688,240855.96664452553,870.6128730283845
3,4322540.083374262,181258.8922328949,118437.15160059929,351.0062074581782
4,3.657382901519966E7,1500238.1284182072,1291967.1971783638,1157.7879950165748
5,4504009.658719778,185512.8427541256,120533.32510066032,361.3208692669868
6,1.240707328134942E7,511918.9037861824,294685.6612250805,1207.5624671710862
7,1.1733537660525084E7,482792.59544301033,293689.0862696171,1050.962527373102
8,1.2713734417646646E7,522312.52565073967,330759.1588792801,1064.9528936651016
9,1.2523676792760134E7,512576.79276013374,303977.9048483372,1160.3026864065064
10,2.4781974247992754E7,1011076.9690644741,768267.35207057,1349.721384114689
11,1.959333514249277E7,800795.8993883133,561296.4287106991,1333.4400026374392
12,1.8629433698478937E7,758778.1199910641,564863.4855833054,1081.8555897222625
13,1.285807678828144E7,524111.4900391102,339651.4213683605,1025.1603738360936
14,1.4267988661260843E7,582718.5791070461,365542.8800497055,1209.3291913204723
15,2.695351636610961E7,1101780.209325552,920068.2987909317,1009.8835027959612
16,3.0670839066840887E7,1255729.2824516296,1028640.6034631729,1262.9320369998613
17,2.2271040905311346E7,914432.8092288971,710177.6908156872,1134.7896527489024
18,1.2573507362049341E7,514858.4510316849,352266.08741497993,908.2716167026097
19,1.0569152446740866E7,433838.19227194786,271957.60763287544,901.8715781582728
20,1.5181824191336155E7,625625.8988757133,423248.26944565773,1125.7779074006608
21,1.2803095143342733E7,528955.1433427334,431813.0854203701,539.7628657857579
22,1.2082025474493742E7,493714.22333431244,382179.7009384632,620.3487521078852
23,4.240895494635391E7,1739906.9982521534,1530838.1413180828,1162.693305497699
24,1.3914942221784353E7,571274.8133869171,473941.2004766464,542.305655462212
25,1.6105796002639055E7,657900.6973130703,558612.483048439,554.0877701030838
26,2.4558314125831366E7,1004111.613437891,907168.1982364655,541.8794649998348
27,4.251253074627876E7,1741134.0334672928,1634321.1355252266,596.6172823746999
28,3.205779292445922E7,1315560.0125570297,1170666.2060883045,806.9502329005137
29,2.3918341881622076E7,979013.2769596577,839695.498647213,774.7087183700667
30,3.2893590510689974E7,1343738.1757457256,1206429.3041284084,768.2561048534183
31,4.255611616695213E7,1739937.7019555569,1517979.15914011,1235.6230789528952
32,1.9459117312962055E7,794921.203142643,587118.4950256348,1155.5635060707727
33,2.5062982673365116E7,1023245.0695052147,812401.663154602,1177.2452778657278
34,1.597939261980629E7,653990.0975072384,579891.1666693687,411.8002149224281
35,2.1072723638869762E7,865299.281791687,747344.8779871464,656.0666063865025
36,2.3819700230855465E7,978326.4147686958,788212.8401153088,1058.2024147060179
37,3.279568861127734E7,1343737.6537725925,1209336.5823516846,750.130153184467
38,4.275116174644947E7,1755424.020862341,1514655.3053159714,1339.2382153444817
39,1.711952594931078E7,704017.9575564861,602397.2549471855,568.0674624390074
40,3.546284092797065E7,1451788.7583179474,1333003.8985204697,662.7408663895396
41,3.661307766203189E7,1499275.726477623,1259373.2318792343,1334.7019248339864
42,3.2971752547377825E7,1352063.77318573,1268889.8424999714,465.2829620811674
43,4.246223535349727E7,1738367.0492911339,1512637.0059981346,1260.5590578622287
44,3.178062379665351E7,1305739.5977172852,1082207.8373456001,1246.1217743794123
45,4.225850147589612E7,1731895.853714466,1636039.4841806889,533.8172629965677
46,3.516306558718634E7,1441272.3495647907,1330201.1542925835,618.2729135407342
47,3.688975162504125E7,1510438.5949852467,1442576.8370790482,377.666287765238
48,4.231717855499363E7,1731721.7931444645,1649141.0581190586,461.3349477291107
49,4.220296799093604E7,1728757.7888886929,1547250.8550403118,1009.8341675096087
50,2.6306168229315042E7,1081403.8240628242,914462.2778840065,931.7964861459202
51,4.227727099032211E7,1733832.872549057,1501747.7540581226,1289.9646357006495
52,2.9033768160027504E7,1192748.064757824,1004880.634873867,1045.4019263174798
53,3.291805143734765E7,1347955.1427736282,1210273.0917870998,769.1185348841881
54,3.0213056650446177E7,1232816.1026775837,1123809.3898348808,606.5266543096966
55,3.581281707315111E7,1464263.0111422539,1271036.6686136723,1076.7285443372193
56,2.7589660606279135E7,1126801.3463037014,1053594.5519423485,408.1155761811468
57,3.1649788151417017E7,1295701.5294184685,1151208.981199503,804.4499372628002
58,4.207781344161105E7,1722522.6528372765,1498863.2814617157,1244.909880990452
59,4.216598106326938E7,1727384.6877558231,1567371.9936552048,890.7632228533427
60,4.204815767735696E7,1720823.256866455,1533775.4913020134,1040.387045970228
61,3.36705168008132E7,1380226.1180222034,1203982.4146244526,980.9604809628594
62,2.910861282045412E7,1195095.4808351994,1108507.3581337929,486.8375311242209
63,3.0012399502735853E7,1230359.0816028118,1129209.6874578,563.8470595889622
64,3.452225587282133E7,1416593.9866876602,1174711.0517640114,1344.4459163758488
65,3.793030390889311E7,1556732.4500334263,1328389.6975741386,1268.6922369228469
66,4.206496192137885E7,1720988.7217793465,1499266.2110292912,1233.7743081053095
67,3.3224494604652643E7,1360706.655049324,1232456.9964766502,713.3533604873551
68,4.203837768206334E7,1718953.4534947872,1602072.9435389042,650.907835106055
69,3.7791674816292286E7,1546417.263439417,1347153.523576498,1107.4192624025875
70,4.174982631916475E7,1710551.779927969,1462958.2533445358,1375.9003182172773
71,3.361124806955242E7,1378484.5612933636,1272526.6193487644,588.9871957924632
72,4.198279892243338E7,1715948.9707288742,1488091.4906578064,1270.3733999252318
73,4.2042770256528616E7,1717890.9064016342,1500532.2598838806,1209.5859972106084
74,4.316424059361172E7,1765397.6392638683,1572842.0137434006,1071.515055607425
75,3.536256462316394E7,1445848.5314445496,1346772.518986702,550.79974686967
76,4.1925230191079855E7,1714328.832439661,1517659.5891757011,1092.9222592327328
77,3.576171358426523E7,1462378.7237417698,1323617.8901922703,771.7157263305453
78,3.774639418471813E7,1548104.460482359,1428527.4684824944,665.5739739603467
79,4.067536690289593E7,1666603.5415780544,1459165.6192052364,1154.8335172600214
80,4.187142407267451E7,1716618.6523840427,1481300.0144851208,1309.3246574388609
81,4.1754777367592335E7,1711214.3622233868,1594738.581082344,647.5295827454993
82,3.569290601810861E7,1463591.1085095406,1390903.3862028122,404.42554399834734
83,4.172849833643937E7,1709472.7535221577,1605158.8556523323,582.5399081177183
84,4.1813601589122295E7,1711280.896508932,1581577.698666811,721.6989737616645
85,4.059104293084049E7,1662820.776896,1516249.4814674854,816.8032006356452
86,4.186017031422806E7,1713903.1263873577,1486186.2697703838,1269.4085357507067
87,3.8219186977849245E7,1566942.1496834755,1409497.8791337013,876.3493827237024
88,4.183190632644796E7,1713588.8621399403,1469217.5906980038,1359.4363486713833
89,4.174398938330579E7,1711732.9702854156,1590449.9307460785,676.8530300127137
90,4.162987403134251E7,1705754.0313425064,1585298.2551922798,671.8471964796385
91,4.1715653109758854E7,1707811.8998086452,1515622.6894466877,1068.8652308437559
92,4.170245061429167E7,1708587.3641328812,1471430.841874361,1319.0345812214746
93,4.176419506159091E7,1712286.4840903282,1547268.050356388,921.1979165712992
94,4.1748974118257046E7,1711092.9939439297,1509160.0432553291,1124.2530060556198
95,4.286919251371455E7,1757345.1258170605,1582626.3288059235,970.9073848578665
96,4.072860088765979E7,1666243.5521519184,1563611.776263237,570.8980706122187
97,4.3528828535102606E7,1782065.122043848,1536321.0005197525,1366.2377381470467
98,4.135747653446984E7,1692588.3099458218,1480434.8825674057,1179.2404845595356
99,4.1605283733813286E7,1702237.9969232082,1554779.1121323109,819.9605767673917
100,4.209362127839422E7,1721732.441470623,1497294.4625601768,1246.9640845232539
101,4.449778975297189E7,1819846.947528839,1573607.9607174397,1371.411208934254
102,4.156362187843776E7,1702508.2393603325,1612788.191394806,500.7404858562682
103,4.154802571529269E7,1700986.9248816967,1543614.726022482,876.4190448787477
104,4.1533634342810154E7,1700641.622537613,1510437.9617464542,1058.2347127728992
105,4.152030796722603E7,1701355.3606238365,1529540.7915480137,955.6984072075951
106,3.932990246820736E7,1610896.8896224499,1498318.0445125103,626.1047573486965
107,4.157505930532575E7,1708442.035393238,1597547.4381277561,617.8130412194465
