Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,25
Role 2,43
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1851.4224667794238,1.2237772941589355,9747.838515758514,198102.20394539833,0.0,0.0,0.0,0.0,37780.93457943925,0.0,205380.0,4042560.0,10.285680370996802,0.0067987627453274194,54.15465842088064,1100.5677996966579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Amend Request for Quotation,645.491221751158,3.468003511428833,1331.0799851417542,67131.08706212044,0.0,0.0,0.0,0.0,15831.346153846154,0.0,158460.0,1646460.0,3.58606234306199,0.019266686174604628,7.394888806343078,372.950483678447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
Analyze Purchase Requisition,396.0324183097784,242.37967491149902,538.9707944393158,81978.71059012413,0.0,0.0,0.0,0.0,6457.971014492754,0.0,154860.0,1336800.0,2.2001801017209917,1.346553749508328,2.9942821913295323,455.43728105624524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Analyze Quotation Comparison Map,1226.3889806294442,370.3159427642822,2028.3543503284454,122638.89806294441,0.0,0.0,0.0,0.0,21762.6,0.0,158460.0,2176260.0,6.813272114608023,2.057310793134901,11.268635279602474,681.3272114608023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,39534.0063505722,423.7081253528595,166427.8704044819,8064937.295516729,38111.71963075563,0.0,163138.401409626,7774790.804674149,925535.8823529412,0.0,3966420.0,1.8880932E8,7.914522057596371,0.0,18.27482774919934,1614.5624997496598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
Approve Purchase Order for payment,30706.153757770062,60.0,170647.41449046135,3070615.375777006,30646.153757770062,0.0,170587.41449046135,3064615.375777006,713824.8,0.0,4009680.0,7.138248E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2415.0896287941932,0.0,12439.76526093483,241508.96287941933,2415.0896287941932,0.0,12439.76526093483,241508.96287941933,60558.0,0.0,345840.0,6055800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,80483.51177972794,421.6706759929657,160488.4270823002,8048351.177972794,79902.36459059476,0.0,159853.55331134796,7990236.459059477,1882289.4,0.0,3732300.0,1.8822894E8,3.2285954951842615,2.0108262883292305,4.327765749560462,322.85954951842615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1724.4773668551445,308.9462900161743,3401.8388843536377,172447.73668551445,0.0,0.0,0.0,0.0,58996.364464526174,0.0,158139.93934059143,5899636.446452618,9.580429815861914,1.716368277867635,18.899104913075764,958.0429815861913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,89353.97724472523,5908.60172700882,184631.5073940754,8935397.724472523,76316.89055171012,0.0,170569.62253904343,7631689.055171013,2105355.0,162120.0,4384320.0,2.105355E8,72.42825940563942,13.269637948936886,120.40223950280084,7242.825940563942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,317.4162654471397,2.855372190475464,1294.7433893680573,31741.626544713974,0.0,0.0,0.0,0.0,6485.4,0.0,154860.0,648540.0,3.526847393857107,0.0317263576719496,14.38603765964508,352.6847393857107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,298002.48588147404,17444.46027326584,691284.9928479195,2.98002485881474E7,196142.16761303903,0.0,529217.6053085327,1.96142167613039E7,6980479.8,378300.0,1.62369E7,6.9804798E8,565.8906570468612,96.91366818481022,978.4568901075257,56589.06570468612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Pay Invoice,2609.1604606223104,247.56246781349182,12927.867583036423,260916.04606223106,2010.7834231972695,0.0,12074.890544652939,201078.34231972694,69924.0,0.0,345840.0,6992400.0,3.324316874583563,1.3372564474741617,4.98691538837221,332.4316874583563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,449.5619249391556,120.63815498352051,2387.3491015434265,44956.19249391556,187.5824431037903,0.0,2109.025800704956,18758.24431037903,2989.8,0.0,154860.0,298980.0,1.4554415657520294,0.6702119721306695,2.3021284288830226,145.54415657520295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,219177.5448042226,0.0,535781.7824029922,2.191775448042226E7,219177.5448042226,0.0,535781.7824029922,2.191775448042226E7,5144157.0,0.0,1.266672E7,5.144157E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,52013.96239022494,904.1265423297882,151012.90811014175,5201396.239022493,50589.3240448904,0.0,149254.10656666756,5058932.40448904,1206377.4595403338,0.0,3530580.0,1.2063774595403337E8,7.9146574740807205,0.6755073759290907,12.988445893923442,791.465747408072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,124423.96603109599,21684.6444439888,211126.69487833977,1.2442396603109598E7,92684.27623486042,0.0,170290.710105896,9268427.623486042,2910553.8,425160.0,4968000.0,2.9105538E8,176.33160997908638,80.25342303382025,288.6618346280522,17633.16099790864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11401.923425592076,826.4039752483368,68239.2454931736,627105.7884075642,1723.091623917493,0.0,10425.185289621353,94770.03931546211,257106.54545454544,0.0,1664340.0,1.414086E7,53.77128778708101,1.6017208417256674,379.10691940652,2957.4208282894556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5408035.861590385,2.4256869671376605E7,3.2404578896906137E7
Process Cycle Time excluding out of timetable hours (s),220995.09840011597,993358.1069120812,1327059.0460400581
Process Waiting Time (s),133154.9231390953,828767.7855320787,1101269.5602412224
Accumulated Process Duration (s),5408035.861590385,2.4256869671376605E7,3.2404578896906137E7
Cost,365.12044673628276,916.1701427568861,1554.473753554291


Process Cycle Time (s) distribution
From,To,Count
5408035,8107689,5
8107690,10807344,4
10807345,13506999,5
13507000,16206654,2
16206655,18906309,4
18906310,21605964,5
21605965,24305619,6
24305620,27005274,3
27005275,29704929,64
29704930,32404584,2

Process Waiting Time (s) distribution
From,To,Count
133154,229965,8
229966,326777,1
326778,423589,5
423590,520401,2
520402,617213,5
617214,714025,3
714026,810837,7
810838,907649,3
907650,1004461,41
1004462,1101273,25

Accumulated Process Duration (s) distribution
From,To,Count
5408035,8107689,5
8107690,10807344,4
10807345,13506999,5
13507000,16206654,2
16206655,18906309,4
18906310,21605964,5
21605965,24305619,6
24305620,27005274,3
27005275,29704929,64
29704930,32404584,2

Process Cost distribution
From,To,Count
365,483,11
484,602,7
603,721,12
722,840,8
841,959,16
960,1078,15
1079,1197,9
1198,1316,16
1317,1435,5
1436,1554,1

In-timetable Cycle time (s) distribution
From,To,Count
220995,331601,5
331602,442208,4
442209,552815,5
552816,663422,2
663423,774029,4
774030,884636,5
884637,995243,6
995244,1105850,4
1105851,1216457,63
1216458,1327064,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0004008280117512E7,412887.28011751175,194180.08392381668,1215.819046737088
2,7570566.521331787,313518.7698853016,158900.09599804878,861.2599093437195
3,9582182.341174364,393736.6472327709,186956.20621299744,1152.6485395232835
4,1.5189980142605782E7,622496.7259259224,451739.23349642754,950.3586507969433
5,1.0506460521965742E7,431074.17096734047,198391.26688575745,1293.2013843033048
6,5408035.861590385,220995.09840011597,133154.9231390953,489.4160598887336
7,1.6281903004835367E7,668560.4002404213,549210.988986969,664.62434691853
8,7486556.785475016,310084.5132448673,180016.0481288433,725.7379909767046
9,6821140.992854834,278800.9928548336,157105.9990887642,676.9308368788825
10,7249595.856006622,295822.62259054184,214281.55865621567,454.17245613204113
11,2.458931827844739E7,1002037.4932734966,916339.6416890621,481.3399270772933
12,1.2051472128095627E7,489274.02829527855,377712.6771223545,619.8011474728585
13,2.3747459335553885E7,973483.8525002003,796512.8878083229,985.1395235167611
14,1.8677994479525805E7,763509.0633833408,535444.2651803493,1270.3353633575966
15,1.2613846099100351E7,513548.84201550484,404125.62274336815,609.1246382130516
16,2.315459437883234E7,952163.6456472874,752636.8825039864,1109.5786768012574
17,1.2802631073709965E7,525023.2046120167,391227.088365078,744.5840512315434
18,1.5812345175607681E7,648613.4570498466,466151.01191186905,1017.901706176334
19,1.8823514067994356E7,773643.5081794262,593272.8915629387,1002.6185621142388
20,2.8696903838849306E7,1175428.0978443623,932712.7426855564,1350.1630256599851
21,8468452.6010499,348172.60104990005,273534.2308130264,415.5011738114886
22,2.1589833630499125E7,883795.6580364704,757043.1801183224,704.6685822844506
23,2.7624694628964424E7,1132442.2136604786,874538.3735532761,1433.0771006584166
24,2.6613956780812025E7,1090383.480260849,939716.4166622162,842.3928905791706
25,2.0866514017900467E7,850949.483609438,661808.0188508034,1052.4213484684624
26,2.8789346441093445E7,1175405.4268405437,949113.3542542458,1258.181758484575
27,1.2455447071821213E7,512361.2578253746,402964.3142800331,608.0030891524422
28,1.0887782057757616E7,446528.7395706177,378609.6872873306,378.0940682689349
29,2.8674980381469727E7,1171519.6272742748,962518.5435295105,1161.8506700727671
30,2.8660932389478445E7,1171432.857309103,947068.1672708988,1247.2791784087815
31,2.199174934010482E7,896392.5923867226,816523.8906478882,446.18645291725795
32,2.8374038898921013E7,1164532.9207394123,959268.6784501076,1143.128540652328
33,2.7489611727511406E7,1126342.487261057,954606.6372275352,956.3149315661856
34,2.8679822663985252E7,1174191.3550093174,1016537.485991478,876.2880049069723
35,2.222661519159913E7,909834.4221408367,693155.0004041195,1206.4857601748572
36,2.040123955146098E7,838554.7062585354,615375.5319600105,1242.2251675301127
37,2.9066620367520094E7,1192262.3110339642,1007172.3372673988,1029.950095419089
38,1.8347991357836723E7,755004.6517796516,606148.77926898,828.9097588857013
39,2.8608696879121065E7,1172992.4071569443,1051388.7755451202,676.9634457151095
40,2.2976147617326975E7,940440.0196065903,777254.3099033833,907.2390951434771
41,2.038332022165537E7,836513.8529119492,682339.6202960014,863.7165333628654
42,2.8492368695122242E7,1167151.37453413,997022.7896468639,946.1873577131166
43,2.492298518209696E7,1019840.4769902229,785773.4869709015,1300.8416372643576
44,2.8539532260344744E7,1170257.9979014397,942513.7249305248,1265.8055208259157
45,2.8450703035832405E7,1167520.3264994621,997826.7537415028,943.8775771564907
46,2.851016506256032E7,1168847.9202508926,1092904.7986474037,424.6767849736742
47,2.8497506183245182E7,1166607.001577139,1101269.5602412224,365.12044673628276
48,2.840845744274807E7,1163690.0744080544,1002024.0661025047,905.2887400335736
49,2.8469538278620005E7,1166648.3569889069,971758.0173766613,1084.8405224786866
50,2.180234344223976E7,893678.3868222237,805834.234839201,491.2134520928065
51,2.145386542441559E7,883365.0083622932,797083.3870267868,480.13380712668095
52,2.8093872641556025E7,1157112.6415560246,926494.8305990696,1283.5657216880059
53,2.8337871709434032E7,1155972.5700583458,1070613.708317995,475.36377115514546
54,2.7014213759250164E7,1103622.159891367,964030.4893317223,776.0283784614669
55,2.839258281560874E7,1162916.5441844463,929567.8651194572,1296.609169616964
56,2.914440015927291E7,1190269.759503603,1064258.6234300137,702.2996246165701
57,2.8356612676578045E7,1158675.144742012,987438.9149961472,953.4113999088606
58,2.834246543896532E7,1158605.0054366589,913005.2454483509,1365.3437892569436
59,2.8151933681898355E7,1151391.0453448296,971591.0423576832,1005.5860028849708
60,2.788014456783533E7,1142111.547360897,967184.1981053352,972.5616668634946
61,2.830067181728387E7,1158801.4784548283,1054758.810586214,580.0603019608393
62,2.8285484947938204E7,1157628.6528487206,922785.7781603336,1306.2475457363657
63,2.9481957078197718E7,1208055.7722036839,1043532.0319411755,914.9453177173933
64,2.8259002630735397E7,1159120.4773375988,1026379.9128124714,738.3980568157303
65,3.2404578896906137E7,1327059.0460400581,1048047.6390707493,1554.473753554291
66,2.8231951763778925E7,1156423.0713365078,977197.5944831371,996.4185036963887
67,2.8041367649902344E7,1149108.9799454212,1023324.1006913185,699.3358592033387
68,2.8814249170237303E7,1179401.0615329742,1005705.4363086224,965.2086072007817
69,2.818830429834628E7,1151091.3868353367,994007.6571900845,873.2561811553107
70,2.7570886994258642E7,1127704.0442955494,1005914.8445940018,679.3447166800499
71,2.8087132561214924E7,1149980.251474619,967953.3743243217,1012.4891488406395
72,2.8147366127918243E7,1148603.7995114326,981821.2649855614,928.0505585789681
73,2.8562072602234364E7,1166546.2699613571,948585.2708129883,1213.3494970864722
74,2.8119427474639416E7,1148606.0603263378,958190.538132906,1058.8204563763406
75,2.7928824965521336E7,1141252.3301353455,930276.1158902645,1172.3361151284641
76,2.8090711278958797E7,1147696.0677769184,927584.9589083195,1223.8597756240101
77,2.800305817252493E7,1146046.5702550411,1076662.0512912273,387.1387919147809
78,2.8062253486432314E7,1147161.9080665112,972824.1916368008,971.3898274925021
79,2.7872226311659336E7,1140493.4170722961,1006802.4339728355,743.1011016686757
80,2.803444712844658E7,1147475.638516426,977436.7257950306,946.5778806500967
81,2.794735286255431E7,1146547.3898375034,961207.4598212242,1031.2594261566796
82,2.817510498770523E7,1154178.0629689693,1047382.0684554577,594.8171387288306
83,2.799389572327614E7,1145579.0790846348,1038934.2184514999,597.8666852010621
84,2.7978800213451862E7,1144492.5184824467,955827.7568507195,1050.2536134031084
85,3.099801048342371E7,1273931.1842477322,1023548.9120614529,1393.51253502104
86,2.795138905197692E7,1145047.3353419304,1027498.3184173107,653.7815531134609
87,2.793615658636403E7,1143786.133001089,928207.6326522827,1198.0640427854325
88,2.7923597342463255E7,1145295.3411803246,979108.6783149242,923.6271112985082
89,2.790776688472557E7,1143432.926668644,1038682.5523622036,583.9428990960122
90,2.7896043820493698E7,1143063.8204936981,919786.6526107788,1241.7640152427884
91,2.788286520998764E7,1143037.0498754978,907616.1355917454,1310.3493153823745
92,2.9607240006376028E7,1213481.0451905727,972577.146381855,1339.0418227142757
93,2.907047017103052E7,1194956.3281831741,992785.2825901508,1124.201837380727
94,2.784782194689846E7,1146293.9380488396,996327.2869942188,833.2864900377062
95,2.7824096134762287E7,1140244.355824232,1026357.1678225994,633.179489572843
96,2.7811877482036114E7,1134937.5426955223,930945.731033802,1134.1322216974365
97,2.7621940539641857E7,1128310.5137205124,1055654.2909600735,406.6847547094026
98,2.7783745747040987E7,1134792.789511919,1037175.2816727161,546.3703779207336
99,2.9249868798761368E7,1199027.1181061268,1026636.0799114704,959.2317585600747
100,2.8283082348368168E7,1154081.1064224243,955775.9817621708,1104.4563301470546
