Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,49
Role 2,81
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1785.2183925503882,12.639636516571045,8449.57224059105,191018.36800289154,0.0,0.0,0.0,0.0,31824.11214953271,0.0,205380.0,3405180.0,9.91787995861327,0.07022020286983914,46.94206800328361,1061.2131555716198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Amend Request for Quotation,635.0767904146753,0.0,1364.5741603374481,62872.60225105286,0.0,0.0,0.0,0.0,17175.151515151516,0.0,158460.0,1700340.0,3.5282043911926384,0.0,7.5809675574302675,349.2922347280712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,383.4201212194231,240.3976936340332,537.4175741672516,79367.96509242058,0.0,0.0,0.0,0.0,6978.840579710145,0.0,158460.0,1444620.0,2.1301117845523496,1.3355427424112956,2.9856531898180645,440.93313940233634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Analyze Quotation Comparison Map,1231.705823173523,362.25274300575256,2033.9037804603577,123170.5823173523,0.0,0.0,0.0,0.0,27921.0,0.0,158460.0,2792100.0,6.842810128741795,2.0125152389208476,11.299465447001987,684.2810128741795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,45441.12930006358,186.43116903305054,194626.61610412598,9042784.730712652,44068.51072807647,0.0,193479.5437130928,8769633.634887218,1057704.1206030152,0.0,4596900.0,2.1048312E8,7.625658733261695,0.42854677041371664,14.807504847314622,1517.5060879190773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,31411.079749588967,60.0,191610.12424063683,3141107.9749588966,31351.079749588967,0.0,191550.12424063683,3135107.9749588966,735042.6,0.0,4596900.0,7.350426E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1527.8455707287787,0.0,9711.700266122818,152784.55707287788,1527.8455707287787,0.0,9711.700266122818,152784.55707287788,27598.8,0.0,205380.0,2759880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,74045.29692774772,399.4811496734619,191744.75842690468,7404529.692774773,73486.64953279018,0.0,191137.52994465828,7348664.953279018,1728608.4,0.0,4546440.0,1.7286084E8,3.1035966386530123,2.027749032444424,4.311163769827949,310.35966386530123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1767.3220473504066,320.45461201667786,3242.366716861725,176732.20473504066,0.0,0.0,0.0,0.0,59200.96303844213,0.0,157886.80297136307,5920096.3038442135,9.818455818613366,1.7803034000926548,18.013148427009583,981.8455818613365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,78383.83513985157,4372.299537181854,201140.1416516304,7838383.513985157,65584.09809767247,0.0,185082.23557782173,6558409.809767246,1840066.2,93720.0,4683420.0,1.8400662E8,71.10965023432837,12.993252285321553,120.89323286612829,7110.965023432837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,317.5827643156052,2.3732500076293945,1497.1236817836761,31758.276431560516,0.0,0.0,0.0,0.0,8902.2,0.0,158460.0,890220.0,3.5286973812845033,0.026369444529215493,16.63470757537418,352.8697381284503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,299723.1952103424,12349.768853902817,642145.4786760807,2.997231952103424E7,201803.1418792486,0.0,500714.35543370247,2.0180314187924862E7,7026913.8,302580.0,1.503006E7,7.0269138E8,544.0002962838546,68.60982696612676,970.08376619286,54400.02962838546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Pay Invoice,2476.3838065075875,256.9871356487274,10633.217759847641,247638.38065075874,1918.079680056572,0.0,10082.517713069916,191807.9680056572,51777.0,0.0,205380.0,5177700.0,3.10168959139453,1.4277063091595967,4.947351764308082,310.168959139453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,467.1503139400482,121.95331573486328,1183.1691875457764,46715.03139400482,197.7639150595665,0.0,881.4319763183594,19776.39150595665,1945.2,0.0,97260.0,194520.0,1.496591104891565,0.6775184207492404,2.2904113981458876,149.6591104891565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,203576.8506655073,0.0,504532.4700062275,2.035768506655073E7,203576.8506655073,0.0,504532.4700062275,2.035768506655073E7,4791277.8,0.0,1.180578E7,4.7912778E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,54446.4510636735,566.9261031150818,185140.5282304287,5444645.10636735,53054.73873954296,0.0,183375.25509119034,5305473.873954296,1273233.6,0.0,4265520.0,1.2732336E8,7.731735134058527,0.6342176119486491,12.021723894278209,773.1735134058528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,117791.0879429841,25798.11750936508,213872.9192430973,1.177910879429841E7,85436.6198001337,2147.5924360752106,191955.42559838295,8543661.98001337,2752323.0,580020.0,4968060.0,2.752323E8,179.74704523805775,88.61399949921503,291.67906569507386,17974.704523805776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12433.600996996674,34.82495903968811,47330.315866947174,696281.6558318138,1131.5986618271895,0.0,6911.154265403748,63369.52506232262,270466.0714285714,0.0,1116780.0,1.51461E7,62.78890186205269,0.19347199466493395,262.94619926081765,3516.1785042749507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4701121.143351793,2.361455284860117E7,3.0207236212585688E7
Process Cycle Time excluding out of timetable hours (s),191296.0342321396,967948.6855627227,1238974.226770401
Process Waiting Time (s),104761.8095896244,806266.8992298245,1036901.7734804153
Accumulated Process Duration (s),4701121.143351793,2.361455320328306E7,3.0207236212585688E7
Cost,375.96750477287503,899.9984654395051,1352.8742343227068


Process Cycle Time (s) distribution
From,To,Count
4701121,7251732,3
7251733,9802344,2
9802345,12352956,7
12352957,14903568,5
14903569,17454180,3
17454181,20004792,1
20004793,22555404,4
22555405,25106016,9
25106017,27656628,51
27656629,30207240,15

Process Waiting Time (s) distribution
From,To,Count
104761,197974,4
197975,291188,5
291189,384402,7
384403,477616,2
477617,570830,2
570831,664044,2
664045,757258,1
757259,850472,7
850473,943686,36
943687,1036900,34

Accumulated Process Duration (s) distribution
From,To,Count
4701121,7251732,3
7251733,9802344,2
9802345,12352956,7
12352957,14903568,5
14903569,17454180,3
17454181,20004792,1
20004793,22555404,4
22555405,25106016,9
25106017,27656628,51
27656629,30207240,15

Process Cost distribution
From,To,Count
375,472,3
473,570,9
571,668,14
669,766,7
767,864,13
865,962,5
963,1060,16
1061,1158,17
1159,1256,11
1257,1354,5

In-timetable Cycle time (s) distribution
From,To,Count
191296,296063,3
296064,400831,2
400832,505599,7
505600,610367,5
610368,715135,3
715136,819903,1
819904,924671,4
924672,1029439,8
1029440,1134207,49
1134208,1238975,18



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,2.483293610972786E7,1018755.1097278595,866102.1057574749,849.53009931114
2,6919710.358137846,285946.95733213425,146562.39443826675,776.5167194631364
3,1.0967661882227898E7,449900.9096546173,259989.5660018921,1056.6827136966917
4,9568737.351860285,390832.27200603485,219837.30744218826,950.4010203056868
5,1.110939352686119E7,454024.1151635647,269361.1865079403,1026.4672171036402
6,4701121.143351793,191296.0342321396,104761.8095896244,482.0610548006163
7,6076002.32628417,250795.72258520126,146046.24151945114,582.6380894303322
8,7540843.20031333,313752.42032432556,189227.68056201935,692.7986494859059
9,9946973.242943764,410813.24294376373,200848.50602436066,1167.3623785058658
10,1.1140713617009401E7,454543.0746560097,312598.2147643566,793.9863931483693
11,1.31002222325387E7,533136.9987475872,381828.72241568565,841.2408185309835
12,1.5000956114209652E7,610637.2510223389,428302.5729923248,1015.682082910008
13,2.8193187090449095E7,1153702.4580039978,958975.9925193787,1082.018797088994
14,1.1636698047965765E7,477070.0064043999,277430.22379636765,1109.8197671837274
15,1.3228998880771875E7,545103.0069627762,336417.99811697006,1161.04686031474
16,1.131703363603735E7,462866.0388188362,317516.61161518097,809.9613855957986
17,1.3014203015007019E7,531209.6567006111,324709.92050361633,1147.9456225064064
18,1.318648166194272E7,544517.8113305569,301239.7301630974,1352.8742343227068
19,1.135587030159998E7,467936.96237659454,371104.2496454716,539.0048270702362
20,1.8517915996181965E7,759450.1736249924,565176.9836800098,1083.7521275745496
21,2.7919817836630344E7,1145177.8366303444,909112.8553636074,1319.7894719362257
22,1.6752456851884604E7,686451.303246975,513083.89220666885,968.1252298196157
23,1.2673668368058443E7,519701.4738266468,406000.98829078674,635.3414635154937
24,1.6937429507838488E7,694103.6877303123,584556.5090236664,610.9667361829017
25,2.3889485023919344E7,973849.529453516,855849.6471977234,658.4545312417878
26,2.785178979941845E7,1142178.3958313465,941487.3583836555,1116.1175727897219
27,2.0524994716281414E7,840143.215344429,657648.6890113354,1015.5659296049013
28,2.106790848843479E7,860300.5947098732,773433.4753632545,484.1609328746796
29,2.0497275497464895E7,836852.3598940372,769233.632143259,375.96750477287503
30,2.411292503852105E7,986366.0734117031,826929.9214990139,886.4930473552811
31,2.8544479091837168E7,1166358.4741752148,991808.8005373478,970.4111500872508
32,2.8027218858487606E7,1145767.1547966003,1028959.7580502033,649.1582558631898
33,2.8087848961491585E7,1148414.4227468967,933462.5912833214,1195.4766522049902
34,2.411177085923195E7,990598.7108807564,842539.0386044979,824.9224068231053
35,2.3994268276597977E7,980780.9409439564,849703.0141005516,730.2226131359737
36,2.7610604088068962E7,1131063.0770773888,984818.069726944,815.0832002586789
37,2.7644440131020308E7,1135650.878515005,986915.6417856216,827.4232296095955
38,2.7420212842848778E7,1127162.6050305367,1014510.4159929752,626.8682264553178
39,2.21262841934669E7,908973.1497015953,698296.0844502449,1170.913627680143
40,2.7915284085566998E7,1142366.723402977,1016581.0606374741,700.1939563976395
41,2.764142102352047E7,1134590.4351818562,909144.6018083096,1253.5644743813407
42,2.7365847283082247E7,1125256.7884931564,894612.2208807468,1284.1683772842089
43,2.7008506601414204E7,1109789.6158561707,885192.7828509808,1247.9891478472284
44,2.7601013116261482E7,1136235.339732647,933214.2293348312,1129.4088535096907
45,2.7532914132244587E7,1132645.3147287369,1012322.0590302944,669.8390426079433
46,2.747080803396225E7,1127728.0729329586,927705.321794033,1111.6322658949423
47,2.7503922376730204E7,1128023.34151268,1022287.4876551628,594.5386044078405
48,2.6233894014806032E7,1075306.5787563324,868714.6948413849,1154.1861275050376
49,2.5054419495149612E7,1026639.510484457,910381.3845920563,649.0534862028229
50,2.8066048304772854E7,1152214.8100497723,959485.5264759064,1071.2603653232254
51,2.508253095778966E7,1032346.9046971798,842972.9654855728,1053.3516437927883
52,2.7434919668046713E7,1128639.6680467129,942756.1847770214,1034.3098412301804
53,2.4188161135845184E7,991117.6069693565,847407.9482328892,798.8219448381001
54,2.900400997557068E7,1184463.964488268,1014224.2713673115,946.3546603176329
55,2.7342948331179857E7,1115250.2642784119,940481.2193596363,972.7485781470934
56,2.7377477710962296E7,1120472.9985101223,935116.303059578,1034.490869341956
57,2.4897895964171886E7,1018230.964918375,922554.7749106884,532.1087292499014
58,2.730123248865676E7,1115487.2487092018,886353.7815463543,1273.0998117433653
59,2.7648373808702707E7,1130784.6202726364,928779.5304005146,1124.5522750404143
60,2.737426040032482E7,1122777.4318943024,965884.9589834213,876.4692917082045
61,2.7258943030205965E7,1115166.5739622116,927371.9890019894,1044.7619364592763
62,2.543166436626458E7,1041922.0186359882,935571.6639444828,592.7021640353734
63,2.733268069807887E7,1123153.679005146,904730.8872532845,1214.4324443154862
64,2.8862974246774197E7,1183193.9343764782,1035583.3056881428,822.3359642042055
65,2.7043318332755327E7,1110445.2769246101,920311.7950956821,1059.1516392760805
66,2.729003097504449E7,1118989.3943064213,971618.1038153172,818.7916123946508
67,2.7277049780130386E7,1119990.376301527,940822.6592102051,996.2636546783978
68,2.7161995560772657E7,1109100.855025053,1014581.7899177074,526.4263974520895
69,2.7408784222850323E7,1121242.6524395943,1005150.5882081985,646.4668018473521
70,3.0207236212585688E7,1238974.226770401,1036901.7734804153,1123.2130465308824
71,2.7221029591852188E7,1116442.8602421284,879805.1624815464,1315.632780105538
72,2.8072033806769133E7,1145750.856461525,922552.6695511341,1240.807557198736
73,2.719204324613142E7,1111971.5246546268,921006.2426288128,1061.9035227669608
74,2.7178538767433405E7,1112486.8281743526,916296.9546840191,1092.3794685072369
75,2.7111936720463753E7,1110338.743663311,901792.3091323376,1162.3030848238202
76,2.749430955963373E7,1128360.571960926,931097.8400504589,1098.9310399585302
77,2.70354066682868E7,1104943.0099053383,1007502.676451683,543.1838705619177
78,2.7070416433789253E7,1110676.9234321117,978058.0617728233,737.0978046894074
79,2.705666191854596E7,1110950.216852188,1022962.6173870564,489.6859754933251
80,2.7095700475645065E7,1113514.4409520626,923670.9375891685,1056.7795871006117
81,2.7079822605707407E7,1111674.1746599674,891250.9226562977,1225.572729689545
82,2.6804799478672028E7,1102823.5697853565,900077.0725438595,1127.6034048544034
83,2.705296105449915E7,1109256.2192099094,1022190.2973575592,484.2503095520867
84,2.6986709904313564E7,1107491.1620573997,1003783.9125244617,578.6110168006687
85,2.7024507425987005E7,1108822.3523643017,980479.1682572365,714.7796630846129
86,2.6910438287166834E7,1102460.4065659046,984160.5073812008,658.0801335877843
87,2.699691942200327E7,1109201.1002364159,958440.241363287,838.7656921545665
88,2.698223909604454E7,1108508.0462472439,989773.2341074944,660.5649987194273
89,2.6968718497195244E7,1108985.8223104477,934271.9263877869,971.3592425386112
90,2.6955319552527905E7,1106539.5525279045,984486.0090754032,680.5323692838351
91,2.6941557677572727E7,1106188.492456913,952507.5663194656,854.1949538548789
92,2.6875148229490995E7,1104216.4353556633,1022038.7889249325,457.7053053564495
93,2.6858958836759567E7,1102030.5867397785,1000069.9444541931,566.4611974199613
94,2.9578633463229895E7,1213044.3219192028,1009024.3669960499,1136.577992959817
95,2.6784794970957756E7,1099112.1549887657,907067.9656877518,1070.9516303671728
96,2.7130251250106096E7,1105644.4471347332,935727.3194320202,944.1932691931727
97,2.7117509030602932E7,1106895.6702616215,981614.6651527882,697.0182479606734
98,2.920922437047243E7,1195113.6084649563,991463.113329649,1135.2679470949702
99,2.683010243145132E7,1099591.9169483185,1030311.1756150723,386.27348750299876
100,2.8367487585656404E7,1163101.241509676,937999.9889769554,1252.4376122421686
