Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,80
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1424.386672122504,3.267385959625244,8926.713630199432,132467.96050739288,0.0,0.0,0.0,0.0,29094.83870967742,0.0,324180.0,2705820.0,7.9132592895694644,0.018152144220140245,49.59285350110796,735.9331139299602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,643.2340750666226,202.3676483631134,1191.7039177417755,54674.89638066292,0.0,0.0,0.0,0.0,14536.941176470587,0.0,158460.0,1235640.0,3.5735226392590147,1.1242647131284078,6.620577320787642,303.74942433701625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
Analyze Purchase Requisition,386.4886825813531,240.6550009250641,536.3666620254517,74592.31573820114,0.0,0.0,0.0,0.0,3082.3834196891194,0.0,154860.0,594900.0,2.147159347674183,1.3369722273614673,2.979814789030287,414.4017541011173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,1207.0918651986121,379.25620222091675,1989.7765154838562,120709.18651986122,0.0,0.0,0.0,0.0,29037.6,0.0,158460.0,2903760.0,6.706065917770067,2.1069789012273152,11.054313974910313,670.6065917770067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,36357.252635901685,806.2257709503174,170247.909842968,6726091.737641811,34942.87488416465,0.0,169642.56551098824,6464431.853570461,849071.3513513514,0.0,4016880.0,1.570782E8,7.857654176316817,0.04392880068884956,17.5853850391176,1453.6660226186111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Approve Purchase Order for payment,37095.48092842102,60.0,175483.22098994255,3709548.092842102,37035.48092842102,0.0,175423.22098994255,3703548.092842102,860485.8,0.0,4218600.0,8.604858E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1392.2518088865281,0.0,7869.661460876465,139225.1808886528,1392.2518088865281,0.0,7869.661460876465,139225.1808886528,42432.0,0.0,324180.0,4243200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,89491.14446144819,365.54263186454773,176491.24127840996,8949114.44614482,88928.88229369879,0.0,176121.92132544518,8892888.229369879,2095815.0,0.0,4218600.0,2.095815E8,3.123678709718915,2.0307923992474874,4.3258457634184095,312.36787097189153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1842.5381283402444,309.6670880317688,3408.594384431839,184253.81283402443,0.0,0.0,0.0,0.0,59098.564712295534,0.0,158289.5169491768,5909856.471229553,10.236322935223582,1.7203727112876044,18.936635469065774,1023.6322935223582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,93054.34923671484,2316.548149585724,189116.54254484177,9305434.923671484,80540.47395062208,0.0,172126.44802856445,8054047.395062208,2176371.0,0.0,4405980.0,2.176371E8,69.52152936718197,12.812138209078046,121.25630756219228,6952.152936718197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,333.40569237947466,11.508500814437866,1817.0770881175995,33340.569237947464,0.0,0.0,0.0,0.0,9114.6,0.0,154860.0,911460.0,3.7045076931052727,0.12787223127153186,20.189745423528883,370.4507693105273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,253477.38248591183,11871.530764818192,614287.0881729126,2.5347738248591185E7,157105.95211772918,0.0,452089.06146264076,1.5710595211772919E7,5936631.6,277440.0,1.445004E7,5.9366316E8,535.3968353787924,65.9529486934344,971.5739875051711,53539.68353787924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,1981.6063666367531,243.77402448654175,8391.652021408081,198160.6366636753,1435.5318910169601,0.0,7771.688161611557,143553.189101696,53605.8,0.0,324180.0,5360580.0,3.033747086776628,1.3543001360363431,4.974456146028307,303.3747086776628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,972.6,0.0,97260.0,97260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,396.23843856334685,120.59163331985474,1024.6596262454987,39623.843856334686,135.8037482023239,0.0,654.8066213130951,13580.374820232391,972.6,0.0,97260.0,97260.0,1.4468593908945717,0.6699535184436374,2.314419208632575,144.68593908945718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,187498.8275827837,0.0,455545.0432744026,1.874988275827837E7,187498.8275827837,0.0,455545.0432744026,1.874988275827837E7,4370733.6,0.0,1.074294E7,4.3707336E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,53307.601031770704,1253.459760427475,148278.96302366257,5330760.103177071,51896.94247727871,0.0,147799.5724492073,5189694.247727871,1257267.6,0.0,3480120.0,1.2572676E8,7.836991969399982,2.056272535853916,12.523471338219112,783.6991969399982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,136005.54201988934,24706.86120533943,224156.15722465515,1.3600554201988935E7,102418.64616186857,0.0,176394.44685912132,1.0241864616186857E7,3172790.4,580020.0,5220180.0,3.1727904E8,186.59386587789314,80.7152326491144,292.7261318206787,18659.386587789315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12114.792443056496,849.8340945243835,39468.629987478256,593624.8297097683,1133.3974513715627,0.0,7782.118758916855,55536.47511720657,325681.2244897959,0.0,907860.0,1.595838E7,61.00774995380519,1.3267880651685926,216.76067121691173,2989.379747736454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6616770.966824055,2.2774016142159022E7,3.07048490027647E7
Process Cycle Time excluding out of timetable hours (s),269620.60511898994,932957.977446723,1254963.0054593086
Process Waiting Time (s),166147.69598674774,773588.4762473846,1010201.7917511463
Accumulated Process Duration (s),6616770.966824055,2.2774016142159022E7,3.07048490027647E7
Cost,318.91031683418475,887.2383716206548,1490.2416870474815


Process Cycle Time (s) distribution
From,To,Count
6616770,9025577,5
9025578,11434385,4
11434386,13843193,5
13843194,16252001,2
16252002,18660809,6
18660810,21069617,5
21069618,23478425,10
23478426,25887233,3
25887234,28296041,57
28296042,30704849,3

Process Waiting Time (s) distribution
From,To,Count
166147,250552,7
250553,334958,4
334959,419364,1
419365,503770,4
503771,588176,4
588177,672582,4
672583,756988,7
756989,841394,8
841395,925800,32
925801,1010206,29

Accumulated Process Duration (s) distribution
From,To,Count
6616770,9025577,5
9025578,11434385,4
11434386,13843193,5
13843194,16252001,2
16252002,18660809,6
18660810,21069617,5
21069618,23478425,10
23478426,25887233,3
25887234,28296041,57
28296042,30704849,3

Process Cost distribution
From,To,Count
318,435,6
436,553,8
554,671,13
672,789,12
790,907,16
908,1025,10
1026,1143,12
1144,1261,12
1262,1379,6
1380,1497,5

In-timetable Cycle time (s) distribution
From,To,Count
269620,368154,5
368155,466689,4
466690,565224,5
565225,663759,2
663760,762294,6
762295,860829,5
860830,959364,10
959365,1057899,3
1057900,1156434,57
1156435,1254969,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9352964.322094202,385123.32209420204,195450.15380430222,1054.3919856905936
2,7883407.061349869,323724.31629014015,168436.55067873,863.4793063786295
3,9325575.515531301,385613.71884560585,218887.22288775444,928.1557827790579
4,6936417.360817909,283806.9739956856,226479.35417675972,318.91031683418475
5,1.1157013433580875E7,458297.41595721245,261161.6373486519,1097.525196144316
6,6616770.966824055,269620.60511898994,166147.69598674774,575.8474627455076
7,7889932.093504906,324703.0017387867,171638.6863901615,850.4808846182294
8,7873869.817201376,322612.0109527111,187974.28240799904,751.8116566128202
9,2.7213827650887728E7,1112927.6508877277,872260.8049571514,1339.5470025671852
10,2.773016638337159E7,1131235.842462778,877380.4226682186,1413.7167141503755
11,2.719345899756646E7,1112832.3379890919,918261.7014040947,1082.2078047302034
12,1.2267758679630518E7,499975.6524143219,297831.0870306492,1123.3410823716056
13,2.214248801485586E7,903034.9249501228,684377.8128838539,1216.4416808340281
14,2.162577717781353E7,883120.0528378487,758357.7255425453,694.4597902999984
15,1.2226853774463892E7,501106.3040738106,318368.7735314369,1018.2082981771892
16,1.6501910113441706E7,679614.2263638973,513607.3137764931,924.471065191428
17,1.2588223684375286E7,515870.79565143585,429148.48886728287,483.6965471903483
18,1.1028012823070288E7,453883.3012163639,331283.15003204346,682.7704085760647
19,1.981686836363411E7,812233.5334916115,616208.8211429119,1092.5040271017285
20,1.247126401072383E7,512921.44946432114,433676.2260301113,441.32961588038324
21,2.5447336882889986E7,1043236.882889986,933596.9643425941,611.5508650991653
22,1.3550973815023184E7,554256.8734247684,368991.96700406075,1032.3119070357745
23,1.613889033518982E7,663107.8637588024,434791.8707885742,1268.6556009994613
24,2.8038672435752153E7,1149442.420420885,935661.9454443455,1189.788719844818
25,2.699793355169487E7,1106199.6958165169,905179.8579807281,1118.2618524630866
26,2.0592787472937346E7,843142.6497397423,698000.8764882088,808.0271181662878
27,1.6083501778851032E7,660213.7225930691,469258.2462043762,1062.1920570188101
28,1.9859280109665394E7,811346.7356097698,585560.9632146358,1254.7014263245794
29,2.297245487690687E7,941142.3215734959,827867.9369673729,630.0472396360503
30,2.3290440348397017E7,948952.9931676388,827710.5927398205,674.5105120579402
31,3.07048490027647E7,1254963.0054593086,986756.685908556,1490.2416870474815
32,2.2874815459785223E7,935955.616891861,695137.9715862274,1340.0260297841492
33,1.64222781283679E7,672297.9612436295,555770.1698515415,648.8757094979287
34,2.22961298435843E7,914778.3725571632,846524.8356730938,380.9997774190373
35,2.706541870386219E7,1108470.3656389713,964722.6504964828,801.3368603785834
36,1.7771501042806387E7,730532.8983709812,620988.0206868649,608.794348204136
37,1.7919173571475983E7,733749.0233633518,596076.5135970116,765.4057154681949
38,2.179252105030656E7,892373.2112510204,716919.1917569637,974.9144112865131
39,1.6436084207512856E7,672827.7060773373,547420.5899553299,696.8396440082126
40,2.160930608121395E7,888495.4982888699,715022.3524532318,967.1080654554896
41,1.751790444237995E7,716342.1751086712,601523.9605717659,638.2700404723486
42,2.173628221109581E7,888548.3354501724,734291.3549163342,858.0906489398744
43,2.674573484415078E7,1098903.9931275845,1010201.7917511463,493.4796131372452
44,2.084668386603999E7,855497.0926301479,777472.6381018162,435.406506787406
45,2.784586077561903E7,1142516.543385744,925171.3022716045,1209.5129992047944
46,2.2891743065659523E7,939858.2745084763,778709.2081623077,895.7899957352215
47,2.3667501760242224E7,973124.3634305,848805.6739432812,700.7542587518693
48,2.667049074580407E7,1093635.096019268,879567.5105905533,1192.231429962317
49,2.657898773130727E7,1088190.3868384361,886421.3343586922,1122.6137641323937
50,2.025648460468173E7,831997.8049197197,755684.5097379684,424.38094398048185
51,2.66331762128253E7,1094622.5666980743,981790.3237686157,628.6110278540187
52,2.661984372777009E7,1095271.8691515923,966712.2201976776,716.4917120324242
53,2.4786100598711252E7,1012130.9963030815,895793.6428442001,647.9095459077095
54,2.6509732012287855E7,1081752.3169121742,920697.3333425522,895.7035587602193
55,2.6496475667598248E7,1082494.2391576767,923680.2824800014,886.6064008977679
56,2.655679763185048E7,1084754.699324131,974402.8721010685,613.8675123665068
57,2.6468117494556427E7,1082100.1686503887,897663.1641407013,1029.0115438673233
58,2.6535186389902353E7,1087511.2048501968,863604.395753622,1246.1762476298543
59,2.694421753095746E7,1103444.0253174305,866871.5564768314,1315.339905650086
60,2.6425463925903797E7,1081414.9082944393,926755.2756502628,859.2841174721717
61,2.6492768143708467E7,1087011.1986973286,1001259.8782401085,478.5422209223111
62,2.608396535781312E7,1070503.0573000908,910614.5461320877,888.5530493444868
63,2.602375127822709E7,1067450.3308477402,941911.9433746338,698.8900398982897
64,2.600879552092457E7,1066501.3642530441,960756.265645504,589.679225409031
65,2.6354162294748545E7,1076447.20753026,906013.8169960976,948.0270636492305
66,3.02627183101182E7,1241449.2727928162,984180.1805765629,1431.2615521616406
67,2.683310007326579E7,1100633.0667848587,838743.4575042725,1456.4072757495774
68,2.9421955873770714E7,1206858.4302728176,981243.2176430225,1254.4692801051667
69,2.6381940008928537E7,1081027.4704425335,977727.064258337,578.3287865320841
70,2.6368439778702974E7,1081485.6278152466,981919.6309633255,561.6501014312107
71,2.651589510854268E7,1084511.4549891949,911985.8524496555,960.0379175610014
72,2.63339952709527E7,1075178.567056656,985417.5128588676,502.14683801995375
73,2.6320125052645683E7,1075239.0383217335,930807.8561685085,802.7413485791948
74,2.6305798868198633E7,1074903.3752400875,988055.7584018707,485.59633490112094
75,2.6459029203012466E7,1079972.6976730824,871281.8720941544,1164.2550416760973
76,2.670735771627593E7,1093783.398233652,955028.8934643269,772.6895993060538
77,2.6188733154582977E7,1071953.1943378448,913465.8749859333,881.8821355250147
78,2.6255730142543077E7,1077225.174817562,848970.4609620571,1269.499591559834
79,2.6235564768835545E7,1074723.3350675106,987739.6840798855,484.3908881809976
80,2.643796259793496E7,1085696.8888146877,978249.3389360905,598.5694944116804
81,2.621300134757781E7,1076428.8955693245,897157.4834160805,996.596188012759
82,2.6191836112853765E7,1072990.740644455,859216.8147566319,1190.7865362842876
83,2.6179810701838017E7,1071482.544047594,834276.455391407,1318.9914463414084
84,2.5990012455881596E7,1065081.3427774906,942768.2229135036,683.0893214411207
85,2.615715648737526E7,1073266.6459572315,860240.8611655235,1184.6191418872938
86,2.613878012720418E7,1072522.2864527702,918231.284717083,858.7140336487029
87,2.6124204286551952E7,1071922.128722906,985098.0471994877,483.18738937907744
88,2.6378066756346226E7,1083936.6462788582,887135.8487501144,1093.7980619960363
89,2.7473254872283697E7,1126765.5488016605,971852.590480566,861.3613407731057
90,2.7459149562267065E7,1124069.562267065,973145.4140338898,839.3441075351503
91,2.6068405917462826E7,1068562.5914440155,871192.4367568493,1098.1030174268615
92,2.6058699999379396E7,1069121.2922370434,859142.7290036678,1168.0864792625107
93,2.6039077920147657E7,1067138.652042389,884377.9956693649,1017.3196164435811
94,2.5951093723535776E7,1065231.057286501,988920.5009727478,427.0546912431717
95,2.654009179276824E7,1088128.584597826,924135.6498217583,912.3853691432212
96,2.7376619356957197E7,1117429.8400080204,905507.651222229,1178.7064189089667
97,2.6755721139183283E7,1090617.0134720802,931833.2977221012,882.6761525207096
98,2.5970279142696142E7,1061366.7970767021,923809.2081310749,764.931746579541
99,2.5962320788830757E7,1063680.3440654278,803019.7692863941,1454.134471592638
100,2.5942549017957687E7,1061646.7646224499,987693.7917437553,414.9158971097734
