Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,10
Role 2,14
Role 5,50

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1920.1748823577707,11.793474435806274,6425.238168478012,211219.23705935478,72.16656121557409,0.0,1043.7136578559875,7938.32173371315,49617.27272727273,0.0,252120.0,5457900.0,10.266712895234427,0.06551930242114597,34.91924120452669,1129.338418475787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Amend Request for Quotation,9337.260129084954,173.8084523677826,282967.776037693,971075.0534248352,8680.059821993113,0.0,282359.1745865345,902726.2214872837,220036.73076923078,0.0,6632400.0,2.288382E7,3.6511128171768963,0.9656025131543478,6.987421707312266,379.7157329863972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
Analyze Purchase Requisition,548.7239126114619,240.3296492099762,1290.25430226326,115232.02164840698,167.71425932475498,0.0,932.9521052837372,35219.99445819855,8407.714285714286,0.0,158460.0,1765620.0,2.1167202960372604,1.3351647178332011,2.9864524987008836,444.51126216782467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
Analyze Quotation Comparison Map,29543.89892103672,421.3278636932373,389505.37259960175,2954389.892103672,28347.90599487543,0.0,387806.09934067726,2834790.599487543,687561.0,0.0,9028200.0,6.87561E7,6.644405145340494,2.3203106111950342,11.323688148127662,664.4405145340494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40014.50125172092,716.8365397453308,185848.67181396484,8162958.255351067,38608.482984111586,0.0,183986.25327444077,7876130.528758764,931047.3529411765,0.0,4391580.0,1.8993366E8,7.81621394801503,0.0,15.166542277071212,1594.5076453950662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
Approve Purchase Order for payment,30876.32963357687,60.0,180739.28445529938,3087632.963357687,30816.32963357687,0.0,180679.28445529938,3081632.963357687,721783.2,0.0,4312320.0,7.217832E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,82172.3001011777,0.0,290306.35213565826,8217230.010117769,82172.3001011777,0.0,290306.35213565826,8217230.010117769,1923032.4,0.0,6866520.0,1.9230324E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,18085.389141087533,0.0,386409.03722667694,1808538.9141087532,18085.389141087533,0.0,386409.03722667694,1808538.9141087532,423597.0,0.0,9028200.0,4.23597E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,76612.38835436344,368.7708411216736,177721.2970073223,7661238.835436344,76035.29624796391,0.0,177254.61390209198,7603529.6247963905,1797051.6,0.0,4153860.0,1.7970516E8,3.2060672577752016,2.0062237289216784,4.304529445701175,320.6067257775202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2042.8112877202034,359.0859761238098,4484.376136541367,204281.12877202034,226.90914278268815,0.0,1722.6568751335144,22690.914278268814,67274.2269618702,1001.9025504589081,190105.7218015194,6727422.696187019,10.088345249652866,1.9949220895767212,18.9932075937589,1008.8345249652865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,78655.40203822375,2287.4009408950806,192237.99418258667,7865540.203822374,66549.30898194313,0.0,175265.99212098122,6654930.898194313,1851480.6,72060.0,4438440.0,1.8514806E8,67.25607253489224,12.70778300497267,119.65085165103277,6725.607253489225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,332.10601729154587,17.80372190475464,1190.9425852298737,33210.60172915459,7.271715888977051,0.0,255.1439814567566,727.1715888977051,7387.2,0.0,154860.0,738720.0,3.6092700155840953,0.1597034878200955,13.232695391443041,360.92700155840953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,180973.7155480361,11729.179010629654,510295.01482605934,1.809737155480361E7,97276.02580594778,0.0,354725.8547735214,9727602.580594778,4233066.0,324180.0,1.187784E7,4.233066E8,464.98716523382393,65.16210561460919,980.1981895181868,46498.71652338239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210
Pay Invoice,73070.40961402655,240.98370480537415,290801.2108333111,7307040.961402655,72512.82189893484,0.0,290175.28463721275,7251282.189893484,1710378.0,0.0,6866520.0,1.710378E8,3.0977095282872535,1.3387983600298563,4.95155443350474,309.77095282872534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,107788.65872116089,60.0,387827.194211483,1.0778865872116089E7,107728.65872116089,0.0,387767.194211483,1.0772865872116089E7,2518300.2,0.0,9028200.0,2.5183002E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,54476.59397856951,125.72144508361816,239406.07831215858,5447659.397856951,54203.39841020584,0.0,239011.1261165142,5420339.841020584,1248246.0,0.0,5630880.0,1.248246E8,1.5177531575759249,0.6746293743451436,2.3159123778343202,151.7753157575925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,33345.92791941166,0.0,318263.67370319366,3334592.791941166,33345.92791941166,0.0,318263.67370319366,3334592.791941166,811183.2,0.0,7446540.0,8.111832E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,52233.61538064003,1332.0979800224304,171845.02110004425,5223361.538064003,50783.72364487648,0.0,169966.613843441,5078372.364487648,1216354.8,0.0,3988080.0,1.2163548E8,8.054954087575277,1.8349225772751703,13.398822875817617,805.4954087575277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,119718.76099381685,14480.677471399307,229645.2989616394,1.1971876099381685E7,87716.1824418068,0.0,185428.13482141495,8771618.24418068,2800522.8,331440.0,5389500.0,2.8005228E8,177.79210306672255,79.78154150777392,292.1163653943274,17779.210306672256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,83815.81958801013,19.143265962600708,290175.28463721275,4358422.618576527,73502.09393612697,0.0,278854.89343070984,3822108.884678602,1974773.076923077,0.0,6866520.0,1.026882E8,57.29847584379535,0.10635147757000393,281.54788398080404,2979.520743877358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4310911.01964879,2.6322627606472615E7,3.444539036818957E7
Process Cycle Time excluding out of timetable hours (s),175903.63235855103,1078117.3795107412,1409645.6232230663
Process Waiting Time (s),111819.54201555252,932248.6893128061,1320480.2487721443
Accumulated Process Duration (s),4310911.01964879,2.6322627606472615E7,3.444539036818957E7
Cost,362.13070631159667,812.1964499729211,1550.8145645777383


Process Cycle Time (s) distribution
From,To,Count
4310911,7324358,4
7324359,10337806,9
10337807,13351254,6
13351255,16364702,1
16364703,19378150,6
19378151,22391598,2
22391599,25405046,2
25405047,28418494,0
28418495,31431942,33
31431943,34445390,37

Process Waiting Time (s) distribution
From,To,Count
111819,232685,11
232686,353552,5
353553,474419,3
474420,595286,4
595287,716153,4
716154,837020,1
837021,957887,2
957888,1078754,5
1078755,1199621,49
1199622,1320488,16

Accumulated Process Duration (s) distribution
From,To,Count
4310911,7324358,4
7324359,10337806,9
10337807,13351254,6
13351255,16364702,1
16364703,19378150,6
19378151,22391598,2
22391599,25405046,2
25405047,28418494,0
28418495,31431942,33
31431943,34445390,37

Process Cost distribution
From,To,Count
362,480,12
481,599,15
600,718,14
719,837,16
838,956,13
957,1075,13
1076,1194,4
1195,1313,10
1314,1432,1
1433,1551,2

In-timetable Cycle time (s) distribution
From,To,Count
175903,299277,4
299278,422652,9
422653,546027,6
546028,669402,1
669403,792777,6
792778,916152,2
916153,1039527,2
1039528,1162902,0
1162903,1286277,33
1286278,1409652,37



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9105396.838822126,371735.8388221264,220992.4609606266,837.5621199078032
2,8100030.550109148,330713.44096016884,216182.62287521362,637.0499467995432
3,8085324.78538847,330118.16896772385,198581.31410694122,732.0374909003575
4,1.0932876871284246E7,448035.70975518227,281320.9093744755,926.5094283170171
5,5913058.415721893,243448.06278586388,152473.03880286217,507.8245771129926
6,9277411.596734762,381386.82894444466,194578.0878789425,1040.2774519708419
7,1.0205531586911678E7,417251.5869116783,276381.2478699684,785.7892902970315
8,3.444539036818957E7,1408872.8086931705,1320480.2487721443,491.7813795778486
9,8866534.910312176,360501.6156923771,199724.57768893242,893.3323402788905
10,6538636.990192413,262505.4585990906,169275.23002648354,519.715449207359
11,7397646.089629889,302159.2027285099,186610.42427444458,643.3254421247377
12,3.439751121635461E7,1409645.6232230663,1193962.09655118,1199.5655170122782
13,8907292.73708725,361672.79496121407,241967.87602210045,665.4153347571693
14,4310911.01964879,175903.63235855103,111819.54201555252,362.13070631159667
15,1.1920684269872427E7,485722.35508823395,277630.6925008297,1161.1891735752422
16,7152885.442641497,290980.2087035179,187767.24305915833,575.1768192211788
17,1.5625809870662928E7,643958.0958268642,559219.2070205212,471.780911054876
18,1.1887675844334126E7,486687.4423947334,387412.9385945797,554.0811890376939
19,9532820.18195796,392992.11630511284,220282.95681333542,964.8100118954977
20,1.1821518465055943E7,482884.5061147213,333292.49769473076,833.2021662606136
21,3.2003427426480293E7,1307603.8208372593,1146641.6642563343,894.8099188817873
22,1.8533137770014524E7,758707.6897304058,597921.1128511429,894.7290592220096
23,3.2000893520632505E7,1309620.6569375992,1087019.4670307636,1240.554197201464
24,3.138951735111499E7,1284822.2775816917,1166559.8713214397,657.7854598879815
25,3.404066265776086E7,1394015.9346494675,1274813.200026989,663.2728742559751
26,2.3935264302630663E7,981167.3419470787,862984.2670888901,657.8309644619626
27,3.418476944962406E7,1396588.9284772873,1181107.3188052177,1199.494895496633
28,1.3178804915721178E7,537845.7857961655,450613.4667470455,485.66681490871645
29,1.7428298629927635E7,712511.2705283165,500813.992880106,1179.9484791000684
30,2.0222668469623804E7,825992.9021437168,750998.3420693874,419.6400695138507
31,3.393478715450716E7,1388842.0058188438,1237911.5282771587,839.9334391646917
32,2.10057188580966E7,863431.9603009224,637151.6210901737,1257.2769773642221
33,1.7282247183035135E7,709740.2863030434,618820.7089982033,508.7080363339848
34,3.158520548503661E7,1296731.5848839283,1111820.207498312,1029.843362226751
35,1.2393646757630348E7,507444.96398186684,431550.2803609371,423.69850410752815
36,1.8265570021248817E7,750965.0610511303,561417.7233057022,1053.6724149598015
37,1.8264952208506346E7,751219.8620610237,523648.75966620445,1266.2199543595311
38,3.1557905395763636E7,1295563.5229945183,1164644.5095939636,731.9903903126718
39,3.3972156162350416E7,1391242.806204319,1179455.943581581,1177.3134100635846
40,1.7546846313729525E7,722145.0084278584,643040.0710961819,439.684014248848
41,3.1033442568347454E7,1273883.2457108498,1179180.5976700783,526.7714167038599
42,2.3566892193412304E7,962829.0741336346,861936.1473953724,562.8600762340759
43,3.1581416414654016E7,1289507.4957139492,1148492.3753170967,784.2057086176344
44,3.0980695174265623E7,1269059.6278693676,1107700.3746714592,897.0891444656584
45,3.1250642656183004E7,1281365.5444631577,1196965.7164084911,470.15909720129434
46,3.3745923630544424E7,1386887.9526822567,1271393.481006384,643.0946220239002
47,3.0923700351525784E7,1268296.2423176765,1112359.8599581718,868.7163238816792
48,3.1471267987731457E7,1288884.6932389736,1148391.6991877556,781.6518213881388
49,3.361738362265277E7,1373693.2998502254,1236959.8496017456,761.8737686316174
50,3.370001610302448E7,1382805.3542554379,1262961.0409898758,666.7755286256473
51,3.1260243278960943E7,1281124.0019800663,1127555.1430726051,856.0729381574525
52,3.359277972795272E7,1376457.208454609,1297199.5608434677,440.98487301137703
53,3.1403241782587767E7,1285461.7825877666,1133033.948040247,846.9732327342034
54,3.378928218149233E7,1382042.1171936989,1202338.4044315815,1001.1720045155951
55,3.1370259920793295E7,1284054.7776417732,1185792.5876896381,546.5570665253532
56,3.360577402988672E7,1375066.312813282,1202655.2272326946,960.0398015167979
57,3.3596437896020174E7,1371157.896020174,1228646.8540468216,793.5964958575037
58,3.0783124882575274E7,1257356.7079224586,1173658.9671275616,466.9618904338942
59,3.1157771171607494E7,1274725.1831057072,1096684.8883001804,990.7475667105781
60,3.0811536003349543E7,1261444.5090947151,1070688.089310646,1061.4204337623382
61,3.078159161609173E7,1262585.8942902088,1079250.200117588,1020.7054441703691
62,3.369948690710187E7,1377752.9434788227,1152766.4754366875,1252.8162218610446
63,3.111957599718237E7,1277291.6330637932,1204248.843012333,406.77034701506295
64,3.072010985626912E7,1259756.3887996674,1129020.5899252892,727.4628646837341
65,3.070440910675645E7,1259281.4559583664,1083076.4783625603,983.3243301881685
66,3.0743695260751486E7,1260901.736533165,1166360.087162733,526.6387307961783
67,3.0726363155676603E7,1260472.1762344837,1118970.3768322468,788.6447904904685
68,3.0826066586545944E7,1260282.680721283,1072585.811880827,1046.664359498024
69,3.0997565995529175E7,1274192.2849581242,1198406.8054893017,422.0497156421343
70,3.119993872736883E7,1278655.877743721,1195953.438852787,460.6670587976774
71,3.0642864019713163E7,1259911.9273514748,1156580.3500049114,574.945282222165
72,3.0758952433742285E7,1263538.7719056606,1055408.8940746784,1156.3963408721816
73,3.0557224774386644E7,1254732.0096755028,1134114.805889368,674.4296126405399
74,3.2087205422343016E7,1313783.9493145943,1180253.135244608,742.5086032324369
75,3.1087780621952295E7,1274749.4291436672,1151635.9821534157,685.2162459002602
76,3.0867265552235365E7,1264229.4360296726,1071677.0246164799,1070.0964303175608
77,3.2689111700584173E7,1344762.7064287663,1065892.0191352367,1550.8145645777383
78,3.3076322126153708E7,1350595.9259381294,1167942.5998296738,1018.146649140782
79,3.3060511921072006E7,1352185.7624704838,1129913.6134803295,1236.0680920932025
80,3.0732224307390213E7,1255694.2646651268,1105619.505308628,834.4634290668702
81,3.3143713422604322E7,1354529.5163214207,1123847.3000040054,1285.0110806279713
82,3.314003835809827E7,1352774.72444129,1133359.0029637814,1221.7032691372763
83,3.2779331089782E7,1338127.685476303,1201397.18756032,760.6503248360423
84,3.0709764714427233E7,1253208.515089035,1157052.9697852135,535.9871947937543
85,3.311846590372491E7,1354045.1755788326,1198332.6945450306,865.1491908205879
86,3.3116030017315865E7,1353193.1461040974,1197767.825505495,865.1574572828082
87,3.2847692338770866E7,1347292.575594902,1231888.3900389671,642.3491004016665
88,3.3348658288627148E7,1363152.8514137268,1138071.6917088032,1251.1600645568633
89,3.3184335394349337E7,1362705.8100619316,1217936.7839672565,806.9982579165035
90,3.299297219635296E7,1350926.1006047726,1182872.9504823685,936.388152476152
91,3.3163977806216E7,1358161.1464262009,1239739.2469480038,659.0529431674216
92,3.2822862191193342E7,1347672.4285902977,1225450.4436633587,679.9267300420339
93,3.063633708442712E7,1254820.7834310532,1172281.7380337715,465.16659990284177
94,3.0922010986827612E7,1268747.2556562424,1169004.1434304714,556.114488814937
95,3.3127723847774982E7,1360784.026393652,1101501.0815827847,1441.0985339085262
96,3.0704991357771873E7,1262736.118797779,1120169.9726035595,796.6287770218321
97,3.0664132005975485E7,1254658.8901934624,1160458.5748729706,523.4766725354725
98,3.0656607956579447E7,1255661.1848959923,1126698.1695914268,717.7161920905114
99,3.0659661990191698E7,1258494.522816658,1097629.1422169209,895.5125775615376
100,3.3051927945489645E7,1355206.042939186,1106248.5032157898,1383.2144834995268
