Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,47
Role 2,79
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1667.2459810251992,0.6351089477539062,5972.095886707306,160055.6141784191,0.0,0.0,0.0,0.0,37680.0,0.0,252120.0,3617280.0,9.262477672362223,0.003528383043077257,33.17831048170726,889.1978565467734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,587.745145715693,41.225929737091064,1193.7555770874023,54660.29855155945,0.0,0.0,0.0,0.0,12085.806451612903,0.0,154860.0,1123980.0,3.265250809531629,0.22903294298383925,6.631975428263346,303.6683252864415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Analyze Purchase Requisition,387.2110520540451,240.54140543937683,535.7910294532776,75893.36620259285,0.0,0.0,0.0,0.0,7720.102040816327,0.0,158460.0,1513140.0,2.1511725114113633,1.3363411413298714,2.9766168302959866,421.6298122366272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,1242.4466929864884,369.94897866249084,2031.0875642299652,124244.66929864883,0.0,0.0,0.0,0.0,27993.0,0.0,158460.0,2799300.0,6.902481627702714,2.0552721036805046,11.283819801277584,690.2481627702714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,34356.86983496043,116.25492238998413,164540.06590294838,6630875.878147364,32958.86803407002,0.0,163314.97589707375,6361061.530575514,802412.6424870467,0.0,3966420.0,1.5486564E8,7.766676671613412,0.34202219115363225,17.23692469994227,1498.9685976213887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Approve Purchase Order for payment,31729.053094308376,60.0,180077.98039865494,3172905.3094308376,31669.053094308376,0.0,180017.98039865494,3166905.3094308376,743544.6,0.0,4153860.0,7.435446E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1438.8508981657028,0.0,7273.775193691254,143885.08981657028,1438.8508981657028,0.0,7273.775193691254,143885.08981657028,26276.4,0.0,201720.0,2627640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,90484.71119961739,371.9412248134613,178635.64645576477,9048471.119961739,89913.15386055708,0.0,178272.76951646805,8991315.386055708,2128271.4,0.0,4135860.0,2.1282714E8,3.1753185503350356,2.015982996092902,4.328633382585314,317.5318550335036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1848.3628744912148,326.2577574253082,3409.353549718857,184836.28744912148,0.0,0.0,0.0,0.0,59740.27258194447,404.651935338974,158116.52345180511,5974027.258194447,10.268682636062309,1.812543096807268,18.94085305399365,1026.8682636062308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,88887.29787177563,4242.592546224594,181380.88823723793,8888729.787177563,77694.76000084162,0.0,174445.34668636322,7769476.000084162,2091199.2,93720.0,4229460.0,2.0911992E8,62.180765949633376,13.546700335873497,120.52166070275837,6218.076594963338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,337.8079026126862,2.0421078205108643,1228.2071595191956,33780.790261268616,0.0,0.0,0.0,0.0,6848.4,0.0,97260.0,684840.0,3.753421140140958,0.02269008689456516,13.64674621687995,375.3421140140958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,290677.0147922206,12298.751774549484,604892.5456495285,2.906770147922206E7,196823.00104168177,0.0,513823.8790912628,1.9682300104168177E7,6798737.4,255840.0,1.422306E7,6.7987374E8,521.4111875029935,68.32639874749714,981.0591886348194,52141.11875029935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,2516.099107198715,243.7084255218506,7793.829019546509,251609.91071987152,1961.8373329257965,0.0,7273.775193691254,196183.73329257965,63148.2,0.0,201720.0,6314820.0,3.079232079293992,1.3539356973436143,4.989577802022298,307.9232079293992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1945.8,0.0,72060.0,194580.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,510.0260298347473,122.50693798065186,1258.049836397171,51002.60298347473,248.7436338543892,0.0,882.7201154232025,24874.36338543892,945.0,0.0,43260.0,94500.0,1.451568866557545,0.6805940998925103,2.3308831943406,145.1568866557545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,207214.9647892189,0.0,506696.89148044586,2.072149647892189E7,207214.9647892189,0.0,506696.89148044586,2.072149647892189E7,4856159.4,0.0,1.192458E7,4.8561594E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,53420.8146852231,702.0534217357635,164202.7380683422,5342081.46852231,51985.23313130617,0.0,162686.4474887848,5198523.313130617,1240347.6,0.0,3807960.0,1.2403476E8,7.97545307731629,2.7356253027915955,14.073261382844713,797.545307731629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,136134.5885376191,22399.62203145027,218396.11735391617,1.3613458853761911E7,103397.52055410862,0.0,177386.28844213486,1.0339752055410862E7,3173545.8,482760.0,5176920.0,3.1735458E8,181.87259990839166,80.14367483854294,292.69823838339914,18187.259990839168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10409.826205048561,328.88365626335144,46091.04564547539,520491.31025242805,1216.3700697278975,0.0,7243.15725684166,60818.50348639488,251463.6,0.0,1001580.0,1.257318E7,51.07475630733699,0.014537982145945231,256.0613646970855,2553.7378153668496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4758191.472640514,2.393655647573054E7,2.8629328177919865E7
Process Cycle Time excluding out of timetable hours (s),195922.96677422523,980921.8031485963,1174852.8840346336
Process Waiting Time (s),109934.1293797493,826565.9186775875,1042345.3566296101
Accumulated Process Duration (s),4758191.472640514,2.393655647573054E7,2.8629328177919865E7
Cost,285.090303838253,859.4094020756748,1293.6084775010745


Process Cycle Time (s) distribution
From,To,Count
4758191,7145304,3
7145305,9532418,2
9532419,11919532,7
11919533,14306646,2
14306647,16693760,2
16693761,19080874,2
19080875,21467988,4
21467989,23855102,3
23855103,26242216,6
26242217,28629330,69

Process Waiting Time (s) distribution
From,To,Count
109934,203175,6
203176,296417,5
296418,389659,2
389660,482901,2
482902,576143,1
576144,669385,4
669386,762627,3
762628,855869,6
855870,949111,27
949112,1042353,44

Accumulated Process Duration (s) distribution
From,To,Count
4758191,7145304,3
7145305,9532418,2
9532419,11919532,7
11919533,14306646,2
14306647,16693760,2
16693761,19080874,2
19080875,21467988,4
21467989,23855102,3
23855103,26242216,6
26242217,28629330,69

Process Cost distribution
From,To,Count
285,385,2
386,486,7
487,587,13
588,688,10
689,789,6
790,890,14
891,991,10
992,1092,14
1093,1193,16
1194,1294,8

In-timetable Cycle time (s) distribution
From,To,Count
195922,293814,3
293815,391707,2
391708,489600,7
489601,587493,2
587494,685386,2
685387,783279,2
783280,881172,4
881173,979065,4
979066,1076958,5
1076959,1174851,69



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5822697.742389441,241256.74238944054,129376.87855696678,622.8965748204125
2,4758191.472640514,195922.96677422523,109934.1293797493,478.2825814141167
3,8556818.786610842,355431.1937596798,202549.75999236107,853.2394231677057
4,9960673.10612297,407988.85829019547,201453.00481009483,1154.244781331221
5,6876835.994351149,281397.9999847412,161995.2939543724,664.5599332332611
6,1.8796202518458843E7,772845.1102540493,658811.6679913998,634.7227529115148
7,1.07383489730165E7,442176.5117557049,238889.00465917587,1129.9747391038468
8,1.151198680872941E7,476812.2722744942,373025.40100479126,581.462443930573
9,2.8089266274617672E7,1152506.274617672,998652.0053005219,855.7931331859695
10,2.357084171750045E7,959913.8159861565,764729.2552280426,1084.76140676207
11,1.5865932378198147E7,647133.3449716568,450420.47338986397,1093.4349841064875
12,2.8045921697194815E7,1146974.5422244072,964498.404622078,1016.2456338326136
13,1.1100255800364494E7,455824.68918156624,272398.57019877434,1019.4342553893725
14,1.0217324564158201E7,419062.9239144325,268755.38425421715,837.1773857447838
15,2.8004767665198803E7,1147742.876810789,1036010.5199379921,624.6208668576347
16,7373978.361630678,302104.9413692951,170804.87059903145,730.5165600763428
17,1.077958782366705E7,443363.94344329834,272499.6216516495,951.7401209857728
18,1.103013539288354E7,455682.6100459099,268346.7903561592,1040.7658988753951
19,1.3769395944012642E7,564727.0737507343,513511.5645284653,285.090303838253
20,1.4184980522206306E7,583544.8413984776,373855.5845878124,1165.464335576693
21,2.7867812099907637E7,1143632.0999076366,940383.1111571789,1130.5077293011877
22,2.845735987971139E7,1165153.5611240864,957584.0521039963,1154.2802523639464
23,1.5696143644398928E7,641705.5284759998,456488.8379187584,1032.481689069006
24,2.8213169303133965E7,1154401.9761645794,935089.133412838,1219.468378182252
25,2.5952106828071356E7,1061733.2979586124,966114.0437147617,531.844958799415
26,1.9543018165403843E7,798191.203471899,590104.8235721588,1157.7595721443492
27,2.229337389738059E7,911029.174050808,761995.8363032341,829.1233245942329
28,2.452988371889305E7,1003537.2021765709,860675.453804493,793.943415647083
29,1.960199374279976E7,798347.0490107536,644382.7316179276,856.3554839955436
30,2.774119638942051E7,1133838.983783245,1034698.2309696674,555.1519461247656
31,2.448843728392291E7,1000530.8707399368,767928.7938323021,1293.6084775010745
32,2.776634984385848E7,1136463.1373288631,961050.4509937763,975.551927710904
33,2.749273668500495E7,1129046.6468176842,971178.8562748432,879.9859857771132
34,2.0213861797582865E7,828113.7743747234,671385.1619246006,875.2597073992093
35,2.762496340915847E7,1130851.570406437,950311.6427321434,1003.750030316247
36,1.950329820565605E7,797660.2325766087,670686.9841473103,709.2818737917477
37,1.7152106807070732E7,704882.6400375366,640722.2548208237,357.9680748475922
38,2.7684146048561096E7,1138392.7822890282,1009802.679002285,714.4929227696524
39,2.7569633606914043E7,1131526.579367876,908876.83949399,1240.333625479539
40,2.307566481905842E7,942302.4706394672,763706.213205576,995.6347013552984
41,2.7587244082276344E7,1130266.5956366062,917980.5696926117,1182.7145352880157
42,2.554513314756131E7,1047603.7989039421,837271.2657248974,1170.9295905272163
43,2.7558691236515045E7,1129729.2246272564,1030187.1602013111,554.3553305784862
44,2.387004114701748E7,978414.7827274799,791688.6494967937,1038.8109530978732
45,2.7532072331525326E7,1131056.7946431637,954177.8053824902,984.2955825355318
46,2.5051037631013393E7,1027268.1654164791,850323.6731827259,984.3553125421207
47,2.75573372547338E7,1130194.571391344,930204.6878681183,1111.5342170172269
48,2.8491534847266197E7,1170543.2708351612,1042345.3566296101,712.9557663586405
49,2.7475912982703686E7,1127246.9304533005,894492.2055666447,1293.5293829970888
50,2.7463958869888067E7,1129215.6685547829,901139.1996395588,1271.569716064135
51,2.8264597814199924E7,1158479.242102623,1037854.3397436142,670.4402004930708
52,2.774627916601467E7,1137014.5140793324,1039870.432046175,542.545379421446
53,2.747459033162999E7,1124331.0578708649,972242.830217123,846.6215579350791
54,2.7358555224619627E7,1115904.281392336,929081.7812042236,1039.4983487553066
55,2.7446241467163324E7,1123828.9966061115,899866.844398737,1244.869647737344
56,2.7329895260752916E7,1115132.9111642838,926351.110830307,1051.5426977727147
57,2.8629328177919865E7,1174852.8840346336,1026009.6839597225,830.2864780041907
58,2.7403061344334126E7,1122581.4250342846,974528.37261796,823.8816608866058
59,2.739016972042656E7,1123673.4700856209,892312.3000032902,1285.5699566139112
60,2.8315833033047915E7,1159138.442312479,957774.7707564831,1123.0165223677952
61,2.730719715948534E7,1119158.9299573898,996830.4367215633,680.1698820432027
62,2.7247673367531538E7,1116987.453720808,912906.2295415401,1134.342860656314
63,2.723201749985671E7,1115316.1865348816,979239.2772319317,757.0154139611457
64,2.7265862280216694E7,1119984.6718394756,913599.4296603203,1148.2996263729199
65,2.7250819522130966E7,1115349.5120460987,910474.3351998329,1142.4040307190678
66,2.7239335596757412E7,1117846.4828324318,1031135.5943992138,481.92750257253647
67,2.761398162288308E7,1131854.3571407795,919900.6574251652,1180.2203637984062
68,2.726273253989911E7,1115256.0218179226,1036595.6234884262,439.9766159070862
69,2.7249529084539413E7,1116098.8834178448,1013801.5842642784,569.1604794409541
70,2.718346664396262E7,1114567.2230467796,1024047.8516144753,506.46158559057443
71,2.7479906139276743E7,1122468.1933016777,901548.0831165314,1229.48679754734
72,2.7207300704386473E7,1112457.629241228,997678.5773761272,638.9409985078706
73,2.735310819287157E7,1117442.071354866,1018695.5290980339,550.7966114997863
74,2.712751950064397E7,1111169.4812800884,967306.8967514038,804.0068204455906
75,2.706678067680168E7,1107776.5884325504,948372.0589323044,885.6555672473377
76,2.7152377124794483E7,1113662.9940919876,942828.4230942726,950.1966728780005
77,2.7137815413674116E7,1113149.3991861343,941671.6224377155,953.0439993076856
78,2.70706209620142E7,1110411.5110988617,926192.0961253643,1024.3028780380887
79,2.705456769720626E7,1108386.363338232,973527.1427309513,750.4558713462619
80,2.7429640837208986E7,1122838.2855370045,942314.5753099918,1005.2482962648073
81,2.6980671573668003E7,1105816.1674625874,1021859.0648300648,467.1215483453538
82,2.6968374493546963E7,1107461.8531787395,941707.670157671,923.5757415440348
83,2.695487770443797E7,1104424.7599160671,956164.4299015999,824.1609569364125
84,2.6939975918297768E7,1103496.3254761696,1006418.0147461891,539.8008617851472
85,2.857683210113311E7,1172751.1409666538,989472.8255608082,1019.9262143704626
86,2.695923706511736E7,1107557.35155797,1009852.8984158039,543.1183906449213
87,2.694397875360775E7,1106337.6845347881,1034964.2786719799,400.5873254511091
88,2.6930706860393524E7,1106990.696905613,990856.5422034264,645.590113137828
89,2.6968507922799587E7,1108336.7304475307,991127.1920146942,652.9441572705905
90,2.7112927543161392E7,1109287.5431613922,1013123.1183695793,540.8570102638668
91,2.69409613581388E7,1105215.4892635345,1010958.6066160202,524.2486699872546
92,2.687531891298175E7,1104032.3827996254,1018314.8943929672,476.9710808118184
93,2.6858787218978405E7,1101552.0950901508,897153.2869856358,1137.689262435171
94,2.6898671343771696E7,1104992.8566896915,935570.5713169575,946.4125510864787
95,2.6832566980623007E7,1103383.567267418,1021901.4625928402,452.8732622702916
96,2.6871389784855127E7,1098673.2614033222,987657.482386589,618.6640726751754
97,2.68054911744287E7,1097167.498584032,992573.9477672577,584.0163756132127
98,2.6842283591261387E7,1097467.4410779476,927229.7922155857,948.9365441706445
99,2.8298942544347286E7,1155904.4295575619,992783.3935983181,908.1747174117301
100,2.7149977370892048E7,1108917.458530426,918849.0153267384,1058.6234479029974
