Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,84
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1584.4776535784044,18.706802129745483,8355.927977085114,196475.22904372215,0.0,0.0,0.0,0.0,35506.45161290323,0.0,169320.0,4402800.0,8.802653630991133,0.10392667849858601,46.421822094917296,1091.5290502429004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124
Amend Request for Quotation,640.0556258194977,164.63646388053894,1138.6417434215546,92168.01011800766,0.0,0.0,0.0,0.0,16887.5,0.0,158460.0,2431800.0,3.5558645878860995,0.9146470215585497,6.325787463453081,512.0445006555983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144
Analyze Purchase Requisition,392.2085956213248,240.22027373313904,538.8452477455139,107465.155200243,0.0,0.0,0.0,0.0,6679.92700729927,0.0,158460.0,1830300.0,2.1789366423406937,1.3345570762952168,2.9935847096972994,597.02864000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274
Analyze Quotation Comparison Map,1164.664577345848,365.62995862960815,2028.5814673900604,174699.6866018772,0.0,0.0,0.0,0.0,28434.0,0.0,158460.0,4265100.0,6.470358763032489,2.0312775479422673,11.269897041055891,970.5538144548733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,57674.60876810551,810.1116073131561,242825.34102106094,1.695633497782302E7,56290.23114296044,0.0,241335.46205163002,1.6549327956030369E7,1342588.9795918367,0.0,5645340.0,3.9472116E8,7.696294010505472,0.0,15.336138543817732,2262.710439088609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294
Approve Purchase Order for payment,51396.312681509655,60.0,245710.40052223206,7709446.902226448,51336.312681509655,0.0,245650.40052223206,7700446.902226448,1199454.0,0.0,5702940.0,1.799181E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,2805.7704442214967,0.0,15112.40822672844,420865.5666332245,2805.7704442214967,0.0,15112.40822672844,420865.5666332245,69551.2,0.0,407040.0,1.043268E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,121120.6424435711,363.287629365921,246465.1566607952,1.8168096366535664E7,120539.81038513502,0.0,245926.54635763168,1.8080971557770252E7,2831291.2,0.0,5800200.0,4.2469368E8,3.22684476908931,2.01826460758845,4.332553994655609,484.0267153633965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1838.2944250933328,315.113520860672,3401.0066690444946,275744.16376399994,0.0,0.0,0.0,0.0,58241.812484057744,0.0,157290.50168418884,8736271.872608662,10.212746806074076,1.7506306714481779,18.894481494691636,1531.9120209111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,122893.6766239961,4248.1590094566345,263041.4084727764,1.8434051493599415E7,110875.40440855344,0.0,247069.98385167122,1.6631310661283016E7,2875484.4,43260.0,6174900.0,4.3132266E8,66.76817897468145,13.378280622429317,120.99959931638506,10015.226846202217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,309.94522566159566,1.676069736480713,1744.9975864887238,46491.78384923935,0.0,0.0,0.0,0.0,7205.6,0.0,154860.0,1080840.0,3.4438358406843963,0.018622997072007923,19.38886207209693,516.5753761026594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,360927.1085449012,17356.954693555832,900781.7660448551,5.413906628173518E7,262731.96484635514,0.0,758892.4489774704,3.940979472695327E7,8454885.6,410700.0,2.11149E7,1.26823284E9,545.5285761030341,69.18653422196707,974.6475625210338,81829.28641545512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274
Pay Invoice,3602.073606608709,241.72314405441284,15457.870500087738,540311.0409913063,3036.110107212067,0.0,14705.04213476181,455416.51608181,94548.0,0.0,407040.0,1.41822E7,3.1442416633146775,1.3429063558578491,4.896524262428284,471.6362494972016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,2546.0,0.0,97260.0,381900.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,679.3315843661626,122.4952871799469,13232.036737203598,101899.73765492439,409.53697266419726,0.0,12834.426104545593,61430.54589962959,10104.8,0.0,252120.0,1515720.0,1.4988589538998072,0.6783166448275249,2.3003736588690016,224.82884308497108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,323890.1493155193,0.0,758373.700224638,4.85835223973279E7,323890.1493155193,0.0,758373.700224638,4.85835223973279E7,7579952.0,0.0,1.777524E7,1.1369928E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,84016.57929538409,766.3703389167786,244341.63582539558,1.2602486894307613E7,82549.66754651387,0.0,242190.16861462593,1.2382450131977081E7,1968440.4,0.0,5749740.0,2.9526606E8,8.149509715945634,1.854047225581275,12.811730343765683,1222.4264573918451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,167138.94767321588,23842.353672266006,297214.86927604675,2.507084215098238E7,135114.486684405,4464.199686527252,246104.5763733387,2.026717300266075E7,3912194.8,580020.0,6960240.0,5.8682922E8,177.91367216006032,80.45352953407499,292.4268234848976,26687.050824009046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,10615.168724663556,591.5760295391083,36111.91081738472,679370.7983784676,2605.8026124052703,0.0,14151.286872148514,166771.3671939373,262470.0,0.0,832200.0,1.679808E7,44.496478401434906,0.1509331186612447,173.6133335126771,2847.774617691834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4267682.996008873,3.325561700339588E7,4.3537367473991394E7
Process Cycle Time excluding out of timetable hours (s),174181.996008873,1362055.5909118175,1780867.3396008015
Process Waiting Time (s),104647.74741387367,1204729.875546918,1583738.393512249
Accumulated Process Duration (s),4267682.996008873,3.325561700339588E7,4.3537367473991394E7
Cost,284.3944939586851,875.7640720676842,1552.7024948477742


Process Cycle Time (s) distribution
From,To,Count
4267682,8194650,4
8194651,12121619,6
12121620,16048588,10
16048589,19975557,3
19975558,23902526,8
23902527,27829495,6
27829496,31756464,12
31756465,35683433,4
35683434,39610402,13
39610403,43537371,84

Process Waiting Time (s) distribution
From,To,Count
104647,252556,9
252557,400466,6
400467,548376,5
548377,696286,6
696287,844196,5
844197,992106,8
992107,1140016,6
1140017,1287926,9
1287927,1435836,23
1435837,1583746,73

Accumulated Process Duration (s) distribution
From,To,Count
4267682,8194650,4
8194651,12121619,6
12121620,16048588,10
16048589,19975557,3
19975558,23902526,8
23902527,27829495,6
27829496,31756464,12
31756465,35683433,4
35683434,39610402,13
39610403,43537371,84

Process Cost distribution
From,To,Count
284,410,8
411,537,13
538,664,22
665,791,18
792,918,24
919,1045,16
1046,1172,20
1173,1299,14
1300,1426,14
1427,1553,1

In-timetable Cycle time (s) distribution
From,To,Count
174181,334849,4
334850,495518,6
495519,656187,10
656188,816856,3
816857,977525,8
977526,1138194,6
1138195,1298863,12
1298864,1459532,4
1459533,1620201,11
1620202,1780870,86



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,4267682.996008873,174181.996008873,104647.74741387367,390.467112203439
2,1.0548701421607494E7,434783.0768482685,227898.83529639244,1150.5772995087834
3,1.2783601030258417E7,525704.3121993542,364747.7747721672,897.1140195078323
4,8543815.91698265,352756.28970503807,191247.58758211136,899.2663361642096
5,1.388929097121787E7,567782.98331213,400448.32032322884,930.6862960629993
6,9641389.884469986,394010.4537279606,243779.98822546005,835.1773387087717
7,5294075.720918417,218078.8533194065,130855.0272333622,490.45438638130815
8,1.0465251098414183E7,431674.2789285183,220667.589063406,1181.9538191755612
9,7868109.816195726,324189.8161957264,176955.46639823914,822.1307372503812
10,1.371883685039115E7,557618.8037230968,322934.64292383194,1307.3788256976338
11,4.010270297007537E7,1639906.2136240005,1405828.8986530304,1302.1981860478718
12,1.5604967417717218E7,634357.6165173054,523772.49793219566,616.8810272216797
13,1.246619790073967E7,506876.29399847984,316691.850110054,1061.0673660079635
14,1.2453217046978235E7,507900.7638454437,359907.2457869053,826.6284625000425
15,4.146935175407505E7,1697101.4427628517,1555928.421302557,787.2705112642712
16,1.2214689274938107E7,502678.56687402725,403741.8133533001,551.9832566552692
17,1.1982480792373419E7,489807.96493530273,359796.21883916855,722.4735720859634
18,7736627.099173784,318176.2710850239,210116.49076080322,600.6891490115061
19,1.3432943249711752E7,552446.6577823162,420769.6102256775,731.9950865175989
20,8236701.680823326,338288.64078879356,244995.7947371006,520.1859937734075
21,2.1269169641756058E7,874749.6417560577,631442.0505268574,1352.3010438707138
22,1.2945788743251085E7,528951.5445432663,404746.8323562145,690.2127949608697
23,2.658246143504119E7,1087746.7406561375,903191.5937855244,1027.481630516052
24,2.087985310608864E7,853585.1123642921,613865.3526806831,1332.7271780583592
25,2.1213146871641636E7,869487.5393445492,760769.0773541927,605.3847806308006
26,2.145957567682624E7,877770.4116635323,625931.2180767059,1402.955789176623
27,3.725257333040595E7,1528538.214000225,1366417.2489380836,901.0628530899684
28,2.6512450347275496E7,1084322.7990145683,887886.9217762947,1091.7751833279926
29,2.0709108859445572E7,843069.1623980999,779569.678221941,352.98122535811524
30,2.9264673079154015E7,1195028.0844290257,1102378.9420204163,515.3980090989007
31,2.3202720945480347E7,947330.0841488838,753068.6990616322,1081.8211193746988
32,1.7744127498470783E7,722988.5470039845,529759.0122447014,1073.898054075241
33,1.7732772094819546E7,725683.7964727879,624882.6728541851,563.562695397271
34,4.120498049853301E7,1688347.3985712528,1483909.2998228073,1136.1051720605954
35,4.339769018392658E7,1780345.7402172089,1583738.393512249,1092.5033723301356
36,1.5268918358164072E7,623947.0844955444,551621.8927531242,402.3795654945903
37,2.311919329284787E7,947962.494661808,833027.6346752644,638.5363114237787
38,3.0867195724886894E7,1267017.8441114426,1106936.8229248524,891.7256107886632
39,1.8152660068071842E7,746818.1344151497,597167.3003833294,835.0274110224512
40,4.3118893123747826E7,1769703.7875344753,1573988.0333008766,1088.9157377931804
41,3.705578542714691E7,1520731.1391363144,1340940.1579334736,1000.5068364222846
42,4.1267803037825346E7,1690334.6568629742,1454332.5901277065,1312.072535975774
43,4.0919082056007385E7,1679702.8079993725,1494616.4483382702,1029.8087416291237
44,2.2759936518153667E7,935164.7257020473,822951.9729526043,624.1279214686818
45,2.9054792452389956E7,1191705.563986063,978191.1776006222,1194.917000652684
46,2.652063233543229E7,1088869.165280819,925381.5146698952,915.7859862380558
47,2.816245019548297E7,1155964.6805062294,972080.7580242157,1022.2331952532134
48,4.1108151665219784E7,1683182.174487114,1448800.1049268246,1302.2992692112923
49,2.76889505240829E7,1135769.1214709282,958463.535163641,988.2470034480095
50,4.076834440018201E7,1674070.0793588161,1526770.0497152805,820.4625067220795
51,2.619052914446211E7,1074037.2944307327,943925.5699930191,723.9758469488887
52,4.11281711130898E7,1686811.1130897999,1533860.6558206081,849.9345560497708
53,4.103712281698108E7,1675306.9038920403,1537516.1999297142,766.3346852064133
54,4.136995147298193E7,1694240.545787096,1414930.4427978992,1552.7024948477742
55,4.1009297341907024E7,1675407.703466177,1580371.1072638035,529.3327754126655
56,2.8641525962794542E7,1174194.533232689,1056301.6266553402,658.7704486144916
57,4.0981878144411564E7,1675970.03459239,1566263.4102225304,611.9918282137978
58,3.163541056897807E7,1295757.1884171963,1161600.4810862541,746.804766963588
59,2.496905675338292E7,1023693.6971738338,920936.4438660145,571.2419165796705
60,4.068161195915985E7,1669730.6061706543,1556501.5750522614,630.6417400452826
61,3.0643084103232384E7,1253358.2104344368,1074788.5328025818,993.0296624541284
62,3.329502281848502E7,1365058.7610788345,1170743.0199005604,1079.9601378732257
63,3.0515091471467257E7,1250648.4688322544,1037294.1459312439,1186.492944922712
64,2.853018674416089E7,1174731.1530094147,1072736.5277574062,567.8749371952481
65,4.0870505883630276E7,1673087.1877553463,1533186.4137687683,779.2841285162503
66,4.059832230536342E7,1667029.194111824,1561621.2817239761,586.8214222192765
67,4.084090957715845E7,1671587.5907051563,1458133.4415159225,1188.080063266224
68,4.3537367473991394E7,1780867.3396008015,1548151.610921383,1293.3379036002689
69,4.0714862817334175E7,1667188.2177040577,1514697.4031596184,848.2628756324452
70,3.2408093736091137E7,1325331.0253300667,1190703.3251593113,749.7575009557937
71,3.040323688979888E7,1243870.0423734188,1181548.1072685719,347.47902570300624
72,4.077063963283849E7,1664239.9631738663,1560297.740844965,578.7003297156758
73,3.142508769011712E7,1285122.4763412476,1172389.5011570454,626.9541560318736
74,4.074264692137575E7,1664337.1017899513,1482798.2391240597,1009.1078259295888
75,4.0731315822083E7,1666962.067679882,1436312.2048678398,1281.6345741377936
76,3.854155088207626E7,1577159.469682932,1336123.291168213,1340.8402940008373
77,3.655157834007621E7,1499652.6918907166,1265041.6812222004,1303.7371356752183
78,4.06870818494761E7,1664718.0235321522,1576625.760689497,491.70129813485676
79,4.0672102232919216E7,1663824.2747764587,1503063.3216996193,895.6896714011829
80,4.065820991444254E7,1663928.949407816,1566603.5625340939,542.0168042977652
81,3.449580324798536E7,1412990.7037484646,1260676.3452250957,846.4969377160073
82,4.06322064072566E7,1665872.473605156,1448276.2357401848,1214.3506349086758
83,3.041235533290434E7,1244759.0746483803,1168887.0905032158,422.5212939222653
84,4.060307715732479E7,1661131.402196169,1454251.4882628918,1152.7608528150452
85,3.6096390855543375E7,1480710.2034749985,1331532.1569719315,829.5500674221253
86,3.4005632321989775E7,1396197.174042225,1244635.5536124706,842.2601832893159
87,4.056122275432563E7,1661308.7191536427,1484865.4232838154,983.1011714511448
88,4.054810143867636E7,1662178.5644295216,1438414.5090892315,1248.298290128178
89,4.0533789908295155E7,1661912.5338082314,1562530.224208355,552.5633523901304
90,4.042029466136956E7,1656214.6613695621,1497191.9297890663,883.95391769939
91,3.876641011662412E7,1587027.2896232605,1429174.4901673794,877.967998553647
92,4.0493033025476456E7,1659687.4771213531,1447646.2200229168,1180.4303463353049
93,4.0217304039832115E7,1650056.932563305,1506463.1418874264,798.6567942606079
94,4.036442439873481E7,1656306.3108737469,1453837.121201992,1125.9336072047552
95,3.6215915168138266E7,1484635.9916100502,1355269.1188361645,719.435197309653
96,4.017505920407438E7,1642728.702390194,1491779.0127196312,840.0914723250603
97,4.042286161927247E7,1652491.9645733833,1446292.2997469902,1146.2169585678312
98,4.040626787149811E7,1649844.1239423752,1455613.3911201954,1080.1981841564177
99,4.039439080350399E7,1651983.846858263,1488369.3530101776,913.5705725431443
100,4.0380701954206705E7,1652364.1727509499,1537408.400838852,639.6548820654551
101,4.026647699871755E7,1649361.2878170013,1556550.5458333492,519.3097350147036
102,4.0596136018646E7,1661640.8292050362,1484138.8375496864,987.5006927039889
103,4.033701014343524E7,1650783.0002260208,1425938.4770359993,1249.9492295106252
104,4.006307916367054E7,1642998.5637686253,1434734.7205460072,1158.664814493391
105,4.031072040101576E7,1652603.6358776093,1526010.949277401,705.1970800254081
106,3.666744410805941E7,1503396.0201509,1424553.9660823345,438.84869780408013
107,4.028112029739857E7,1650983.752625227,1405243.5882313251,1367.307560678323
108,3.9404884160128355E7,1617389.3571872711,1542175.547043562,418.821761478318
