Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,13
Role 5,56

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,35552.46548169592,42.1395845413208,69097.42907452583,3270826.824316025,33896.85128310193,0.0,66261.15639591217,3118510.3180453777,838505.2173913043,0.0,1646340.0,7.714248E7,9.197856658855496,0.006957675351036919,82.38624524143007,846.2028126147056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
Amend Request for Quotation,22522.557799356084,0.0,67123.73969554901,1599101.603754282,21901.953392089254,0.0,66313.6053621769,1555038.690838337,525727.6056338028,0.0,1646340.0,3.732666E7,3.447802262593509,0.0,6.426398493183983,244.79396064413913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
Analyze Purchase Requisition,392.93179030468065,243.76906085014343,552.0620203018188,75442.90373849869,3.6188610966006913,0.0,254.04979801177979,694.8213305473328,4091.5625,0.0,158460.0,785580.0,2.162849606711555,1.3542725602785746,2.998267232047187,415.26712448861855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Analyze Quotation Comparison Map,27805.047129716873,376.31137561798096,66851.17410135269,2780504.7129716873,26687.878271884918,0.0,65557.90620064735,2668787.827188492,642779.4,0.0,1577940.0,6.427794E7,6.206493654621971,2.0688355498843722,11.199457714292738,620.6493654621971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,36720.90983602178,471.2096073627472,159503.35193872452,6279275.581959724,35316.07939060111,0.0,157774.3064646721,6039049.575792789,862919.298245614,0.0,3732300.0,1.475592E8,7.804613585670406,0.453229202164544,15.101638331678178,1334.5889231496394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
Approve Purchase Order for payment,20055.873961007594,60.0,157291.19400978088,2005587.3961007595,19995.873961007594,0.0,157231.19400978088,1999587.3961007595,463011.0,0.0,3681840.0,4.63011E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,87303.31880658865,0.0,280082.2539219856,8730331.880658865,87303.31880658865,0.0,280082.2539219856,8730331.880658865,2035083.0,0.0,6473940.0,2.035083E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,20283.990899169446,0.0,67621.66283249855,2028399.0899169445,20283.990899169446,0.0,67621.66283249855,2028399.0899169445,484331.4,0.0,1577940.0,4.843314E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,67037.37808128119,386.56824564933777,157291.85679650307,6703737.8081281185,66470.37341875077,0.0,156825.20232129097,6647037.341875076,1566883.8,0.0,3732300.0,1.5668838E8,3.1500259029467905,2.048496613237593,4.310920462343428,315.00259029467907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,36181.53707626581,984.013247013092,67980.41726326942,3618153.707626581,34440.30487609386,0.0,66961.69776034355,3444030.4876093864,843081.3966464282,15096.599011659622,1644207.4954676628,8.430813966464281E7,9.673512223177491,1.929620287153456,18.82168490356869,967.3512223177491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,38916.730551290515,2394.345547437668,174030.7502875328,3891673.055129051,27347.585365762712,0.0,154437.28074741364,2734758.536576271,914017.8,3660.0,4060140.0,9.140178E7,64.27302880848777,12.89952911403444,121.2726482934422,6427.302880848777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,340.39757051229475,3.5274903774261475,1290.0961799621582,34039.75705122948,0.0,0.0,0.0,0.0,2272.2,0.0,72060.0,227220.0,3.782195227914386,0.039194337526957196,14.334401999579535,378.2195227914386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,325279.29877389193,14533.345187664032,645288.3463642597,3.2527929877389193E7,230964.20564585208,0.0,527282.7071173191,2.309642056458521E7,7618579.8,277440.0,1.508418E7,7.6185798E8,523.9727396002211,69.97911162641313,972.0703638235728,52397.27396002211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Pay Invoice,54335.117010455135,291.3722722530365,223468.06371116638,5433511.701045513,53797.77746178389,0.0,222714.5263953209,5379777.746178389,1274992.8,0.0,5220180.0,1.2749928E8,2.9852197148402526,1.4088830338584053,4.991221616003249,298.52197148402524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,444.3940791583061,60.0,24461.813779592514,44439.40791583061,384.3940791583061,0.0,24401.813779592514,38439.40791583061,11059.8,0.0,580020.0,1105980.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,26024.86236225605,120.20963406562805,278700.59006643295,2602486.236225605,25759.42795912266,0.0,278483.3153295517,2575942.795912266,608664.6,0.0,6535080.0,6.086646E7,1.4746355729632905,0.6678313003646003,2.3260012295511032,147.46355729632904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,245157.68045743703,0.0,524179.7389559746,2.4515768045743704E7,245157.68045743703,0.0,524179.7389559746,2.4515768045743704E7,5750794.8,0.0,1.233528E7,5.7507948E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,28002.65795127392,807.4744520187378,157054.69859743118,2800265.795127392,26534.1289203763,0.0,155636.87852716446,2653412.89203763,655312.8,0.0,3685500.0,6.553128E7,8.158494616097872,2.5811166458659702,16.762070457140606,815.8494616097872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,91175.6438523221,16269.150774240494,200603.87662005424,9117564.38523221,59161.93310646057,0.0,156348.46524620056,5916193.310646057,2131736.4,255840.0,4712220.0,2.1317364E8,177.8539485881196,82.54915771219466,292.03082554340364,17785.39485881196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,84318.82659014667,110.89424633979797,280480.94710612297,4468897.809277773,72547.1315390164,0.0,267524.3160452843,3844997.971567869,1973010.566037736,0.0,6473940.0,1.0456956E8,65.39830583961253,0.4705516603257921,235.23960693147447,3466.1102094994644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7831826.803982735,2.990171239302205E7,3.746812142150307E7
Process Cycle Time excluding out of timetable hours (s),318972.6957113743,1225276.5963756228,1534272.0418083668
Process Waiting Time (s),212546.7681810856,1069871.787005198,1402033.706562519
Accumulated Process Duration (s),7831826.803982735,2.990171517243952E7,3.746812142150307E7
Cost,381.8448923521571,865.2665908800232,1488.5575826565423


Process Cycle Time (s) distribution
From,To,Count
7831826,10795455,4
10795456,13759085,1
13759086,16722715,5
16722716,19686345,4
19686346,22649975,9
22649976,25613605,8
25613606,28577235,6
28577236,31540865,0
31540866,34504495,2
34504496,37468125,61

Process Waiting Time (s) distribution
From,To,Count
212546,331494,4
331495,450443,3
450444,569392,2
569393,688341,7
688342,807290,10
807291,926239,6
926240,1045188,5
1045189,1164137,0
1164138,1283086,22
1283087,1402035,41

Accumulated Process Duration (s) distribution
From,To,Count
7831826,10795455,4
10795456,13759085,1
13759086,16722715,5
16722716,19686345,4
19686346,22649975,9
22649976,25613605,8
25613606,28577235,6
28577236,31540865,0
31540866,34504495,2
34504496,37468125,61

Process Cost distribution
From,To,Count
381,491,10
492,602,13
603,713,15
714,824,13
825,935,5
936,1046,12
1047,1157,13
1158,1268,12
1269,1379,4
1380,1490,3

In-timetable Cycle time (s) distribution
From,To,Count
318972,440501,4
440502,562031,1
562032,683561,5
683562,805091,4
805092,926621,9
926622,1048151,8
1048152,1169681,6
1169682,1291211,0
1291212,1412741,2
1412742,1534271,61



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.4626980139761686E7,601079.1397616863,394088.7987244129,1149.9931160330768
2,1.5220769157840729E7,629452.5588290691,441776.7567830086,1043.1397335370384
3,1.0294816329389572E7,423704.7376203537,212546.7681810856,1174.9391725805071
4,8758316.837808847,360596.8378088474,249909.65069556236,618.9980032669174
5,7831826.803982735,318972.6957113743,217429.69431352615,564.1473827123641
6,1.0914208146637917E7,452169.6357061863,336805.2121629715,644.9553976376851
7,3.5593888279144526E7,1453093.2914791107,1331347.6405587196,677.1638133976195
8,8668586.26104474,353312.8049619198,264911.38789749146,491.23191846741565
9,1.658068386118126E7,678056.6830561161,575490.3750267029,571.092586488194
10,1.8385520930621147E7,753121.0894958973,654111.9851167202,555.4946451796426
11,3.746812142150307E7,1534272.0418083668,1308402.8382475376,1256.8766397476197
12,1.521933839679885E7,621691.7458574772,453177.14847040176,937.3638223701054
13,2.3727168414693356E7,970760.6212949753,759382.1985788345,1175.45562808911
14,1.8334354395352602E7,753650.4410834312,633836.5381176472,668.0925517744488
15,1.9695966394500256E7,805495.1985309124,676636.7385694981,716.9254422598416
16,2.073391418217826E7,851792.6142251492,710552.3728783131,787.2493777314822
17,1.586764130240035E7,654118.6635506153,477991.7727048397,985.6499279207654
18,3.719164779551101E7,1523997.7558164597,1256214.2245924473,1488.5575826565423
19,3.598213357061458E7,1475848.6039848328,1319052.5160868168,871.6563891688984
20,3.552504724470544E7,1455564.4806423187,1208828.3675396442,1371.4653265595434
21,2.3617401449933052E7,968101.5709421635,838372.4021975994,721.1681398762597
22,3.589824274556017E7,1470339.6724681854,1211547.6259834766,1439.1485526005424
23,3.563578804959941E7,1457868.049599409,1236613.6665308475,1230.069692081875
24,3.547580056243634E7,1456340.5624363422,1224007.4668955803,1292.876805910799
25,2.2129754777466774E7,905536.3725018501,699767.0988504887,1147.1051266921893
26,3.542835213773632E7,1449328.3558690548,1251995.2854614258,1099.30487869713
27,3.54289552871027E7,1451377.0021960735,1224778.354032278,1259.515962233808
28,2.601641497726631E7,1065932.187575817,868245.3328597546,1099.4098476383417
29,2.4148617177335024E7,990458.2408056259,763448.3479502201,1263.6166946808496
30,1.8037128624949932E7,739468.9415493011,622617.7376413345,653.9764976302783
31,2.0819394982962847E7,850736.8319609165,666883.2652304173,1022.2757797876995
32,3.512169977769613E7,1439797.1616680622,1226570.8361244202,1185.4470901264083
33,3.571463637771559E7,1463774.5047795773,1293645.417821169,947.2511697371801
34,1.7996850876684427E7,742004.7195513248,659975.22301507,458.26674590640584
35,3.518513884454203E7,1441373.8484232426,1258452.1432812214,1017.3063418865205
36,3.687100250029874E7,1509015.9722092152,1272382.260146618,1315.6687355650795
37,3.5059101597553015E7,1437221.4120473862,1298576.391175747,771.0462649623554
38,2.49470085888834E7,1021358.4627492428,808077.8587508202,1189.0894035326107
39,2.0365900386550188E7,838020.2138187885,719082.8692910671,662.43981697162
40,3.702721225621414E7,1518572.3149647713,1371936.5462436676,815.3895670705372
41,2.2711137302637577E7,931947.7044491768,767121.0821869373,915.9573711593945
42,3.561582026813984E7,1461132.9246704578,1356658.2679662704,580.5288915991783
43,2.065150281598091E7,846477.0392525196,742142.3837351799,581.3198533243602
44,3.698033710389876E7,1518318.7160186768,1321543.2903044224,1097.4979087604415
45,2.6006818857679844E7,1065958.857679844,893606.1527392864,958.3391385965878
46,3.530870209335899E7,1444392.756589651,1229423.6894993782,1196.4044764280318
47,3.5063663327954054E7,1436794.7482237816,1249266.0682599545,1043.454939089881
48,3.694895200070548E7,1512276.3666644096,1354643.4263322353,877.8885685006778
49,2.0618091705859423E7,844243.5854873657,757439.1854441166,484.72731023099686
50,3.505495381120205E7,1433956.9700365067,1321954.6768548489,626.2131217095588
51,3.526875007495475E7,1446251.7441706657,1340778.1724557877,590.2604118890232
52,3.5099589148693085E7,1440159.9571831226,1197452.1783742905,1349.3402860932881
53,3.552334945315361E7,1458461.2144811153,1349431.2845151424,606.9696704281702
54,3.530454466223621E7,1448977.3636541367,1345006.5908768177,577.8468730356959
55,3.509003485721445E7,1441851.621840477,1241628.8634624481,1113.3318879617582
56,2.4622093491775274E7,1010593.4917752743,867681.922586441,797.2096271793048
57,2.7086741179847717E7,1106919.477739334,920836.5275423527,1035.2838225258722
58,2.75856708946476E7,1128343.585884571,965662.7447288036,906.1871162520516
59,2.1703740820142984E7,887329.4319207668,787970.6631579399,555.225264928076
60,2.4719865970918655E7,1010464.6564266682,940290.928180933,390.5387315564685
61,3.52076105582571E7,1441398.9010961056,1314726.6492168903,706.2020771476958
62,2.16783023346169E7,886834.7138741016,797514.3769721985,496.4072589145766
63,2.666703633036208E7,1092876.455607891,945482.0883383751,819.2541270401745
64,3.678134532220888E7,1509162.019617319,1315841.7641415596,1077.682992351055
65,3.6780637659930944E7,1510606.4306316376,1317053.6759228706,1077.0304436551198
66,3.6685314841671705E7,1503167.4381456375,1306732.1752722263,1095.0149332576327
67,2.509099516908121E7,1029819.3029956818,952781.7955269814,428.56333957778077
68,3.515794291310692E7,1442800.1295757294,1323752.6756558418,668.0965058591632
69,3.47520532722919E7,1424762.9783549309,1238716.2475261688,1037.0112291084392
70,3.674406605898571E7,1508499.0302317142,1286835.177589178,1232.6602515909406
71,2.6625560959514618E7,1092534.284878254,962511.8226060867,722.8608105288613
72,3.483447202160072E7,1427492.0216007233,1354634.740680933,408.10801283253556
73,3.507743400865841E7,1436522.6760447025,1349484.7068150043,484.0544081966081
74,3.483468398361325E7,1424996.257106781,1245740.0208296776,997.4231364594567
75,3.5239457998642445E7,1441541.353757143,1332011.63976264,614.913709751765
76,3.6446230109987736E7,1490170.1099877357,1290583.3508594036,1109.1584894299508
77,3.497345178076863E7,1429919.2772417068,1271401.4101867676,882.2761944916515
78,3.47865126822958E7,1422057.3053731918,1279829.5289080143,790.9592816856174
79,3.640748591912532E7,1489097.137518406,1354227.9394800663,749.4353531678518
80,3.492036494327593E7,1428077.5464293957,1352436.4581112862,422.71655102041024
81,3.496608236544776E7,1431657.4581692219,1311709.0713291168,666.8360394663282
82,3.6686621337958336E7,1501254.925895214,1301539.037248373,1109.7854703214432
83,3.470017876194668E7,1420698.4752144814,1297242.0053441525,688.2223860197598
84,3.4702079748459816E7,1423540.17147398,1312354.2069079876,618.407117190626
85,3.6403202009866476E7,1493174.4449896812,1316076.7084035873,985.6655738155048
86,3.466605246932888E7,1425717.8470590115,1320128.2479436398,587.558077384366
87,3.637249480637765E7,1486862.9748716354,1355315.992686987,733.2110418438913
88,3.636725860394192E7,1487431.3140547276,1238130.1704158783,1385.2442580156855
89,3.640001193672538E7,1492577.9620695114,1398637.4580209255,522.7950736006101
90,3.6319308602737665E7,1487787.821367979,1290387.3480329514,1099.3536144508253
91,3.631858375596142E7,1487755.3126952648,1263489.3036391735,1246.472555106216
92,3.632332606365204E7,1492284.8991971016,1275489.902958393,1210.5268485334184
93,3.6124584316030264E7,1482294.7629175186,1393008.8142371178,499.9199074308077
94,3.62626920134635E7,1481338.7204787731,1402033.706562519,443.64585441748295
95,3.425227555519462E7,1401553.3469729424,1257172.9780128002,804.5925710426437
96,3.616425564929056E7,1479559.2673015594,1362448.253907442,652.343453848362
97,3.441974145632815E7,1410866.6920855045,1342216.3788063526,381.8448923521571
98,3.622722483139944E7,1482382.8230605125,1345103.7959227562,765.065638560719
99,3.6111339484258175E7,1478051.988790512,1372349.062035799,588.3212219132317
100,3.618327498068142E7,1486302.8053383827,1290040.7997686863,1091.671544204818
