Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
I want to add a resource,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Pay Invoice,598.5876934051514,254.99039888381958,893.7962644100189,59858.76934051514,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,4.156858981980216,1.7707666589154138,6.206918502847354,415.6858981980216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),254.99039888381958,598.5976934051514,893.7962644100189
Process Cycle Time excluding out of timetable hours (s),254.99039888381958,598.5876934051514,893.7962644100189
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),254.99039888381958,598.5976934051514,893.7962644100189
Cost,1.7707666589154138,4.156858981980216,6.206918502847354


Process Cycle Time (s) distribution
From,To,Count
254,317,12
318,381,6
382,445,10
446,509,4
510,573,10
574,637,15
638,701,7
702,765,8
766,829,14
830,893,14

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
254,317,12
318,381,6
382,445,10
446,509,4
510,573,10
574,637,15
638,701,7
702,765,8
766,829,14
830,893,14

Process Cost distribution
From,To,Count
1,1,19
2,2,18
3,3,26
4,4,23
5,5,14
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0

In-timetable Cycle time (s) distribution
From,To,Count
254,317,12
318,381,6
382,445,10
446,509,4
510,573,10
574,637,15
638,701,7
702,765,8
766,829,14
830,893,14



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,588.5689301490784,588.5689301490784,0.0,4.087284237146378
2,439.8809187412262,439.8809187412262,0.0,3.0547286023696265
3,881.8817527294159,881.8817527294159,0.0,6.124178838398722
4,307.17955899238586,307.17955899238586,0.0,2.1331913818915686
5,796.3660209178925,796.3660209178925,0.0,5.530319589707586
6,778.637677192688,778.637677192688,0.0,5.407206091615889
7,798.0525238513947,798.0525238513947,0.0,5.5420314156346855
8,672.1387491226196,672.1387491226196,0.0,4.667630202240414
9,552.529360294342,552.529360294342,0.0,3.8370094464884863
10,840.0896208286285,840.0896208286285,0.0,5.83395570019881
11,857.4914212226868,857.4914212226868,0.0,5.954801536268658
12,459.78210830688477,459.78210830688477,0.0,3.1929313076867
13,520.1307153701782,520.1307153701782,0.0,3.6120188567373486
14,855.8068177700043,855.8068177700043,0.0,5.943102901180585
15,736.047601222992,736.047601222992,0.0,5.111441675159666
16,778.1546511650085,778.1546511650085,0.0,5.403851744201448
17,404.5515525341034,404.5515525341034,0.0,2.8093857814868293
18,785.4236559867859,785.4236559867859,0.0,5.45433094435268
19,696.3686423301697,696.3686423301697,0.0,4.835893349515067
20,707.3517980575562,707.3517980575562,0.0,4.912165264288585
21,463.4829888343811,463.4829888343811,0.0,3.218631866905424
22,729.9830720424652,729.9830720424652,0.0,5.069326889183786
23,579.5091211795807,579.5091211795807,0.0,4.0243688970804214
24,550.183021068573,550.183021068573,0.0,3.8207154240873127
25,581.1337637901306,581.1337637901306,0.0,4.035651137431462
26,380.4522087574005,380.4522087574005,0.0,2.642029227481948
27,279.2543969154358,279.2543969154358,0.0,1.9392666452460818
28,864.9965934753418,864.9965934753418,0.0,6.006920788023207
29,608.7683186531067,608.7683186531067,0.0,4.227557768424352
30,478.40256786346436,478.40256786346436,0.0,3.3222400546073914
31,522.180181980133,522.180181980133,0.0,3.626251263750924
32,633.5544731616974,633.5544731616974,0.0,4.399683841400677
33,675.208770275116,674.208770275116,0.0,4.68200534913275
34,891.5444164276123,891.5444164276123,0.0,6.191280669636196
35,279.71919345855713,279.71919345855713,0.0,1.9424943990177579
36,857.7678835391998,857.7678835391998,0.0,5.956721413466665
37,406.0524778366089,406.0524778366089,0.0,2.8198088738653393
38,443.72111654281616,443.72111654281616,0.0,3.0813966426584454
39,371.20431423187256,371.20431423187256,0.0,2.5778077377213373
40,581.6093461513519,581.6093461513519,0.0,4.038953792717722
41,608.964658498764,608.964658498764,0.0,4.22892123957475
42,540.850067615509,540.850067615509,0.0,3.7559032473299236
43,828.696186542511,828.696186542511,0.0,5.754834628767437
44,823.178722858429,823.178722858429,0.0,5.71651890873909
45,875.3227276802063,875.3227276802063,0.0,6.078630053334766
46,345.13959097862244,345.13959097862244,0.0,2.3968027151293225
47,557.7047863006592,557.7047863006592,0.0,3.872949904865689
48,616.9855818748474,616.9855818748474,0.0,4.284622096353107
49,718.5650317668915,718.5650317668915,0.0,4.990034942825635
50,274.06385588645935,274.06385588645935,0.0,1.9032212214337454
51,262.9985194206238,262.9985194206238,0.0,1.826378607087665
52,782.1803514957428,782.1803514957428,0.0,5.431807996498214
53,752.7855639457703,752.7855639457703,0.0,5.227677527401182
54,824.9163746833801,824.9163746833801,0.0,5.7285859353012505
55,654.0019626617432,654.0019626617432,0.0,4.541680296262105
56,275.44542837142944,275.44542837142944,0.0,1.9128154748015933
57,554.7892520427704,554.7892520427704,0.0,3.8527031391859055
58,739.0561935901642,739.0561935901642,0.0,5.132334677709474
59,638.85462474823,638.85462474823,0.0,4.436490449640486
60,579.2832417488098,579.2832417488098,0.0,4.022800289922291
61,473.61819887161255,473.61819887161255,0.0,3.289015269941754
62,276.90805411338806,276.90805411338806,0.0,1.9229725980096393
63,858.5126852989197,858.5126852989197,0.0,5.961893647909164
64,672.7898600101471,672.7898600101471,0.0,4.672151805626021
65,400.5162272453308,400.5162272453308,0.0,2.7813626892036862
66,893.7962644100189,893.7962644100189,0.0,6.206918502847354
67,422.52274918556213,422.52274918556213,0.0,2.9341857582330704
68,330.55084800720215,330.55084800720215,0.0,2.295492000050015
69,339.0446047782898,339.0446047782898,0.0,2.354476422071457
70,404.34563541412354,404.34563541412354,0.0,2.807955801486969
71,865.0130927562714,865.0130927562714,0.0,6.007035366362995
72,818.6059989929199,818.6059989929199,0.0,5.684763881895277
73,388.6015655994415,388.6015655994415,0.0,2.698621983329455
74,791.6071882247925,791.6071882247925,0.0,5.497272140449947
75,401.448086977005,401.448086977005,0.0,2.7878339373403125
76,590.5349924564362,590.5349924564362,0.0,4.10093744761414
77,767.280770778656,767.280770778656,0.0,5.328338685962889
78,266.49137449264526,266.49137449264526,0.0,1.8506345450878143
79,883.3101978302002,883.3101978302002,0.0,6.1340985960430565
80,648.0266160964966,648.0266160964966,0.0,4.5001848340034485
81,703.6142718791962,703.6142718791962,0.0,4.8862102213833065
82,848.8336238861084,848.8336238861084,0.0,5.89467794365353
83,511.3390209674835,511.3390209674835,0.0,3.550965423385302
84,638.2157645225525,638.2157645225525,0.0,4.432053920295504
85,270.5850284099579,270.5850284099579,0.0,1.8790626972913742
86,440.25975036621094,440.25975036621094,0.0,3.0573593775431314
87,740.0496182441711,740.0496182441711,0.0,5.139233460028966
88,355.43362522125244,355.43362522125244,0.0,2.468289064036475
89,254.99039888381958,254.99039888381958,0.0,1.7707666589154138
90,595.7832272052765,595.7832272052765,0.0,4.137383522258864
91,817.8344206809998,817.8344206809998,0.0,5.67940569917361
92,621.1834015846252,621.1834015846252,0.0,4.313773622115453
93,818.4377617835999,818.4377617835999,0.0,5.683595567941666
94,615.433831691742,615.433831691742,0.0,4.273846053414875
95,318.15295696258545,318.15295696258545,0.0,2.209395534462399
96,884.9396176338196,884.9396176338196,0.0,6.145414011345969
97,557.8862426280975,557.8862426280975,0.0,3.874210018250677
98,523.5962612628937,523.5962612628937,0.0,3.6360851476589837
99,302.0731451511383,302.0731451511383,0.0,2.0977301746606827
100,658.6573343276978,658.6573343276978,0.0,4.574009266164568
