Resource utilization
Resource,Utilization %
Role 1,0
Role 32,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Pay Invoice,556.269675784111,244.67648935317993,885.804682970047,55626.9675784111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.734719326221942,4.281838563680648,15.501581951975822,973.4719326221942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),244.67648935317993,556.269675784111,885.804682970047
Process Cycle Time excluding out of timetable hours (s),244.67648935317993,556.269675784111,885.804682970047
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),244.67648935317993,556.269675784111,885.804682970047
Cost,4.281838563680648,9.734719326221942,15.501581951975822


Process Cycle Time (s) distribution
From,To,Count
244,308,13
309,373,12
374,438,9
439,503,7
504,568,13
569,633,8
634,698,11
699,763,6
764,828,11
829,893,10

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
244,308,13
309,373,12
374,438,9
439,503,7
504,568,13
569,633,8
634,698,11
699,763,6
764,828,11
829,893,10

Process Cost distribution
From,To,Count
4,5,25
6,7,12
8,9,19
10,11,17
12,13,13
14,15,14
16,17,0
18,19,0
20,21,0
22,23,0

In-timetable Cycle time (s) distribution
From,To,Count
244,308,13
309,373,12
374,438,9
439,503,7
504,568,13
569,633,8
634,698,11
699,763,6
764,828,11
829,893,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,681.5224719047546,681.5224719047546,0.0,11.926643258333206
2,541.6296129226685,541.6296129226685,0.0,9.478518226146697
3,423.63530921936035,423.63530921936035,0.0,7.4136179113388065
4,272.68196725845337,272.68196725845337,0.0,4.771934427022934
5,873.8344321250916,873.8344321250916,0.0,15.292102562189102
6,596.442361831665,596.442361831665,0.0,10.437741332054138
7,716.3633518218994,716.3633518218994,0.0,12.53635865688324
8,639.0593745708466,639.0593745708466,0.0,11.183539054989815
9,647.6881983280182,647.6881983280182,0.0,11.334543470740318
10,482.8865079879761,482.8865079879761,0.0,8.450513889789582
11,592.3057854175568,592.3057854175568,0.0,10.365351244807243
12,313.90418577194214,313.90418577194214,0.0,5.493323251008987
13,699.0538952350616,699.0538952350616,0.0,12.23344316661358
14,678.3003036975861,678.3003036975861,0.0,11.870255314707755
15,244.67648935317993,244.67648935317993,0.0,4.281838563680648
16,568.9319322109222,568.9319322109222,0.0,9.95630881369114
17,288.121310710907,288.121310710907,0.0,5.0421229374408725
18,820.7792322635651,820.7792322635651,0.0,14.363636564612388
19,761.6065275669098,761.6065275669098,0.0,13.328114232420921
20,597.7230079174042,597.7230079174042,0.0,10.460152638554574
21,878.7464683055878,878.7464683055878,0.0,15.378063195347785
22,813.6647758483887,813.6647758483887,0.0,14.239133577346802
23,776.5123071670532,776.5123071670532,0.0,13.588965375423431
24,832.7404696941376,832.7404696941376,0.0,14.572958219647408
25,333.15850853919983,333.15850853919983,0.0,5.830273899435997
26,421.12751269340515,421.12751269340515,0.0,7.36973147213459
27,558.6014566421509,558.6014566421509,0.0,9.77552549123764
28,356.39242601394653,356.39242601394653,0.0,6.236867455244064
29,491.3668067455292,491.3668067455292,0.0,8.59891911804676
30,525.3334722518921,525.3334722518921,0.0,9.193335764408111
31,430.73227548599243,430.73227548599243,0.0,7.537814821004868
32,885.7777218818665,885.7777218818665,0.0,15.501110132932663
33,568.1737613677979,568.1737613677979,0.0,9.943040823936462
34,342.5916736125946,342.5916736125946,0.0,5.995354288220406
35,381.8908405303955,381.8908405303955,0.0,6.683089709281921
36,499.05120277404785,499.05120277404785,0.0,8.733396048545837
37,344.62549209594727,344.62549209594727,0.0,6.030946111679077
38,408.4949266910553,408.4949266910553,0.0,7.148661217093467
39,679.2681105136871,679.2681105136871,0.0,11.887191933989525
40,539.5112814903259,539.5112814903259,0.0,9.441447426080703
41,435.3905448913574,435.3905448913574,0.0,7.619334535598755
42,295.25337409973145,295.25337409973145,0.0,5.1669340467453
43,448.86313915252686,448.86313915252686,0.0,7.85510493516922
44,769.4204361438751,769.4204361438751,0.0,13.464857632517814
45,287.43064880371094,287.43064880371094,0.0,5.030036354064942
46,586.478675365448,586.478675365448,0.0,10.26337681889534
47,856.7138659954071,856.7138659954071,0.0,14.992492654919625
48,551.6055779457092,551.6055779457092,0.0,9.653097614049912
49,820.5690267086029,820.5690267086029,0.0,14.35995796740055
50,489.3241901397705,489.3241901397705,0.0,8.563173327445984
51,387.1673858165741,387.1673858165741,0.0,6.7754292517900465
52,262.1812582015991,262.1812582015991,0.0,4.588172018527985
53,685.7900750637054,685.7900750637054,0.0,12.001326313614845
54,444.74691462516785,444.74691462516785,0.0,7.783071005940437
55,562.6540489196777,562.6540489196777,0.0,9.84644585609436
56,847.0358700752258,847.0358700752258,0.0,14.823127726316452
57,604.2981674671173,604.2981674671173,0.0,10.575217930674553
58,399.57425928115845,399.57425928115845,0.0,6.992549537420273
59,249.84555435180664,249.84555435180664,0.0,4.372297201156616
60,880.9039018154144,880.9039018154144,0.0,15.415818281769752
61,256.9355642795563,256.9355642795563,0.0,4.496372374892235
62,452.1253287792206,452.1253287792206,0.0,7.91219325363636
63,827.1067583560944,827.1067583560944,0.0,14.47436827123165
64,860.3221933841705,860.3221933841705,0.0,15.055638384222984
65,767.0873942375183,767.0873942375183,0.0,13.42402939915657
66,312.56719517707825,312.56719517707825,0.0,5.4699259155988695
67,348.48461985588074,348.48461985588074,0.0,6.098480847477913
68,813.8995552062988,813.8995552062988,0.0,14.243242216110229
69,411.49558663368225,411.49558663368225,0.0,7.20117276608944
70,817.1643636226654,817.1643636226654,0.0,14.300376363396644
71,356.7179505825043,356.7179505825043,0.0,6.242564135193825
72,748.287055015564,748.287055015564,0.0,13.09502346277237
73,345.06405329704285,345.06405329704285,0.0,6.03862093269825
74,319.98763966560364,319.98763966560364,0.0,5.599783694148064
75,639.3879628181458,639.3879628181458,0.0,11.189289349317551
76,284.20500683784485,284.20500683784485,0.0,4.973587619662285
77,306.49143743515015,306.49143743515015,0.0,5.363600155115128
78,885.804682970047,885.804682970047,0.0,15.501581951975822
79,561.5009245872498,561.5009245872498,0.0,9.826266180276871
80,599.8444805145264,599.8444805145264,0.0,10.497278409004211
81,772.357476234436,772.357476234436,0.0,13.51625583410263
82,637.6505205631256,637.6505205631256,0.0,11.158884109854698
83,277.6197917461395,277.6197917461395,0.0,4.858346355557441
84,571.7658996582031,571.7658996582031,0.0,10.005903244018555
85,864.0442001819611,864.0442001819611,0.0,15.120773503184319
86,759.1119849681854,759.1119849681854,0.0,13.284459736943244
87,527.369457244873,527.369457244873,0.0,9.228965501785279
88,313.71498680114746,313.71498680114746,0.0,5.490012269020081
89,254.8903501033783,254.8903501033783,0.0,4.46058112680912
90,549.7045981884003,549.7045981884003,0.0,9.619830468297005
91,762.9162902832031,762.9162902832031,0.0,13.351035079956056
92,747.2642486095428,747.2642486095428,0.0,13.077124350666999
93,648.3212890625,648.3212890625,0.0,11.34562255859375
94,505.65379786491394,505.65379786491394,0.0,8.848941462635993
95,310.60455799102783,310.60455799102783,0.0,5.435579764842987
96,269.73297905921936,269.73297905921936,0.0,4.720327133536339
97,657.3137562274933,657.3137562274933,0.0,11.502990733981132
98,524.8572108745575,524.8572108745575,0.0,9.185001190304757
99,791.558598279953,791.558598279953,0.0,13.852275469899178
100,591.8811678886414,591.8811678886414,0.0,10.357920438051224
