Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 45,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
Pay Invoice,544.9560688638687,243.22630333900452,895.6463856697083,54495.60688638687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.082601147731141,4.053771722316742,14.927439761161803,908.2601147731142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),243.22630333900452,544.9560688638687,895.6463856697083
Process Cycle Time excluding out of timetable hours (s),243.22630333900452,544.9560688638687,895.6463856697083
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),243.22630333900452,544.9560688638687,895.6463856697083
Cost,4.053771722316742,9.082601147731141,14.927439761161803


Process Cycle Time (s) distribution
From,To,Count
243,308,10
309,374,13
375,440,12
441,506,12
507,572,9
573,638,13
639,704,9
705,770,7
771,836,7
837,902,8

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
243,308,10
309,374,13
375,440,12
441,506,12
507,572,9
573,638,13
639,704,9
705,770,7
771,836,7
837,902,8

Process Cost distribution
From,To,Count
4,5,19
6,7,23
8,9,19
10,11,20
12,13,11
14,15,8
16,17,0
18,19,0
20,21,0
22,23,0

In-timetable Cycle time (s) distribution
From,To,Count
243,308,10
309,374,13
375,440,12
441,506,12
507,572,9
573,638,13
639,704,9
705,770,7
771,836,7
837,902,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,673.1189184188843,673.1189184188843,0.0,11.218648640314738
2,609.3470735549927,609.3470735549927,0.0,10.155784559249877
3,276.74638986587524,276.74638986587524,0.0,4.61243983109792
4,552.9097707271576,552.9097707271576,0.0,9.215162845452626
5,335.51792335510254,335.51792335510254,0.0,5.591965389251709
6,273.7045433521271,273.7045433521271,0.0,4.561742389202118
7,569.6289536952972,569.6289536952972,0.0,9.493815894921621
8,387.93774580955505,387.93774580955505,0.0,6.465629096825918
9,553.5130350589752,553.5130350589752,0.0,9.22521725098292
10,402.01196670532227,402.01196670532227,0.0,6.700199445088704
11,348.4661900997162,348.4661900997162,0.0,5.80776983499527
12,454.96751403808594,454.96751403808594,0.0,7.582791900634765
13,866.1224930286407,866.1224930286407,0.0,14.43537488381068
14,637.3252177238464,637.3252177238464,0.0,10.622086962064108
15,849.7689170837402,849.7689170837402,0.0,14.162815284729003
16,421.5841164588928,421.5841164588928,0.0,7.026401940981547
17,808.4578094482422,808.4578094482422,0.0,13.47429682413737
18,323.23777079582214,323.23777079582214,0.0,5.387296179930369
19,669.8368184566498,669.8368184566498,0.0,11.163946974277497
20,590.9784224033356,590.9784224033356,0.0,9.849640373388926
21,705.2397685050964,705.2397685050964,0.0,11.753996141751607
22,528.4651582241058,528.4651582241058,0.0,8.80775263706843
23,430.7602140903473,430.7602140903473,0.0,7.179336901505788
24,833.0467820167542,833.0467820167542,0.0,13.88411303361257
25,317.0717852115631,317.0717852115631,0.0,5.284529753526052
26,742.6778094768524,742.6778094768524,0.0,12.377963491280873
27,476.7153830528259,476.7153830528259,0.0,7.945256384213765
28,360.9841902256012,360.9841902256012,0.0,6.0164031704266865
29,762.2754848003387,762.2754848003387,0.0,12.70459141333898
30,874.9362301826477,874.9362301826477,0.0,14.582270503044128
31,752.9221315383911,752.9221315383911,0.0,12.548702192306518
32,809.9414794445038,809.9414794445038,0.0,13.499024657408397
33,424.502459526062,424.502459526062,0.0,7.075040992101034
34,410.1011321544647,410.1011321544647,0.0,6.835018869241079
35,628.921359539032,628.921359539032,0.0,10.482022658983867
36,589.9905233383179,589.9905233383179,0.0,9.833175388971965
37,777.429304599762,777.429304599762,0.0,12.9571550766627
38,715.2138094902039,715.2138094902039,0.0,11.920230158170064
39,388.0408203601837,388.0408203601837,0.0,6.467347006003062
40,509.31332182884216,509.31332182884216,0.0,8.488555363814037
41,478.6582233905792,478.6582233905792,0.0,7.9776370565096535
42,243.22630333900452,243.22630333900452,0.0,4.053771722316742
43,888.2630879878998,888.2630879878998,0.0,14.80438479979833
44,494.89332461357117,494.89332461357117,0.0,8.248222076892853
45,634.7643585205078,634.7643585205078,0.0,10.579405975341796
46,539.6397869586945,539.6397869586945,0.0,8.993996449311574
47,506.83405232429504,506.83405232429504,0.0,8.447234205404918
48,423.2654781341553,423.2654781341553,0.0,7.054424635569254
49,423.64771127700806,423.64771127700806,0.0,7.060795187950134
50,365.8144087791443,365.8144087791443,0.0,6.096906812985738
51,895.6463856697083,895.6463856697083,0.0,14.927439761161803
52,324.7008876800537,324.7008876800537,0.0,5.411681461334228
53,626.210693359375,626.210693359375,0.0,10.436844889322916
54,604.3910853862762,604.3910853862762,0.0,10.073184756437938
55,312.18879103660583,312.18879103660583,0.0,5.203146517276764
56,448.5184226036072,448.5184226036072,0.0,7.475307043393453
57,578.5670120716095,578.5670120716095,0.0,9.642783534526824
58,496.6675319671631,496.6675319671631,0.0,8.277792199452717
59,293.4162480831146,293.4162480831146,0.0,4.890270801385244
60,616.4488422870636,616.4488422870636,0.0,10.27414737145106
61,554.675511598587,554.675511598587,0.0,9.24459185997645
62,661.5387485027313,661.5387485027313,0.0,11.025645808378856
63,674.6908669471741,674.6908669471741,0.0,11.2448477824529
64,380.1059057712555,380.1059057712555,0.0,6.335098429520925
65,488.1719591617584,488.1719591617584,0.0,8.13619931936264
66,879.3196470737457,879.3196470737457,0.0,14.655327451229095
67,717.6261658668518,717.6261658668518,0.0,11.960436097780864
68,463.16670274734497,463.16670274734497,0.0,7.719445045789083
69,565.9098291397095,565.9098291397095,0.0,9.431830485661825
70,458.0492699146271,458.0492699146271,0.0,7.634154498577118
71,789.9870693683624,789.9870693683624,0.0,13.166451156139374
72,302.1568343639374,302.1568343639374,0.0,5.035947239398956
73,668.9910833835602,668.9910833835602,0.0,11.149851389726003
74,689.8277497291565,689.8277497291565,0.0,11.497129162152609
75,412.2166316509247,412.2166316509247,0.0,6.870277194182078
76,502.294606924057,502.294606924057,0.0,8.371576782067617
77,551.30916929245,551.30916929245,0.0,9.188486154874166
78,460.8372733592987,460.8372733592987,0.0,7.680621222654978
79,396.8884654045105,396.8884654045105,0.0,6.6148077567418415
80,641.487021446228,641.487021446228,0.0,10.691450357437134
81,589.2513122558594,589.2513122558594,0.0,9.820855204264323
82,296.43210530281067,296.43210530281067,0.0,4.9405350883801775
83,357.75905299186707,357.75905299186707,0.0,5.962650883197784
84,868.6658682823181,868.6658682823181,0.0,14.477764471371968
85,674.8625018596649,674.8625018596649,0.0,11.247708364327748
86,336.30486512184143,336.30486512184143,0.0,5.605081085364024
87,852.3406538963318,852.3406538963318,0.0,14.205677564938863
88,370.7910695075989,370.7910695075989,0.0,6.179851158459981
89,587.8395369052887,587.8395369052887,0.0,9.797325615088145
90,368.3592538833618,368.3592538833618,0.0,6.13932089805603
91,365.4374167919159,365.4374167919159,0.0,6.0906236131985985
92,816.5981554985046,816.5981554985046,0.0,13.60996925830841
93,261.6598677635193,261.6598677635193,0.0,4.360997796058655
94,814.3239941596985,814.3239941596985,0.0,13.572066569328308
95,676.4004001617432,676.4004001617432,0.0,11.27334000269572
96,603.9857704639435,603.9857704639435,0.0,10.06642950773239
97,284.24104714393616,284.24104714393616,0.0,4.73735078573227
98,754.1968476772308,754.1968476772308,0.0,12.56994746128718
99,272.27952337265015,272.27952337265015,0.0,4.537992056210836
100,245.13375854492188,245.13375854492188,0.0,4.085562642415365
