Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,35
Role 2,59
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1773.0787730623376,13.523998260498047,9350.466865301132,156030.9320294857,0.0,0.0,0.0,0.0,35826.13636363636,0.0,252120.0,3152700.0,9.850437628124094,0.0751333236694336,51.947038140561844,866.8385112749203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
Amend Request for Quotation,611.1980038781961,0.0,1384.4608323574066,58675.008372306824,0.0,0.0,0.0,0.0,15761.25,0.0,158460.0,1513080.0,3.3955444659899783,0.0,7.691449068652259,325.9722687350379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Analyze Purchase Requisition,384.83652676800466,241.5378544330597,536.0499293804169,72349.26703238487,0.0,0.0,0.0,0.0,4121.808510638298,0.0,158460.0,774900.0,2.1379807042666927,1.3418769690725538,2.9780551632245382,401.9403724021382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Analyze Quotation Comparison Map,1073.6647538971902,364.3761930465698,2035.055242061615,107366.47538971901,0.0,0.0,0.0,0.0,22802.4,0.0,158460.0,2280240.0,5.96480418831772,2.0243121835920546,11.305862455897861,596.480418831772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41208.77052558685,0.0,163189.7711634636,8076919.023015022,39866.268103389106,0.0,161838.23464536667,7813788.548264265,961441.224489796,0.0,3887160.0,1.8844248E8,7.465541111030817,0.0,13.227702671951718,1463.2460577620402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Approve Purchase Order for payment,30806.46309869051,60.0,167239.8026123047,3080646.309869051,30746.46309869051,0.0,167179.8026123047,3074646.309869051,719585.4,0.0,3858420.0,7.195854E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1276.3943068671226,0.0,6752.475050210953,127639.43068671227,1276.3943068671226,0.0,6752.475050210953,127639.43068671227,41456.4,0.0,252120.0,4145640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,76694.05215860605,486.4801745414734,167531.87669610977,7669405.215860605,76118.99777388811,0.0,167017.62416815758,7611899.777388811,1791324.6,0.0,3887160.0,1.7913246E8,3.194746581766341,2.01141623655955,4.3082890285385975,319.47465817663414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1832.9352121376992,301.2438464164734,3327.897421836853,183293.5212137699,0.0,0.0,0.0,0.0,58771.54027716875,0.0,157893.65951776505,5877154.027716875,10.182973400764999,1.6735769245359633,18.48831901020474,1018.2973400764998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,79832.65034470796,2442.8767726421356,177028.37483859062,7983265.034470797,67760.86531890392,0.0,164267.2776184082,6776086.531890392,1879117.8,158460.0,4132200.0,1.8791178E8,67.06547236557802,13.571537625789642,120.8044425421291,6706.547236557802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,323.8609257102013,26.503761529922485,1417.7766103744507,32386.092571020126,0.0,0.0,0.0,0.0,8754.6,0.0,158460.0,875460.0,3.5984547301133483,0.29448623922136097,15.753073448605008,359.84547301133483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,287903.92595155956,15455.441425561905,662201.0932021141,2.8790392595155954E7,187217.9255341673,0.0,505739.67866539955,1.872179255341673E7,6747001.8,345840.0,1.549122E7,6.7470018E8,559.3666689855127,74.82716077168783,977.8723669701152,55936.666898551266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Pay Invoice,2012.747065038681,248.77576851844788,7351.364869117737,201274.7065038681,1417.4971238231658,0.0,6660.719570398331,141749.7123823166,63037.8,0.0,252120.0,6303780.0,3.306944117863974,1.382087602880266,4.977463116910722,330.6944117863974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,972.6,0.0,97260.0,97260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,494.2757951235771,123.14726042747498,1727.3622920513153,49427.57951235771,212.17571009397506,0.0,1515.857914686203,21217.571009397507,2125.8,0.0,97260.0,212580.0,1.5672226946088998,0.6841514468193054,2.324040393034617,156.72226946088998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,212220.17900210858,0.0,509442.92068195343,2.1222017900210857E7,212220.17900210858,0.0,509442.92068195343,2.1222017900210857E7,4956303.6,0.0,1.200744E7,4.9563036E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,53174.61462580681,1003.3695390224457,167242.8567557335,5317461.462580681,51790.50440494537,0.0,166136.7100865841,5179050.440494537,1243185.6,0.0,3858420.0,1.2431856E8,7.689501227007973,1.2811063832706875,13.393420177035862,768.9501227007974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,117345.15801078558,20520.70676636696,200556.5745472908,1.1734515801078558E7,85229.71513219834,0.0,165922.09115743637,8522971.513219833,2738205.0,421560.0,4690620.0,2.738205E8,178.41912710326247,83.87483788993623,292.0397954331504,17841.912710326247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11026.106591901778,725.0345742702484,46065.03007245064,551305.329595089,792.9091610622406,0.0,5481.9026055336,39645.45805311203,282283.2,0.0,1066320.0,1.411416E7,56.85109683799743,1.0334442999627855,255.9168337358369,2842.5548418998715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3105350.4034957886,2.3306819482585356E7,3.0277308982818365E7
Process Cycle Time excluding out of timetable hours (s),127777.32152271271,954201.3423081851,1240353.5545566082
Process Waiting Time (s),69489.12212204933,792525.0574688602,1039197.6957154274
Accumulated Process Duration (s),3105350.4034957886,2.330682185712865E7,3.0277308982818365E7
Cost,326.14303958415985,900.0281025822035,1398.0580009765092


Process Cycle Time (s) distribution
From,To,Count
3105350,5822545,1
5822546,8539741,2
8539742,11256937,6
11256938,13974133,7
13974134,16691329,4
16691330,19408525,3
19408526,22125721,4
22125722,24842917,4
24842918,27560113,53
27560114,30277309,16

Process Waiting Time (s) distribution
From,To,Count
69489,166459,2
166460,263430,8
263431,360401,4
360402,457372,2
457373,554343,5
554344,651314,3
651315,748285,4
748286,845256,1
845257,942227,34
942228,1039198,37

Accumulated Process Duration (s) distribution
From,To,Count
3105350,5822545,1
5822546,8539741,2
8539742,11256937,6
11256938,13974133,7
13974134,16691329,4
16691330,19408525,3
19408526,22125721,4
22125722,24842917,4
24842918,27560113,53
27560114,30277309,16

Process Cost distribution
From,To,Count
326,433,6
434,541,4
542,649,15
650,757,6
758,865,11
866,973,15
974,1081,12
1082,1189,15
1190,1297,8
1298,1405,8

In-timetable Cycle time (s) distribution
From,To,Count
127777,239034,1
239035,350292,2
350293,461550,6
461551,572808,7
572809,684066,4
684067,795324,3
795325,906582,4
906583,1017840,4
1017841,1129098,55
1129099,1240356,14



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6082567.962770462,249006.96277046204,142136.57962965965,595.0787309288979
2,9437079.914689302,389545.7601122856,194078.8016459942,1087.74749254783
3,3105350.4034957886,127777.32152271271,69489.12212204933,326.14303958415985
4,7939919.995644569,329052.84892082214,189082.5350239277,777.9843050797781
5,9737292.622505426,400301.3903026581,196139.58727145195,1135.6155436277388
6,1.1537874065996885E7,474825.22647690773,335254.15594410896,779.4056263857419
7,8664606.03209591,357218.9896631241,181051.0206642151,979.3352585898507
8,9008600.152037382,369373.5130739212,209108.63375639915,892.3279116484855
9,2.781880801049161E7,1137888.0104916096,899610.340485096,1325.258122621642
10,1.7793592755008698E7,727153.5083446503,525972.4005873203,1118.8296435594557
11,1.1889936729294062E7,482807.11190223694,258568.2380554676,1246.9356692022745
12,1.2221003134051085E7,496470.2811617851,262396.71302461624,1305.916442424721
13,2.7761785074133158E7,1132928.9013130665,920692.8532576561,1179.8878752138878
14,2.774921258113265E7,1134383.1956253052,925133.8952548504,1163.3060114860534
15,1.3748058570258379E7,559809.9002182484,357304.8974542618,1126.4419464482198
16,1.644464548013115E7,672875.2976677418,488562.2809023857,1025.015017841922
17,1.0940677954100847E7,446328.24609804153,254975.59277820587,1063.2175393409198
18,1.042320838676548E7,429167.0970699787,304978.8971185684,691.3431532873049
19,1.1274142346124172E7,461950.22574830055,345848.4562602043,645.8218880520926
20,1.194114317436266E7,490804.0700981617,377968.96812438965,628.9345761987898
21,1.3664092556883335E7,557812.5568833351,494506.3542571068,354.00294014215467
22,2.756084464473009E7,1126585.5128192902,964162.702716589,903.6988005320231
23,1.847451846581459E7,754533.4876358509,612889.4464600086,788.031700401836
24,2.753195089701438E7,1125730.2381865978,982071.2675495148,799.1266760150592
25,2.759459830201006E7,1126723.5120356083,949743.7365787029,984.8166382683648
26,1.5149886393545628E7,620554.0301065445,452191.08887434006,938.9676539924412
27,2.8340049188603163E7,1158043.256989956,911783.5806651115,1370.113187399175
28,2.6954481892110825E7,1105011.0382752419,861541.9287250042,1354.7737130522728
29,2.391020510427046E7,974922.2798166275,731116.5111839771,1355.642808552583
30,2.5111767972151518E7,1026745.931186676,885615.3196072578,787.8920072396596
31,1.8866647270646095E7,768806.5972027779,604006.844461441,917.1714180933105
32,2.750393919051361E7,1126741.8093452454,902145.7479968071,1250.2004706819848
33,1.6208853330169916E7,664337.8711731434,541232.3594398499,687.2264242013297
34,1.5903324244519234E7,650326.0757141113,497996.0729956627,850.7872649961049
35,2.3229244808901787E7,954243.6493592262,852976.4357602596,564.0729433788192
36,1.9793816005283117E7,811283.2000746727,614367.5517158508,1094.3739592221045
37,2.1044876131605864E7,865882.8624105453,681017.2636108398,1027.8371433099112
38,2.733796111882496E7,1120594.5228641033,1011426.0008625984,607.9906612581677
39,2.7398032958536863E7,1122609.7125983238,1026978.3360071182,531.5458712418874
40,2.6604266622822523E7,1088526.678779602,896488.6806218624,1067.6438558922873
41,2.779893935744691E7,1137143.4111454487,1039197.6957154274,545.251968814267
42,2.0921283133954287E7,858985.1197063923,695627.4332840443,908.547080409527
43,2.735134888034463E7,1124524.6173946857,972734.2139084339,844.1134931325913
44,2.725485815991378E7,1117661.5204722881,884469.6299378872,1296.8445134984122
45,2.6274482478122473E7,1077104.5188634396,853522.4165794849,1242.6555242829847
46,2.7227648362708807E7,1118465.321917057,975918.6581203938,793.5886651701396
47,1.985195846569705E7,810767.4774706364,734659.8574085236,422.99632302787563
48,2.78015414252975E7,1136841.688082695,1018527.2505095005,661.1994272179073
49,2.7873129232800245E7,1146766.2874102592,960650.0128436089,1036.282657746474
50,2.6464413102680683E7,1085101.8049743176,869119.645280838,1200.732237299283
51,2.403045404932213E7,985263.6883585453,810947.533216238,972.3001007623144
52,2.5573764415864468E7,1050804.4158644676,845934.3719108105,1139.1925397793452
53,2.807931507424283E7,1149870.8036527634,946348.2884283066,1133.7785172356498
54,2.7114440648514032E7,1106896.2251966,910511.1812486649,1091.865068203873
55,2.7100271827375412E7,1106819.521452427,939933.3688466549,928.2286730898751
56,2.7085363718333244E7,1105961.0257284641,931490.4030380249,971.2466926866109
57,2.697242498950553E7,1104301.257126093,1001820.5252053738,571.8901666349835
58,2.7133277538247347E7,1109758.8500745296,1035017.2299263477,416.57884280019334
59,2.7045177982456923E7,1107730.2422840595,912430.3514738083,1085.747881042957
60,2.7030556845145702E7,1107093.9090242386,930689.1256816387,982.4783353394934
61,2.3678128780860186E7,971402.0111577511,899467.6306128502,404.1425831516583
62,2.7003354752098322E7,1107916.769257784,943327.3441572189,917.2783309022586
63,2.698728441375017E7,1105801.2820429802,989734.7676672935,645.6064433614414
64,2.697229546327424E7,1104841.045215845,916959.9741904736,1044.2681952873863
65,2.962433580354762E7,1213087.179443121,1003137.5326943398,1168.8099483304552
66,2.6632312611496687E7,1091883.119434595,995466.3620033264,536.4999770787028
67,2.700607323687625E7,1105002.9262280464,947632.71363163,877.2981695916918
68,2.6992920356048346E7,1102331.9683876038,931346.2398970127,950.7191172904439
69,2.7592170724782944E7,1131904.2091104984,897703.6301028728,1302.3295781559411
70,2.939119754580283E7,1204884.3191878796,1026332.7739963531,992.2367207156288
71,2.6952468800983906E7,1103882.9861297607,895826.7308146954,1156.2993949426543
72,2.7758686255601168E7,1135157.868389845,1017267.3062107563,658.2097975916332
73,2.6922056814339638E7,1098006.1856451035,904654.2116253376,1078.308799419138
74,2.6835252551561356E7,1097276.8443198204,883772.8838899136,1186.8646303243106
75,2.6819184933631897E7,1095157.9692578316,928081.3848440647,929.95874212318
76,2.6880133918753862E7,1098055.8356268406,953518.8403995037,805.5886704246204
77,2.686585331252432E7,1097742.2174768448,998577.3307220936,553.101380777359
78,2.6851846711051464E7,1097708.1627612114,952712.3351509571,806.8871137923664
79,2.7009472118297577E7,1107177.4376006126,892119.2217783928,1196.357579983605
80,3.0277308982818365E7,1240353.5545566082,998350.0507969856,1346.9239411380554
81,2.6810332988608837E7,1098111.9777655602,878774.5248599052,1224.994793283939
82,2.679637800819826E7,1098177.5549192429,927144.8251185417,950.7499904486868
83,2.6707422014413357E7,1091710.1086781025,1021500.3548996449,393.6531035767661
84,2.6694490530144453E7,1092677.27876091,877432.8987343311,1196.831653605567
85,2.668014777665925E7,1092340.255117178,948565.0723276138,799.180125978258
86,2.674841847498846E7,1098828.924327135,999263.8081490993,554.5140765547753
87,2.6652121963621616E7,1092277.712777853,979392.4655086994,630.0412981523407
88,2.6637800762243986E7,1091944.7521305084,987681.5102753639,581.6172576904297
89,2.687035229829669E7,1104308.317978382,998102.0859367847,590.39065488312
90,2.6685312713213205E7,1092372.7132132053,999829.3712761402,515.6643354137738
91,2.6671630998417854E7,1092054.8860971928,969819.1585879326,681.6378570437433
92,2.6583168834974527E7,1089662.6320028305,925662.3444225788,912.913969376352
93,2.6567196166198254E7,1087680.4026329517,988550.9610407352,551.8882701542643
94,2.655494228270936E7,1089397.2733438015,961932.7442128658,711.0570542229548
95,2.6540921855549335E7,1089454.4506862164,994374.7758486271,528.5925999601683
96,2.652634928066683E7,1081755.621149063,873927.4211964607,1156.4820995198354
97,2.6587335653584242E7,1084655.0028867722,903167.5359954834,1009.822290049659
98,2.6572762477918863E7,1084064.1538555622,975666.9524402618,603.1819809251363
99,2.9583971988489628E7,1209160.4914245605,957730.1715040207,1398.0580009765092
100,2.6471040969515562E7,1082381.4416019917,925837.107350111,877.8690919054878
