Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,7
Role 2,11
Role 5,54

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,37119.21703923794,1365.9859509468079,64169.4341378212,4231590.742473125,35404.790774899615,1257.928454399109,61469.65419626236,4036146.1483385563,875146.8421052631,0.0,1567080.0,9.976674E7,9.524590357435143,0.19234043094846937,46.00268776549233,1085.8033007476063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
Amend Request for Quotation,23338.93770873421,313.93602561950684,61049.069194316864,2217199.08232975,22718.268850873646,0.0,60286.28008770943,2158235.5408329964,554568.6497663247,0.0,1484220.0,5.2684021727800846E7,3.448160321447584,0.9589041882091098,5.817601989375221,327.5752305375205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
Analyze Purchase Requisition,390.7032498578045,240.67784142494202,604.7145621776581,83610.49546957016,2.7676371113162173,0.0,292.0864667892456,592.2743418216705,8198.971962616823,0.0,158460.0,1754580.0,2.1551978485916017,1.3370991190274557,2.9754275732570226,461.21233959860274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214
Analyze Quotation Comparison Map,24532.000369951726,386.3577868938446,62144.574541807175,2453200.0369951725,23331.538800933362,0.0,61239.14086103439,2333153.880093336,578787.6,0.0,1567080.0,5.787876E7,6.669230938990912,2.093627858161926,11.293337542480893,666.9230938990912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,34436.43176931846,0.0,159172.84770798683,6715104.195017099,33057.37407163595,0.0,157905.15245127678,6446187.943969011,800503.0769230769,0.0,3714300.0,1.560981E8,7.661431653791686,0.0,15.218552916579776,1493.9791724893787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
Approve Purchase Order for payment,25932.964079720972,60.0,159228.52595472336,2593296.4079720974,25872.964079720972,0.0,159168.52595472336,2587296.4079720974,605779.2,0.0,3653100.0,6.057792E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,76362.99126592398,0.0,327354.82616376877,7636299.126592398,76362.99126592398,0.0,327354.82616376877,7636299.126592398,1773177.6,0.0,7745580.0,1.7731776E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,18652.710382165908,0.0,62702.25087404251,1865271.0382165909,18652.710382165908,0.0,62702.25087404251,1865271.0382165909,436312.2,0.0,1567080.0,4.363122E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,63229.169282069204,372.83721566200256,157995.36601018906,6322916.928206921,62651.00192716837,0.0,157626.40820932388,6265100.192716837,1479664.2,0.0,3714300.0,1.4796642E8,3.2120408605602044,2.037479032410516,4.298881685733795,321.20408605602046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,31606.914697840213,1740.9340136051178,65118.07394313812,3160691.4697840214,29935.074405059815,0.0,61698.46395993233,2993507.4405059814,732923.5926515221,9957.393261671066,1547631.328807354,7.329235926515222E7,9.288001626557772,1.7408084525002374,18.997833240032197,928.8001626557773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,49010.69348134041,2555.0912613868713,167921.78676748276,4901069.348134041,36272.16964618445,0.0,153326.75239372253,3627216.9646184444,1143507.6,3660.0,3858420.0,1.1435076E8,70.76957686197758,14.194951452149285,120.85656949149238,7076.957686197758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,353.1746561408043,24.54083275794983,1277.5503962039948,35317.46561408043,0.0,0.0,0.0,0.0,4791.0,0.0,158460.0,479100.0,3.9241628460089375,0.27267591953277587,14.195004402266608,392.41628460089373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,301989.1680827546,18959.83300423622,621002.8534619808,3.019891680827546E7,204683.46407845497,0.0,467825.49803447723,2.0468346407845497E7,7067203.2,374700.0,1.455096E7,7.0672032E8,540.5872444683314,76.35362627771165,981.1179677579138,54058.72444683314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214
Pay Invoice,72756.95524368524,246.8388488292694,327643.25523781776,7275695.524368525,72156.92393913268,0.0,327354.82616376877,7215692.393913269,1708603.8,0.0,7745580.0,1.7086038E8,3.3335072475141936,1.3713269379403856,4.985091842545403,333.35072475141936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,153.93723950147628,60.0,6450.6502504348755,15393.723950147629,93.93723950147628,0.0,6390.6502504348755,9393.723950147629,3025.8,0.0,205320.0,302580.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,30341.297779381275,141.27510523796082,323080.3809185028,3034129.7779381275,30054.540876214505,0.0,322808.1578485966,3005454.0876214504,694920.6,0.0,7540260.0,6.949206E7,1.5930939064820613,0.6821319328414069,2.3332856390211316,159.30939064820612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,229433.19335759163,0.0,461600.6577908993,2.2943319335759163E7,229433.19335759163,0.0,461600.6577908993,2.2943319335759163E7,5393556.0,0.0,1.07718E7,5.393556E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,37320.04269778013,244.64420986175537,160785.84939217567,3732004.269778013,35965.44079371452,0.0,160020.53828382492,3596544.0793714523,879359.4,0.0,3807960.0,8.793594E7,7.525566133697829,1.3591344992319743,12.7336489227083,752.5566133697829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,92240.33057750463,25496.073078870773,200800.36661219597,9224033.057750463,58011.14300655842,0.0,159228.52595472336,5801114.300655842,2153176.2,580020.0,4737420.0,2.1531762E8,190.16215317192345,81.45257785187827,289.14823937945897,19016.215317192346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,93531.4023641302,1513.830438375473,327625.7683980465,4863632.922934771,82126.95916949786,0.0,324669.99967360497,4270601.876813889,2179860.0,0.0,7745580.0,1.1335272E8,63.358017747957476,0.21806910700268214,228.10884594652387,3294.616922893789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),1.007637920162201E7,3.012637537650837E7,3.9380898208060265E7
Process Cycle Time excluding out of timetable hours (s),410838.5592124462,1235026.3838568449,1612809.8350815773
Process Waiting Time (s),249747.59900569916,1072594.731641288,1479463.1677742004
Accumulated Process Duration (s),1.007637920162201E7,3.012637652750513E7,3.9380898208060265E7
Cost,300.7016305777761,904.3631143913799,1455.0141636861697


Process Cycle Time (s) distribution
From,To,Count
10076379,13006830,8
13006831,15937282,2
15937283,18867734,7
18867735,21798186,11
21798187,24728638,6
24728639,27659090,5
27659091,30589542,3
30589543,33519994,0
33519995,36450446,8
36450447,39380898,50

Process Waiting Time (s) distribution
From,To,Count
249747,372718,7
372719,495690,2
495691,618662,5
618663,741634,13
741635,864606,8
864607,987578,5
987579,1110550,2
1110551,1233522,0
1233523,1356494,22
1356495,1479466,36

Accumulated Process Duration (s) distribution
From,To,Count
10076379,13006830,8
13006831,15937282,2
15937283,18867734,7
18867735,21798186,11
21798187,24728638,6
24728639,27659090,5
27659091,30589542,3
30589543,33519994,0
33519995,36450446,8
36450447,39380898,50

Process Cost distribution
From,To,Count
300,415,3
416,531,6
532,647,10
648,763,18
764,879,16
880,995,7
996,1111,12
1112,1227,7
1228,1343,18
1344,1459,3

In-timetable Cycle time (s) distribution
From,To,Count
410838,531035,8
531036,651233,2
651234,771431,5
771432,891629,13
891630,1011827,6
1011828,1132025,5
1132026,1252223,3
1252224,1372421,0
1372422,1492619,9
1492620,1612817,49



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,2.391341289777875E7,981831.8977787495,743279.0069208145,1326.7810297343465
2,1.1604403484929323E7,479865.8184454441,249747.59900569916,1279.6755100541645
3,1.8838707422144175E7,773416.2809336185,648041.1148643494,697.3124397542742
4,1.1586737165289164E7,480679.7720274925,257216.28698062897,1244.0581364393233
5,1.0286307905492306E7,423519.81475901604,315553.83719325066,602.8197966535885
6,1.1572296439000845E7,477459.56137514114,352761.8846130371,692.9488838778602
7,2.3220457160301924E7,954418.6790924072,819834.1907241344,749.5183522926437
8,1.875743566209364E7,770464.3264660835,640401.0074148178,722.7103326890206
9,1.0166009117937565E7,413797.1312906742,329783.84049749374,467.02575534449676
10,1.264228776127696E7,514452.41320705414,434013.8052635193,448.83415310117937
11,2.3724541179621696E7,971760.108976841,854924.4763336182,651.6890100995699
12,1.83241103737278E7,750840.3787314892,501263.38416433334,1387.1714408781793
13,3.9380898208060265E7,1612809.8350815773,1464398.795223713,829.6454943206576
14,1.501065248030591E7,619123.4287240505,501222.43340945244,656.3971941656538
15,1.9737715088260174E7,810363.2311389446,614549.003190279,1090.2902735855841
16,2.1538797296625853E7,882076.3731029034,658392.6015095711,1245.6236245512962
17,1.882485394199443E7,772019.7754087448,628299.6789815426,798.7661071326997
18,1.007637920162201E7,410838.5592124462,275959.8766233921,752.5565928406187
19,2.4807161272667646E7,1018015.6936056614,861743.6995000839,870.4313644952246
20,1.875407027039957E7,769680.0436749458,622757.386909008,818.3415609121323
21,1.9090823459392786E7,782363.459392786,622304.694845438,893.4622460828887
22,1.1476529851170301E7,469092.4127571583,344522.70809292793,697.8360981292195
23,1.4822106132956505E7,607606.6398062706,397658.72099351883,1167.2468116813234
24,2.8545346290087223E7,1165743.5758562088,1054115.027641058,622.563784160879
25,3.710072773354387E7,1515354.407919407,1302261.1848306656,1186.045763729678
26,3.717537263576555E7,1519142.4282667637,1287146.6928987503,1291.1119392673172
27,3.777446038361192E7,1549588.7388658524,1396925.0976994038,849.7862331377137
28,3.7152871904450655E7,1524487.8520658016,1367237.0937023163,875.2794238117007
29,3.7057288653311014E7,1517815.7937414646,1317942.6228239536,1111.8745846139057
30,3.9161861961025715E7,1605686.7835359573,1463182.3063697815,793.5218076692688
31,2.123040406862235E7,870812.4058480263,737700.4353215694,739.9561758584447
32,3.9362949843263865E7,1611315.72787714,1422905.9014446735,1050.3883557690513
33,2.45995410956347E7,1010187.5272240639,829678.5101988316,1004.7068750460942
34,3.856450359162307E7,1585612.099695921,1354553.4512941837,1286.5281761924425
35,3.889720308583403E7,1598306.8598980904,1455772.879294157,792.2833366751672
36,1.8928490619416237E7,777740.4536738396,582223.2982487679,1086.9079000141885
37,2.841887087886548E7,1161509.1666851044,979598.1993916035,1014.3368637959162
38,2.457126943452263E7,1007797.8236453533,841738.008228302,924.7035401278074
39,2.2733744430760384E7,933665.7174713612,816854.5867893696,649.8448631988632
40,1.8546855778566122E7,762235.2865996361,573652.4504716396,1048.7108212113378
41,3.8997989234959364E7,1599865.875865221,1395069.1353263855,1139.0990041163232
42,3.906144577994752E7,1604971.6540358067,1391840.019104004,1190.2872781488632
43,1.8496657250433207E7,763805.6548740864,656914.0503008366,595.2145732786921
44,2.5742792353913546E7,1055681.172432661,910022.3969392776,811.7355886167951
45,2.568775647823143E7,1054838.8118727207,889331.5892784595,919.863135515319
46,2.7489411515300035E7,1128552.2346055508,894090.1534821987,1303.21695047352
47,3.710091869307232E7,1521682.118754387,1395777.5723540783,702.7317486617301
48,2.1633044044629574E7,888453.5717332363,726502.6711130142,901.7043457574316
49,3.8403098725021124E7,1577680.2897577286,1447327.9763925076,725.5152600248656
50,3.890430667733097E7,1593525.9488806725,1353160.4219839573,1339.009186108907
51,3.691219615405631E7,1511707.5295856,1431177.9828419685,448.82011596096885
52,2.0581980318049908E7,848908.8754267693,713989.500177145,750.2866367578506
53,3.6790425555586815E7,1502667.658314228,1281360.8755090237,1230.679782670074
54,2.0525915365103006E7,838482.9525694847,729061.0857293606,608.1027242249913
55,2.8043496312286377E7,1150040.1211714745,1034908.5103602409,641.2632350696458
56,3.865803354117346E7,1583441.9054186344,1374789.2198679447,1159.3316869192654
57,3.891685633807778E7,1593677.714823246,1379120.516730547,1195.5350928333066
58,3.82649528963151E7,1569991.5154793262,1445192.9745821953,695.21415251361
59,3.881006215957785E7,1589785.1749527454,1407267.719303608,1014.7206701291932
60,3.8748264093520164E7,1587741.2329871655,1479463.1677742004,603.0439348843364
61,3.6727128862488985E7,1507458.7268981934,1376795.3910758495,726.5256123489805
62,1.931827561245632E7,792525.7527933121,701124.9267807007,510.2829376273684
63,3.6892203466003895E7,1510983.4660038948,1382752.0190303326,714.0524744325214
64,3.649736039172912E7,1492538.6967122555,1350773.48864007,789.7441893365648
65,3.668071601773596E7,1502964.2621762753,1354662.6721830368,824.7928945130774
66,3.658559340918851E7,1496991.4849934578,1349098.2068209648,824.3957245839969
67,3.647025190408015E7,1492824.3537769318,1396464.015336752,538.2879825300643
68,3.844386977713275E7,1574769.7771327496,1423348.50994277,843.6680673599244
69,3.8704633702730894E7,1584431.0472431183,1360761.0927193165,1244.4349100179143
70,3.868389716210961E7,1585909.2563033104,1362095.2334139347,1244.623637420601
71,3.6752413235762835E7,1503382.0164096355,1302095.8774819374,1121.5142945037946
72,3.855394382598305E7,1578252.5648720264,1438896.0356111526,778.0206151366234
73,3.8509411238761425E7,1576675.0269038677,1407077.174907446,946.0188778082531
74,3.668400002347326E7,1501162.0476372242,1327649.6814775467,971.0550919771196
75,3.853058532758427E7,1579486.6529848576,1335794.562321186,1355.217548988925
76,1.9122067625582933E7,784554.0318558216,730545.6890149117,300.7016305777761
77,3.649103499964476E7,1497656.567556858,1268082.961648941,1279.041430029604
78,3.8296199927331924E7,1574989.7281725407,1466596.1879127026,604.8730849080616
79,3.6630548224411964E7,1499109.367423296,1262482.3734920025,1315.6914565788372
80,3.866302929570413E7,1583373.7993752956,1321530.057319641,1455.0141636861697
81,3.842902482543731E7,1576622.7783031464,1433813.5790462494,794.2159676856465
82,3.6315826898673534E7,1487702.7030880451,1403155.902449131,469.98963517480416
83,3.626362383444238E7,1485436.7904183865,1394653.8797240257,506.9761654681629
84,3.691433040541172E7,1518594.1221625805,1446822.3620388508,400.6492814554108
85,3.811979908145356E7,1567309.3369004726,1339636.0439577103,1265.6001189351082
86,3.8355360703826666E7,1569267.2870604992,1378152.2833721638,1065.932562548584
87,3.608780548586202E7,1475893.6586289406,1241596.5021121502,1302.5231546229784
88,2.009627075816655E7,817763.7726435661,757452.4462993145,335.9610676619741
89,3.7733346859298944E7,1546234.9507772923,1374241.6368646622,955.7518923653497
90,2.4967112921757698E7,1022230.21849823,922393.5558371544,557.0602360818123
91,3.825187147913456E7,1568032.3613779545,1369513.6678147316,1104.2940413528015
92,3.830071259834981E7,1570928.5884053707,1417050.0377800465,857.7981642127039
93,3.615917982518935E7,1484412.5852952003,1252718.8961064816,1289.6186080416041
94,3.676567921453452E7,1511063.8407263756,1282322.4043345451,1271.6308580676712
95,3.839046037885523E7,1572038.1372025013,1374510.614667654,1100.3173775752384
96,3.6296528933796644E7,1487884.605316639,1253809.0667488575,1304.60608476003
97,3.8159405524019E7,1567630.14974761,1441043.3650708199,704.6967870301671
98,3.611176260414553E7,1478813.263269186,1351235.4770069122,710.1704270720483
99,3.609504679001093E7,1482615.4612035751,1380267.1785693169,570.4168397294151
100,3.583916485003376E7,1463124.85003376,1267972.7881422043,1085.0777891688876
