Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,6
Role 2,19
Role 5,32

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,43827.59686588533,515.0723111629486,82623.7145178318,4426587.283454418,41943.60023617509,0.0,79917.00853562355,4236303.6238536835,1022714.8514851485,0.0,1988640.0,1.032942E8,10.466647942834696,0.09889439874225192,54.88604374991523,1057.1314422263042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,28675.69439282555,205.16062355041504,80514.03951144218,2982272.216853857,28024.93927272925,0.0,80068.79038858414,2914593.684363842,676907.3076923077,0.0,1941780.0,7.039836E7,3.6153062227572126,0.49746223820580376,7.028279043568505,375.9918471667501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
Analyze Purchase Requisition,382.75893252405956,240.3404712677002,539.8965039253235,76934.54543733597,0.4117084166303796,0.0,82.7533917427063,82.7533917427063,7939.701492537313,0.0,158460.0,1595880.0,2.124151245041272,1.3352248403761122,2.999425021807353,426.9544002532957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,26541.912988805772,374.05224776268005,81243.58084750175,2654191.298880577,25324.94781597853,0.0,79578.56820249557,2532494.7815978527,628578.0,0.0,1941780.0,6.28578E7,6.760917626818021,2.078068043126,11.277804199854533,676.091762681802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,34949.9719167492,0.0,168563.17771935463,7129794.271016836,33567.637005636505,0.0,167202.9844083786,6847797.949149847,819485.8823529412,0.0,4056480.0,1.6717512E8,7.679638395070506,0.0,17.189387595653535,1566.6462325943833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
Approve Purchase Order for payment,17047.330200965403,60.0,167988.48055315018,1704733.0200965405,16987.330200965403,0.0,167928.48055315018,1698733.0200965405,395784.0,0.0,3984420.0,3.95784E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,132175.39863618134,0.0,368132.08945059776,1.3217539863618135E7,132175.39863618134,0.0,368132.08945059776,1.3217539863618135E7,3099105.0,0.0,8657040.0,3.099105E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,18073.77738310814,0.0,76456.2162463665,1807377.738310814,18073.77738310814,0.0,76456.2162463665,1807377.738310814,423197.4,0.0,1894920.0,4.231974E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,64144.327489962576,395.14649629592896,168095.80335831642,6414432.748996258,63565.988487050534,0.0,167435.4738676548,6356598.848705053,1498467.6,0.0,3898020.0,1.4984676E8,3.2129944606224696,2.1150435354974535,4.325519996219211,321.29944606224694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,38894.957370796204,1672.1850020885468,83031.70859742165,3889495.7370796204,37041.31865537882,0.0,81823.7491145134,3704131.865537882,911888.0060594511,0.0,1991798.1037881374,9.118880060594511E7,10.297992863429918,1.8084320306777955,18.666271789868674,1029.7992863429918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,34878.10126409769,2761.0267531871796,186688.4837758541,3487810.126409769,22694.176508214474,0.0,166873.98363280296,2269417.6508214474,818370.0,3660.0,4405980.0,8.1837E7,67.68847086601787,13.031517815589904,120.37610257996454,6768.847086601787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,272.3225348782539,12.340620040893555,902.5626926422119,27232.253487825394,0.0,0.0,0.0,0.0,10555.8,0.0,158460.0,1055580.0,3.0258059430917092,0.13711800045437283,10.028474362691243,302.5805943091709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,677050.8312089038,25686.678559064865,1442896.5936722755,6.770508312089038E7,582351.0177865886,0.0,1283634.1863381863,5.823510177865887E7,1.58565534E7,580020.0,3.389328E7,1.58565534E9,526.1100745684173,66.84650722609626,978.446957148446,52611.00745684173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,99703.4222531867,287.0913019180298,371855.4296133518,9970342.22531867,99124.98093280077,0.0,371579.49900484085,9912498.093280077,2323940.4,0.0,8700300.0,2.3239404E8,3.2135628910329626,1.3990742365519206,4.986124651961856,321.35628910329626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,419.06009350776674,60.0,19055.555140972137,41906.00935077667,359.06009350776674,0.0,18995.555140972137,35906.00935077667,10879.8,0.0,482760.0,1087980.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,17688.87575844526,124.3157651424408,368320.0719690323,1768887.5758445263,17417.047551965712,0.0,368054.9580130577,1741704.7551965714,451325.4,0.0,8657040.0,4.513254E7,1.5101567026641636,0.6773582326041327,2.3248204562399124,151.01567026641635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,638238.5522383547,0.0,1283772.0328280926,6.382385522383547E7,638238.5522383547,0.0,1283772.0328280926,6.382385522383547E7,1.49036052E7,0.0,3.011058E7,1.49036052E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,31171.351589050293,542.3544635772705,167311.49666523933,3117135.1589050293,29759.53486210346,0.0,166299.80881619453,2975953.486210346,720452.4,0.0,3898020.0,7.204524E7,7.843426260815729,1.8992993315060933,13.125116810533736,784.3426260815729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,97069.15181698323,15301.964322805405,206020.5081665516,9706915.181698322,62591.26238157511,0.0,168134.16709589958,6259126.238157511,2264030.4,374700.0,4802280.0,2.2640304E8,191.54383019671175,84.88283177084394,290.4329213142395,19154.383019671175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,116177.64848828316,2266.914838552475,371029.68518567085,6041237.721390724,104422.1506275718,0.0,332781.0396771431,5429951.832633734,2717546.5384615385,3660.0,8700300.0,1.4131242E8,65.3083214483964,0.40561912986967297,280.17696138355467,3396.0327153166127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),8765229.850842237,5.12544295399059E7,6.0195269804153204E7
Process Cycle Time excluding out of timetable hours (s),363681.28671979904,2099936.9338464476,2468043.5177571774
Process Waiting Time (s),201020.3561217785,1939991.691967702,2363415.899639368
Accumulated Process Duration (s),8765229.850842237,5.125443023926821E7,6.0195269804153204E7
Cost,348.51517710685727,890.1014654218623,1434.3527232898603


Process Cycle Time (s) distribution
From,To,Count
8765229,13908232,5
13908233,19051236,2
19051237,24194240,0
24194241,29337244,4
29337245,34480248,5
34480249,39623252,4
39623253,44766256,1
44766257,49909260,6
49909261,55052264,0
55052265,60195268,73

Process Waiting Time (s) distribution
From,To,Count
201020,417259,5
417260,633499,2
633500,849739,2
849740,1065979,2
1065980,1282219,5
1282220,1498459,4
1498460,1714699,3
1714700,1930939,4
1930940,2147179,1
2147180,2363419,72

Accumulated Process Duration (s) distribution
From,To,Count
8765229,13908232,5
13908233,19051236,2
19051237,24194240,0
24194241,29337244,4
29337245,34480248,5
34480249,39623252,4
39623253,44766256,1
44766257,49909260,6
49909261,55052264,0
55052265,60195268,73

Process Cost distribution
From,To,Count
348,456,3
457,565,13
566,674,11
675,783,8
784,892,10
893,1001,20
1002,1110,14
1111,1219,11
1220,1328,4
1329,1437,6

In-timetable Cycle time (s) distribution
From,To,Count
363681,574117,5
574118,784554,2
784555,994991,0
994992,1205428,4
1205429,1415865,5
1415866,1626302,4
1626303,1836739,1
1836740,2047176,6
2047177,2257613,0
2257614,2468050,73



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5.938833720854306E7,2437296.208543062,2225978.6149311066,1176.9357978251244
2,8789332.394723415,363681.28671979904,201020.3561217785,906.772471470303
3,8765229.850842237,364410.56135344505,219738.7075741291,804.1933025227653
4,4.620874658164024E7,1893046.5816402435,1719096.563262701,970.8731922798687
5,1.3898942465407372E7,567975.7051906586,353365.016241312,1193.589525885052
6,6.0195269804153204E7,2468043.5177571774,2294915.720028162,962.7135762996144
7,1.820209448689747E7,749436.5326328278,537562.744269371,1182.0908392005497
8,2.933357779881978E7,1203946.267133236,1095047.179732561,605.0634890039764
9,1.3849476122605562E7,568759.3838150501,349294.12484669685,1221.929237390889
10,5.8885996681271076E7,2416389.1504518986,2349540.932464123,372.15411898030175
11,4.4682907033400774E7,1832783.052514553,1627848.0480372906,1140.3678459180726
12,5.9195685099205256E7,2425785.0992052555,2363415.899639368,348.51517710685727
13,6.003233242651677E7,2455261.4007954597,2271023.3204557896,1024.1994645992918
14,5.925169836924791E7,2422707.873663187,2263628.7434253693,884.9512037886515
15,2.9278525165842295E7,1197478.4123723507,954058.7268528938,1352.612843961186
16,9654249.725984573,390059.8383960724,318630.23278927803,398.9615966492229
17,5.8856395722901106E7,2407490.5482456684,2181497.2185320854,1255.9333875179288
18,2.4761989980282784E7,1014800.2153820992,831083.0908939838,1022.9645423081187
19,6.0049706157954216E7,2460225.321717739,2291137.055190325,939.9903117365309
20,6.00387985918448E7,2459350.6438121796,2238387.886245489,1229.7068858000964
21,2.4342245687940598E7,995480.4562907219,776450.71266222,1217.2754218882983
22,3.431653851591563E7,1404872.6052236557,1226477.5380356312,991.9767946481707
23,5.9983545843127966E7,2458882.121687174,2262987.5594420433,1092.5895709739793
24,5.9153429543278694E7,2423565.5414812565,2327358.6838903427,537.5325762099691
25,5.869045938353562E7,2406924.314863682,2231786.933211088,973.8224664449692
26,5.929315219200325E7,2431254.9319570065,2244714.071492195,1040.126787132687
27,5.8940077642284155E7,2415503.402343273,2235395.1375784874,1002.2164012683763
28,5.9877434208715916E7,2453578.426530838,2310324.3393597603,796.952085308234
29,5.910457434672618E7,2424193.6788733006,2298152.9744029045,702.1554101705552
30,1.699077137446475E7,699015.6466670036,609650.5530467033,496.84947840637625
31,2.9911377422352314E7,1221585.944005251,1045992.7074406147,975.7604005402989
32,4.646158886286497E7,1901538.7409541607,1746297.7311618328,863.4681473983659
33,5.876168318318653E7,2406805.145223379,2231315.888730526,975.8856013986801
34,5.9754507146229744E7,2446807.903366089,2354231.4761042595,515.0981368462244
35,5.9781377400325775E7,2450942.0726242065,2337863.3065001965,629.5124872313605
36,5.890822332408309E7,2415044.090410471,2175508.1021671295,1332.144657433033
37,3.0087355150990486E7,1233822.5535078049,1110593.9249315262,684.9991868204542
38,5.9766520784501076E7,2451814.422575474,2289234.1128122807,904.3478344718616
39,3.891748690383077E7,1598882.2277548313,1353739.726697445,1362.7363014671537
40,5.913654641287899E7,2425276.008647442,2299093.896901846,702.5409070478546
41,5.887187071288085E7,2417497.3156027794,2319111.284672737,547.239749979973
42,2.9632941270277023E7,1213675.8255393505,1103791.0892908573,613.3618026402261
43,5.9611789609735966E7,2442005.123547077,2348963.4755806923,519.8535571760601
44,5.84331525142355E7,2393727.2597289085,2256457.9627888203,764.1539320098029
45,5.964253696503854E7,2444076.247854948,2326880.2515671253,653.1616547372607
46,5.874609063256264E7,2406802.795959711,2214341.005235195,1070.6070078478917
47,5.903521070546007E7,2421252.039539814,2261174.5836195946,890.1633913516999
48,3.59823751020565E7,1475526.045605421,1325027.23143363,837.016814157698
49,3.623754586964655E7,1486619.6047341824,1320623.2440743446,925.0936827871534
50,3.5969679253946066E7,1475827.4992773533,1387240.5151312351,496.24022490051055
51,5.899679554785514E7,2420701.697029352,2318010.098161936,573.9081230680149
52,5.904155159826255E7,2422495.0885055065,2335308.6457948685,486.3208536744117
53,5.898959581133628E7,2419294.091112137,2291692.045390129,710.8339440438483
54,5.8628720252918005E7,2402930.4428744316,2224814.5635187626,991.2651944451862
55,3.38216223956666E7,1386417.4991431236,1267942.1737093925,658.9689100954268
56,5.8657752831418276E7,2400593.11373353,2284402.0648241043,647.0184433248309
57,5.824432390492821E7,2384917.266326189,2248831.197726488,756.888677456644
58,5.862636096924615E7,2396732.753285408,2197835.3338241577,1105.8958167274789
59,5.9659057202708006E7,2442252.8374619484,2291651.897210121,837.9204561683869
60,5.843123358385229E7,2391492.0659816265,2273038.641753435,658.2303688764573
61,5.85971712701354E7,2402512.9233806133,2281353.048577547,675.1005460593436
62,5.858749839935231E7,2399991.297229767,2199429.5135285854,1116.1944472935463
63,4.608580629818916E7,1888504.8554649353,1697099.7476775646,1065.6096671872667
64,5.84933904996779E7,2395086.9992022514,2232513.578001976,904.9614677548409
65,5.853735236486149E7,2401462.103584051,2249537.871828079,844.6953419062827
66,5.9260161960748434E7,2425833.9457206726,2251334.8201346397,969.9954922066795
67,4.533593783413243E7,1855707.4992132187,1671488.5228812695,1024.0396194060645
68,4.785677147867012E7,1963696.6892004013,1859402.025229454,580.9225658522713
69,5.923399742049241E7,2428314.7750282288,2198053.84533453,1283.0259873655104
70,5.8257655878698826E7,2385189.0815312862,2210499.3680205345,971.212029812071
71,5.8645432765879154E7,2400292.4343943596,2217063.905503273,1020.6352737612195
72,5.842696542910385E7,2390091.506084442,2213443.032461643,982.2507413493264
73,4.590711984136891E7,1877421.4498894215,1791870.5347919464,476.63993674251765
74,5.821283451136136E7,2379312.144563675,2276006.1925120354,574.7072739058071
75,5.941994897578859E7,2429916.4349808693,2178011.193136692,1401.4711670358972
76,5.854826095212054E7,2395314.922357559,2195220.104527235,1113.5695504771338
77,5.857606936487937E7,2397553.7686748505,2200851.749587536,1093.013269423114
78,5.826225655346441E7,2382458.3709027767,2140694.629880905,1343.8880544596248
79,5.937025663416958E7,2430555.7537903786,2253301.6134319305,985.3065645840434
80,5.9160590676704645E7,2427527.9429650307,2244390.6760640144,1018.5053141302533
81,5.784366220868683E7,2370116.6354744434,2194162.0234413147,979.1784731507302
82,5.930858920384979E7,2430842.782202244,2243283.639113188,1042.8483534004954
83,5.854222203959489E7,2402158.6911489964,2300818.9442880154,563.7547104517619
84,5.781599392709923E7,2369223.9791457653,2236304.258622408,738.9125109394392
85,5.906096930571413E7,2422379.271890402,2294632.344552994,712.7959987004599
86,5.779924300375533E7,2366286.4126229286,2175515.904081583,1061.9635768850644
87,5.7798774005960464E7,2367423.044146776,2270777.594650507,538.0815833144718
88,5.784105216506052E7,2369591.492830038,2159485.811873436,1169.3038661956784
89,5.900338408470988E7,2416973.290184498,2322788.5847153664,523.3641691009203
90,5.7770245089886904E7,2365408.0485372543,2265512.378710985,556.2256137039926
91,5.897737978864455E7,2415988.3527925014,2327853.57887125,490.19954794115483
92,5.841658482764506E7,2394735.1340727806,2194752.9476890564,1112.1115871151287
93,5.921156414386153E7,2424930.225132227,2225687.9927408695,1107.3752572377523
94,5.92070980317986E7,2425482.8670618534,2267322.5616903305,879.1716026915445
95,5.829757714124775E7,2391764.387758255,2216837.7749273777,974.5638075325224
96,5.8077701190378904E7,2381920.188367605,2232451.2616302967,831.2628917574884
97,5.7979933845775604E7,2372526.9072933197,2164839.9034118652,1156.5217478288541
98,5.918408267222381E7,2418284.568435669,2160411.0229108334,1434.3527232898603
99,5.886141257636213E7,2407487.773555994,2191196.04054451,1202.062137817012
100,5.891161189718342E7,2413869.9846606255,2242391.7917821407,953.7000035987961
