Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,13
Role 5,56

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1738.3771871446254,8.56982946395874,11787.557936429977,158192.3240301609,125.6394515142336,0.0,1540.379061460495,11433.190087795258,33615.82417582418,0.0,248580.0,3059040.0,8.959654086835508,0.04761016368865967,65.48643298016654,815.3285219020313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
Amend Request for Quotation,6866.983589153664,64.5056266784668,288518.0809664726,700432.3260936737,6237.377725058911,0.0,287510.3684875965,636212.5279560089,162930.0,0.0,6787260.0,1.661886E7,3.497810356081961,0.35836459265814885,6.831278369161818,356.77665632036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
Analyze Purchase Requisition,531.3114855002358,243.63538455963135,1246.7784473896027,101480.49373054504,141.42279527823962,0.0,845.0503854751587,27011.75389814377,9376.96335078534,0.0,154860.0,1791000.0,2.1660482790110898,1.3535299142201742,2.995856651994917,413.71522129111816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Analyze Quotation Comparison Map,53637.3338103795,370.04561281204224,357332.5147674084,5363733.3810379505,52397.567988009454,0.0,355554.1896662712,5239756.798800945,1260121.8,0.0,8372460.0,1.2601218E8,6.887587902055847,2.0558089600669014,11.281830305523343,688.7587902055847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,39315.14071304373,599.8470182418823,126615.81274867058,7941658.424034834,37959.48565880025,0.0,124925.835262537,7667816.10307765,916224.6534653465,0.0,2997360.0,1.8507738E8,7.531416968019357,0.051837265491485596,14.894876182079315,1521.3462275399102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
Approve Purchase Order for payment,17239.443227944375,60.0,119825.98331594467,1723944.3227944374,17179.443227944375,0.0,119765.98331594467,1717944.3227944374,406985.4,0.0,2896440.0,4.069854E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,82285.47733748912,0.0,212840.15134215355,8228547.733748913,82285.47733748912,0.0,212840.15134215355,8228547.733748913,1927789.8,0.0,5144460.0,1.9277898E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,45310.52584615708,0.0,345705.28854608536,4531052.584615707,45310.52584615708,0.0,345705.28854608536,4531052.584615707,1057186.2,0.0,8069820.0,1.0571862E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,59394.50393783331,371.3083379268646,136071.86549282074,5939450.393783331,58830.89888739109,0.0,135541.21646237373,5883089.888739109,1383085.2,0.0,3227940.0,1.3830852E8,3.131139169123438,2.0073580781618756,4.276497835583157,313.1139169123438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2033.999905629158,392.14603424072266,5258.094105005264,203399.9905629158,215.74905215978623,0.0,1889.0632102489471,21574.905215978622,68280.4114527607,0.0,158460.0,6828041.14527607,10.1013936303854,1.7650059050983853,18.853184115886688,1010.1393630385401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,76910.60485781908,6355.021457672119,150962.77196240425,7691060.485781908,65274.300586075784,0.0,134493.29039478302,6527430.058607578,1800798.0,93720.0,3483780.0,1.800798E8,64.64613484301833,13.263270539707607,120.17305047247145,6464.613484301833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,334.2982441043854,8.769618511199951,1350.5351860523224,33429.82441043854,11.938241157531738,0.0,520.4415154457092,1193.8241157531738,5368.8,0.0,158460.0,536880.0,3.581777810520597,0.09744020567999946,15.005946511692471,358.1777810520597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,196928.71571040392,22917.26617693901,484494.3779168129,1.9692871571040392E7,106087.28183434486,0.0,350096.01502895355,1.0608728183434486E7,4614465.0,425160.0,1.127256E7,4.614465E8,504.6746326447729,75.57708344194624,960.9961264000999,50467.46326447729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Pay Invoice,67329.57591378689,263.0181710720062,247412.58928918839,6732957.591378689,66736.2564056611,0.0,246671.50056099892,6673625.640566111,1573116.0,0.0,5800200.0,1.573116E8,3.2962194895876764,1.3426325519879658,4.983869712882572,329.62194895876763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,98424.424455266,60.0,339146.64405584335,9842442.4455266,98364.424455266,0.0,339086.64405584335,9836442.4455266,2305170.0,0.0,7947300.0,2.30517E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,76452.80992975712,147.93837881088257,233889.9957332611,7645280.992975712,76178.36449745655,0.0,233537.63312149048,7617836.449745655,1786936.2,0.0,5566020.0,1.7869362E8,1.524696846114265,0.6971262693405151,2.292114253838857,152.4696846114265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,63913.7935165739,0.0,342474.22825455666,6391379.351657391,63913.7935165739,0.0,342474.22825455666,6391379.351657391,1490431.8,0.0,7947300.0,1.4904318E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56561.76071002006,977.1782088279724,136431.63223981857,5656176.0710020065,55120.781896510125,0.0,135132.64977264404,5512078.189651012,1320393.0,0.0,3227940.0,1.320393E8,8.005437852833007,2.11976764731937,13.809986001915401,800.5437852833007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,94735.89265199662,17012.097975969315,186777.6092019081,9473589.265199661,61301.20182378292,0.0,136674.12187933922,6130120.182378292,2217260.4,378300.0,4384320.0,2.2172604E8,185.74828237896492,80.8464521434572,289.3169134590361,18574.82823789649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,93347.97948782047,642.4857811927795,246671.50056099892,5600878.769269228,83080.1086248676,0.0,224618.0531694889,4984806.517492056,2205203.0,0.0,5800200.0,1.3231218E8,57.04372701640482,0.12265157169765896,320.1970600459311,3422.6236209842896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4479038.841860056,2.7742492194879495E7,3.460085107654786E7
Process Cycle Time excluding out of timetable hours (s),185930.82223773003,1136519.583426745,1421692.1223421097
Process Waiting Time (s),119038.92076992989,982480.8065210963,1316842.1714265347
Accumulated Process Duration (s),4479038.841860056,2.7742492194879495E7,3.460085107654786E7
Cost,373.3639983627531,857.5618717144192,1379.1812120146221


Process Cycle Time (s) distribution
From,To,Count
4479038,7491219,5
7491220,10503401,4
10503402,13515583,4
13515584,16527765,0
16527766,19539947,3
19539948,22552129,8
22552130,25564311,3
25564312,28576493,0
28576494,31588675,19
31588676,34600857,54

Process Waiting Time (s) distribution
From,To,Count
119038,238818,9
238819,358599,3
358600,478380,1
478381,598161,0
598162,717942,10
717943,837723,4
837724,957504,0
957505,1077285,16
1077286,1197066,23
1197067,1316847,34

Accumulated Process Duration (s) distribution
From,To,Count
4479038,7491219,5
7491220,10503401,4
10503402,13515583,4
13515584,16527765,0
16527766,19539947,3
19539948,22552129,8
22552130,25564311,3
25564312,28576493,0
28576494,31588675,19
31588676,34600857,54

Process Cost distribution
From,To,Count
373,473,9
474,574,9
575,675,11
676,776,11
777,877,10
878,978,17
979,1079,10
1080,1180,9
1181,1281,8
1282,1382,6

In-timetable Cycle time (s) distribution
From,To,Count
185930,309506,5
309507,433083,4
433084,556660,4
556661,680237,0
680238,803814,3
803815,927391,8
927392,1050968,3
1050969,1174545,1
1174546,1298122,20
1298123,1421699,52



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7032014.219937563,290533.21993756294,172891.0188410282,653.948825217618
2,1.1504759697731256E7,473080.840313673,233343.5695643425,1333.898885344134
3,1.1479637467672586E7,469277.822142601,267079.6077954769,1126.0324328872891
4,7517738.242161512,311421.61843681335,214896.87398052216,537.3393845677377
5,3.2090135221376896E7,1315825.8766913414,1094621.5989611149,1232.0605499545732
6,7509168.315932989,310959.6512031555,195968.1667227745,639.8958219859337
7,4479038.841860056,185930.82223773003,119038.92076992989,373.3639983627531
8,1.0132802401195765E7,415872.6422967911,278967.83319473267,762.2354409959582
9,7713467.558221579,317523.8247449398,154087.4290084839,911.9116319762336
10,6669420.512916803,275261.64447021484,179858.4475929737,530.6569184912577
11,7465978.582914352,304018.5829143524,202842.7258694172,565.3423848337598
12,3.203173084024954E7,1307011.8813619614,1058784.250624895,1379.1812120146221
13,1.773044523394561E7,723597.970582962,615590.7091109753,601.1276552266545
14,2.1058777121965885E7,859420.8828001022,658317.9746267796,1118.5523182882202
15,7368243.099380255,300660.2595963478,227485.54539251328,409.8153590891095
16,2.102841980704546E7,860201.1817035675,645558.0620214939,1193.0599049104583
17,2.9493134544273615E7,1205060.860426426,1071688.117668867,747.0376635418997
18,1.2555185682504416E7,510731.6506922245,379409.18086361885,730.3103541678853
19,1.9883648874224424E7,816323.6377987862,659952.0838260651,869.6741971479523
20,2.310974961838579E7,945306.6177060604,698761.2299010754,1370.7933965656491
21,2.0999730671452522E7,858804.5562343597,658738.3405799866,1112.089085328579
22,1.2511602595656395E7,511455.7986147404,355260.3255558014,867.9676178428862
23,3.435074139608121E7,1408983.1258633137,1246448.7434601784,903.8945356157093
24,3.191867292869091E7,1309236.8306446075,1163677.352534771,810.0789887057412
25,3.460085107654786E7,1420392.8147888184,1294829.4827065468,700.9312651183872
26,3.459377367601943E7,1421692.1223421097,1316842.1714265347,583.5107105970383
27,2.162814108534074E7,889714.5629045963,698168.4093546867,1065.3236914621461
28,1.759186422068858E7,722824.6230604649,641763.0164232254,451.29809218115275
29,2.0625396083794355E7,847147.4084663391,719450.2296082973,710.9134340577656
30,2.09601573273108E7,857780.802321434,695987.6901452541,899.1778097881213
31,3.1835749410879612E7,1300069.410879612,1079310.9932336807,1227.6556857797834
32,2.9322179605097532E7,1197360.9449689388,1022649.3254470825,971.7739721179008
33,3.4141315900211334E7,1395558.0038847923,1220864.3151652813,972.6597644170126
34,3.441911540390372E7,1408435.4039037228,1259567.152453661,827.4707801183066
35,3.3514733707899332E7,1369800.9142227173,1257699.9968235493,625.9054840604463
36,2.291066777742338E7,935199.4852273464,836980.7485802174,547.2852632933194
37,3.1759269432249784E7,1296871.2370607853,1128736.170214653,935.8017014556463
38,2.8644877053590775E7,1169353.7196371555,1028186.3513011932,784.8217595802414
39,3.437233607717061E7,1406261.439893484,1230674.0533254147,977.8176000237465
40,3.397258408627248E7,1387938.3964366913,1262312.167459488,699.7182614776825
41,3.1728946593010187E7,1297765.0243785381,1116920.1533937454,1012.1967009491391
42,1.8590551258825302E7,759113.2656209469,684760.3006899357,416.6397478050655
43,3.456857684398198E7,1415002.9681310654,1182027.0443851948,1294.9506615744694
44,2.1415056548802614E7,879534.5195713043,790573.4810819626,495.60781179004243
45,2.2833125449546576E7,935967.6765055656,762533.7257139683,965.2648204896186
46,2.9669700686336756E7,1214255.1234619617,1053716.5611038208,892.7665369616615
47,3.1649614295480013E7,1299270.1814832687,1056248.0450747013,1351.9112393392456
48,2.9142012094447374E7,1195040.825104475,1011313.4322972298,1023.0026700033084
49,2.912522096997714E7,1192546.0617229939,1062754.89437747,722.6598118729063
50,3.394701085705209E7,1391093.380339861,1316033.4436264038,419.37516132328244
51,3.422282042356777E7,1404552.7597379684,1197440.2385041714,1151.207755429215
52,2.9150994407654047E7,1194160.0399234295,978917.1919767857,1197.0585350804859
53,2.8974020208133936E7,1188608.255756855,1099217.0027132034,497.53366804917647
54,3.399297025206518E7,1395718.524922371,1261089.564431429,748.9903188162381
55,3.37931783306396E7,1387572.3630177975,1273987.5194370747,632.3675523956617
56,3.362362530151796E7,1382592.3906772137,1146148.9688184261,1318.6065591401525
57,3.438024164774513E7,1410816.5564262867,1231473.5322971344,998.1025697350503
58,2.9028013562397957E7,1188564.2087016106,1081517.7009158134,599.7385014149878
59,3.394391804082608E7,1394395.5121207237,1287978.1091201305,591.6765476783117
60,3.409432051173544E7,1397871.7904133797,1246188.996560812,843.8550766348841
61,3.389919353219485E7,1389130.2311246395,1161236.9652798176,1270.3444639192685
62,3.3553901356056213E7,1380502.8235695362,1213922.4243693352,925.94074019591
63,2.9044774165385723E7,1190028.573968649,1029537.9324476719,897.1749222013686
64,3.4023390300656796E7,1389544.0384407043,1281631.9895401,599.687126909362
65,3.367045749177241E7,1374336.7035779953,1174711.765843153,1109.7869264960289
66,3.4045707173975706E7,1392888.6575522423,1223802.123140812,940.1018125494321
67,2.925904819179988E7,1198658.1499888897,1102397.9042139053,535.5843244817523
68,3.3834064590322256E7,1386422.803085804,1242696.0233807564,799.8327724297842
69,3.371273999260521E7,1379594.0625138283,1290434.2977368832,496.4942490564452
70,3.3781483538360834E7,1385700.2647807598,1247906.8241820335,769.3435520529748
71,3.3429691540733576E7,1372851.246423483,1159613.765152216,1186.3988462924956
72,3.376220142331529E7,1383101.0832853317,1298461.3837323189,471.37897097269683
73,3.39114202891922E7,1388150.7108824253,1205173.476997137,1018.7126777887345
74,2.929686018826461E7,1200680.615490675,997907.0474228859,1127.9471061256197
75,3.0664001458942175E7,1256055.6898868084,1069807.8098278046,1036.0282160798706
76,3.366453772641206E7,1378065.935599327,1217021.379462719,896.1203618102604
77,2.9082933240980864E7,1192302.4394173622,1025246.0205156803,928.1399362232951
78,2.9069239761600494E7,1192623.861341238,1058147.0881345272,748.5270118845834
79,2.8765162545039415E7,1177106.7078020573,1076404.1879849434,562.0572245823013
80,3.3376243998616695E7,1365042.272448063,1199830.5638401508,918.4384505523576
81,3.3977255623209E7,1389036.4300131798,1270893.70656991,657.8038329150943
82,2.9126937374878883E7,1190954.07686162,1038419.5308294296,849.8639729208418
83,3.1110745307590485E7,1274219.3639109135,1201377.6921954155,407.44327244891053
84,3.358787405913615E7,1374546.8348033428,1185540.7632751465,1056.7825594239764
85,3.3243341889645576E7,1362295.717634678,1231968.6373462677,724.797525970141
86,3.3681715210083246E7,1381117.59166646,1211506.61632061,943.5335255596373
87,3.3664572380322695E7,1383745.5492453575,1198643.0169501305,1029.4227984560862
88,3.036107349187112E7,1245840.4594442844,1093604.5753457546,846.4581648204063
89,3.3549786057187557E7,1376012.1692667007,1158622.494481802,1209.2885765804185
90,3.3301606107488632E7,1364594.8553640842,1139783.3348977566,1251.5659601092334
91,3.3338819186956882E7,1365659.1869568825,1291409.3990235329,413.259536172284
92,3.3335959215390682E7,1364738.252804041,1289326.7538366318,419.1889605773819
93,3.3534814032548666E7,1373736.917128086,1166860.3064517975,1153.318270450168
94,3.357362101179552E7,1379720.8130562305,1233916.8173553944,810.7597872667843
95,3.371861254079056E7,1381102.6457936764,1179657.757344246,1120.3899267514544
96,3.3264412320584297E7,1363312.3205842972,1196499.41194129,927.1963389383423
97,3.3238769350203514E7,1358655.1293969154,1180477.4454398155,992.514521990882
98,3.3489107892843008E7,1371178.2477931976,1185166.5272698402,1037.0556898289258
99,3.348595698200822E7,1371465.0921406746,1167049.7794134617,1139.5317832350734
100,3.3416013263267756E7,1369895.3001987934,1263334.8239605427,592.1263893471823
