Resource utilization
Resource,Utilization %
Role 1,11
SYSTEM,0
Role 4,29
Role 6,0
Role 3,25
Role 2,38

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,41750.64337189301,2340.4411749839783,69374.27086138725,4801323.987767696,40211.05025491714,0.0,68458.57743954659,4624270.779315472,973051.304347826,3660.0,1696800.0,1.119009E8,8.553295094310375,0.03034748766157362,36.541031212276884,983.6289358456931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
Amend Request for Quotation,28197.34453056875,345.62141823768616,69381.16517925262,3440076.0327293873,27580.40791776141,0.0,68942.37928676605,3364809.7659668922,649714.9180327869,0.0,1696800.0,7.926522E7,3.4274256267074246,0.7700594398710463,7.251736176013947,418.1459264583058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
Analyze Purchase Requisition,403.75146275121114,240.92369675636292,789.5354244709015,86806.56449151039,4.390176640000454,0.0,377.76568937301636,943.8879776000977,10423.255813953489,0.0,158460.0,2241000.0,2.2186738117289493,1.338464981979794,2.996303375562032,477.01486952172405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Analyze Quotation Comparison Map,26016.9971445179,383.35117053985596,69269.90515494347,2601699.71445179,24778.27305124998,0.0,68257.88641834259,2477827.305124998,605674.8,0.0,1696800.0,6.056748E7,6.881800518155092,2.1102946082750957,11.303004851606158,688.1800518155093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,32015.327851842114,379.9657316207886,142055.83043956757,7107402.78310895,30618.05772000927,0.0,140579.37756943703,6797208.813842058,755230.8108108108,0.0,3404400.0,1.6766124E8,7.769097421811271,0.0,16.058598785930208,1724.739627642102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Approve Purchase Order for payment,20787.787160019874,60.0,131219.93758654594,2078778.7160019875,20727.787160019874,0.0,131159.93758654594,2072778.7160019875,492222.6,0.0,3069420.0,4.922226E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,28944.738335962295,0.0,142560.30356144905,2894473.8335962296,28944.738335962295,0.0,142560.30356144905,2894473.8335962296,685967.4,0.0,3228000.0,6.859674E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,17925.963334794043,0.0,68630.65834069252,1792596.3334794044,17925.963334794043,0.0,68630.65834069252,1792596.3334794044,418914.0,0.0,1646340.0,4.18914E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,56205.127690734866,379.7851130962372,141400.79128980637,5620512.769073486,55624.58162813425,0.0,140744.70302200317,5562458.162813425,1318120.2,0.0,3404400.0,1.3181202E8,3.2252559033367363,2.0792495727539064,4.312298047542572,322.5255903336736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,33216.283054499625,2136.953753709793,65020.76687335968,3321628.3054499626,31446.617861545084,0.0,64183.38713026047,3144661.7861545086,776975.8419199968,20781.453697919846,1510967.1574385166,7.769758419199967E7,9.831473294191891,1.737348159154256,18.956146114402348,983.1473294191892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,41717.79559103728,2288.8144953250885,161310.03171896935,4171779.5591037273,29679.64079406023,0.0,139771.15348529816,2967964.079406023,980442.6,43260.0,3825960.0,9.804426E7,66.87863776098358,12.71563608513938,119.84369994401932,6687.863776098358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,296.33189606428147,28.170700788497925,927.6380860805511,29633.189606428146,0.0,0.0,0.0,0.0,2702.4,0.0,97260.0,270240.0,3.292576622936461,0.31300778653886585,10.307089845339457,329.2576622936461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,288860.37096101284,27507.67914223671,612188.6142938137,2.8886037096101284E7,199632.5737929511,0.0,439746.2271659374,1.996325737929511E7,6761698.2,583680.0,1.429518E7,6.7616982E8,495.70998426700965,93.8650496284167,962.8411950045162,49570.998426700964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Pay Invoice,27725.001574997903,258.15042328834534,150057.07139396667,2772500.15749979,27154.019000337124,0.0,149184.47921967506,2715401.9000337124,646381.8,0.0,3480120.0,6.463818E7,3.172125414782103,1.4341690182685851,4.953211245271895,317.2125414782103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,704.823770031929,60.0,39423.792206287384,70482.3770031929,644.823770031929,0.0,39363.792206287384,64482.3770031929,16895.4,0.0,954660.0,1689540.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,11780.000951311587,124.97589874267578,147025.74478006363,1178000.0951311588,11513.04946911335,0.0,146848.71531367302,1151304.946911335,261168.0,0.0,3325260.0,2.61168E7,1.4830637899902128,0.6841065088907877,2.2980307274394565,148.3063789990213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,220302.78000257016,0.0,448777.44768214226,2.2030278000257015E7,220302.78000257016,0.0,448777.44768214226,2.2030278000257015E7,5157343.8,0.0,1.059882E7,5.1573438E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,32083.089441211225,787.9416801929474,140986.91770148277,3208308.9441211224,30665.309188358784,0.0,139981.86215353012,3066530.9188358784,754746.6,0.0,3307140.0,7.547466E7,7.876556960291332,2.287554899851481,14.858166741000282,787.6556960291332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,87430.87296323299,20046.135488033295,184135.5118060112,8743087.2963233,55665.735020735265,0.0,140860.15647268295,5566573.502073526,2044156.2,421560.0,4384320.0,2.0441562E8,176.47298856943172,80.85038299428092,291.08502943383326,17647.298856943173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,48132.01383953346,381.7286365032196,157625.97461128235,2743524.788853407,37496.75471229302,0.0,141460.98410701752,2137315.0186007023,1138545.2631578948,0.0,3732240.0,6.489708E7,59.08477292911353,1.4445760581228468,256.4079990320736,3367.832056959471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6301430.848463297,2.6258853547361497E7,3.236961510028577E7
Process Cycle Time excluding out of timetable hours (s),261899.27829027176,1075789.3054415083,1330333.6465878487
Process Waiting Time (s),155264.49909305573,923951.3750668907,1211432.7622697353
Accumulated Process Duration (s),6301430.848463297,2.6258853547361497E7,3.236961510028577E7
Cost,357.49236573245787,845.2047439320482,1560.1703052467767


Process Cycle Time (s) distribution
From,To,Count
6301430,8908248,2
8908249,11515067,4
11515068,14121886,3
14121887,16728705,5
16728706,19335524,7
19335525,21942343,8
21942344,24549162,3
24549163,27155981,11
27155982,29762800,0
29762801,32369619,57

Process Waiting Time (s) distribution
From,To,Count
155264,260880,3
260881,366497,3
366498,472114,4
472115,577731,2
577732,683348,13
683349,788965,4
788966,894582,7
894583,1000199,7
1000200,1105816,18
1105817,1211433,39

Accumulated Process Duration (s) distribution
From,To,Count
6301430,8908248,2
8908249,11515067,4
11515068,14121886,3
14121887,16728705,5
16728706,19335524,7
19335525,21942343,8
21942344,24549162,3
24549163,27155981,11
27155982,29762800,0
29762801,32369619,57

Process Cost distribution
From,To,Count
357,477,6
478,598,15
599,719,13
720,840,22
841,961,12
962,1082,12
1083,1203,7
1204,1324,11
1325,1445,1
1446,1566,1

In-timetable Cycle time (s) distribution
From,To,Count
261899,368742,2
368743,475586,4
475587,582430,3
582431,689274,5
689275,796118,8
796119,902962,7
902963,1009806,3
1009807,1116650,11
1116651,1223494,0
1223495,1330338,57



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.9470666607001305E7,800945.6070013046,648603.5035610199,847.3876374549336
2,3.236961510028577E7,1330333.6465878487,1100450.7367522717,1277.45619449483
3,6301430.848463297,261899.27829027176,155264.49909305573,593.6074004862045
4,7767279.243945837,320823.3200726509,241042.63784074783,444.9606480426258
5,2.0196941584957123E7,824848.5364055634,686069.8109893799,772.943010433515
6,1.3902514027705193E7,566597.5471668243,458157.3943898678,605.2756397167842
7,2.1662095205250263E7,887729.2881834507,752086.2683708668,756.576308690177
8,2.5389571157414675E7,1040459.5273504257,858680.4853003025,1010.8883928325441
9,1.577247057651472E7,648096.5623033047,458141.5291593075,1056.7546231720185
10,3.23074147243762E7,1324517.662005663,1137541.753494978,1040.0595943570133
11,3.2233822009346962E7,1320573.538030386,1086077.2916288376,1303.0631388876172
12,9248451.423085451,380333.82723259926,239021.4877254963,787.5257573286694
13,1.2691535704712868E7,514775.70471286774,373976.8885293007,784.4498603383701
14,1.6725425129356384E7,682163.9365544319,519309.27947568893,905.8577610492706
15,3.223641428516221E7,1319319.1869723797,1185076.9785785675,748.8091304063797
16,3.193006039733267E7,1304538.6194338799,1114709.835935831,1056.8775281416044
17,1.0052031035098076E7,410190.5184791088,327797.02573776245,458.2734378841188
18,3.2239756214939833E7,1321632.378560543,1211432.7622697353,615.4823430816334
19,1.3631695306785822E7,558570.8913838863,424436.2541871071,747.6527091145516
20,3.1873948161337614E7,1305678.4514462948,1080254.3545897007,1253.5394220259452
21,3.2099781869944334E7,1316394.415337801,1193171.9711916447,687.7296847171255
22,1.8787318726910353E7,768813.5849518776,635255.9742970467,746.7038447989358
23,3.1835602221127987E7,1305263.609036684,1096803.8133039474,1158.6706280681822
24,2.6725067269650698E7,1099569.7444856167,984959.4215116501,638.9007578584884
25,2.463670468134904E7,1010122.9220094681,918146.4820766449,513.1952854394913
26,3.2161197737352848E7,1323366.7686350346,1174787.8128974438,829.2061596724724
27,3.187742510105467E7,1303909.3959047794,1179981.2778110504,689.4447430253031
28,2.14128162822752E7,875662.2193171978,712930.7864785194,907.3098524543974
29,3.142372506286812E7,1286584.729607582,1114073.7650437355,959.0370662649473
30,3.2061912193160534E7,1313362.5659954548,1209083.9234895706,579.4822955926259
31,1.0940821807663918E7,450001.80766391754,341978.9176967144,600.9095987690819
32,3.1473849387122154E7,1291640.8168945312,1123151.5410039425,937.3146626922821
33,2.6621101577631235E7,1092584.3710365295,873935.3214008808,1215.1008636885215
34,1.01818212064991E7,414728.8494851589,310445.4020330906,580.0700719647938
35,1.8037568699448347E7,733576.4701592922,602885.6208024025,726.5104187726976
36,2.527894571362543E7,1032865.5159156322,938522.2680671215,527.739927927653
37,2.6139206613414526E7,1066775.1909546852,917103.5157222748,836.6628517693944
38,2.5029012487700462E7,1022387.3495287895,939648.6078138351,460.2663150694634
39,3.190076079274583E7,1303381.645709753,1128815.5624263287,971.3350263608827
40,3.1739942890571356E7,1301796.08569479,1163194.4557070732,771.4425328387155
41,3.112202956847763E7,1277423.6431860924,1182470.9041192532,529.0859637922712
42,3.1273245176186085E7,1278290.0666408539,1072281.2409772873,1145.9765696326892
43,3.1688132223477602E7,1297741.8045053482,1155658.932762146,790.7351653933526
44,3.1494331182929993E7,1289747.298116684,1128135.715798378,898.2748303824002
45,3.1491591708780766E7,1289069.048244238,1198972.2237923145,502.02673955493503
46,3.1657395965078354E7,1298232.6427767277,1133360.0372691154,919.2343603558012
47,3.179743440524888E7,1304954.4052488804,1097052.5057201385,1157.5386900345482
48,3.143720367316103E7,1287397.5915150642,1183759.6129903793,576.7822047842874
49,1.8733135508499384E7,765745.8796827793,579644.9942178726,1034.2065994196469
50,3.1531525406134844E7,1290082.9723834991,1125594.1714394093,915.7865325993962
51,1.9427943823640108E7,795835.971987009,578232.5226089954,1210.0834775103463
52,3.176417066662717E7,1300417.4125585556,1137184.6718962193,908.5546879808109
53,2.1127430929549694E7,865866.2613110542,638091.8240160942,1266.1170624256133
54,3.1500532826191664E7,1289060.8123579025,1171008.7136363983,656.6364043924544
55,1.611790522174406E7,664547.3698806763,566220.8699653149,548.0774587300089
56,2.0844236915177345E7,853320.1278378963,650662.7994093895,1127.4585579130382
57,3.195837661983466E7,1310583.667514801,1074675.1424632072,1313.5512088047133
58,3.1947581265016556E7,1307713.3532497883,1079866.2476222515,1266.075720322132
59,3.1516318442788363E7,1293578.5564312935,1115254.9560694695,991.0727198653752
60,3.150983441306615E7,1291909.0424621105,1172570.4593150616,663.4601017077765
61,3.1498693721585512E7,1289062.1984772682,1151955.959712267,762.993536828624
62,3.1401577276825666E7,1285873.8059830666,1172564.9935529232,630.436506301827
63,3.170709852639532E7,1298215.8348748684,1105755.6435575485,1070.2456253528592
64,1.6541627942056179E7,677402.8921279907,589356.3036289215,490.1631679203774
65,3.2159366273857594E7,1316034.7459230423,1035322.5459842682,1560.1703052467767
66,3.159159572239566E7,1294081.3100607395,1189761.7057917118,583.8667870826191
67,3.136858354008603E7,1288440.7076539993,1071527.8794629574,1206.1372518221533
68,3.1356632762155294E7,1282724.724705696,1177297.1686007977,586.2568025257852
69,3.0917858961805105E7,1264605.8734412193,1117992.3154025078,819.4114407883751
70,3.1623363866604567E7,1299103.4777505398,1077423.8327639103,1232.8438352677554
71,3.1348219002276182E7,1282134.4898986816,1149859.571087122,735.3338461306361
72,3.177259216162038E7,1300902.654370308,1137119.5895745754,910.5651179181206
73,1.8298850545470476E7,752949.889551878,615390.8368308544,766.3492195526759
74,1.7590731792392254E7,720031.7252969742,589922.5770733356,725.229076312648
75,1.6377230122485638E7,669387.8149402142,589109.5336821079,446.97125263479023
76,3.1599201363234997E7,1297533.0656843185,1073038.9966824055,1247.3495602501762
77,3.1314522012728214E7,1281751.744612217,1075076.2226548195,1149.0416314442953
78,1.912881510447359E7,784658.6756725311,661686.1388020515,684.0522844764923
79,3.1282465325263977E7,1282459.4980680943,1037230.4705882072,1363.519926134745
80,3.1534296407397747E7,1294300.9402997494,1148693.8117346764,809.1658320718343
81,1.856618614067173E7,761269.835546732,645383.9641189575,645.5388168215751
82,2.6026533666100502E7,1066876.9934036732,960402.5611951351,592.9756606896718
83,3.1415463195044756E7,1286352.3714244366,1146239.9124183655,779.3282980230119
84,2.25473828103714E7,921524.7009801865,826400.2796809673,529.3098499125904
85,3.1347792910054207E7,1280472.9100542068,1165861.3965730667,638.5562364962365
86,2.450955718096757E7,998732.5019819736,809784.167103529,1054.4334029250676
87,3.1376906342548132E7,1283085.439584732,1132664.9603059292,837.1816256986725
88,2.067509823098278E7,845803.8542563915,735773.1717143059,612.7977536943225
89,3.1297758820970774E7,1278863.050964117,1088843.4115214348,1055.9560252957872
90,2.687323345451784E7,1100395.0674746037,888760.5842206478,1178.0752991398174
91,3.091978306311989E7,1266671.4727945328,1203241.8752815723,357.49236573245787
92,3.1356404122054815E7,1285671.158542633,1187707.2368781567,544.8761634945869
93,3.130125157212639E7,1284989.6889662743,1127296.4116714,879.2176350394885
94,3.1080463028738737E7,1275068.0245325565,1075289.4006774426,1114.4272065255375
95,2.3820864768277407E7,977378.5241734982,829505.4111077785,821.8203141358164
96,3.088477708365774E7,1267074.694991827,1183540.3499276638,464.5040664275487
97,3.1050552665350437E7,1276469.689866066,1135800.5209507942,782.4632214718397
98,2.5211602986193895E7,1036595.8287553787,847457.4344673157,1052.075516963005
99,3.1037450238084555E7,1271008.2138683796,1086749.5977592468,1024.8615353690254
100,2.586489301840782E7,1064636.438205719,894642.9974739552,949.2722119993634
