Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,45
Role 2,63
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1548.888022181914,35.30784606933594,6504.92910194397,150242.13815164566,0.0,0.0,0.0,0.0,34322.47422680412,0.0,169320.0,3329280.0,8.604933456566188,0.19615470038519967,36.13849501079983,834.6785452869203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Amend Request for Quotation,646.9230338258947,103.93806219100952,1231.8290119171143,60810.765179634094,0.0,0.0,0.0,0.0,12569.36170212766,0.0,158460.0,1181520.0,3.5940168545883013,0.5774336788389418,6.843494510650634,337.8375843313003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
Analyze Purchase Requisition,388.84659299995695,241.22723388671875,539.6895954608917,76602.77882099152,0.0,0.0,0.0,0.0,6273.197969543147,0.0,158460.0,1235820.0,2.1602588499997606,1.3401512993706597,2.9982755303382875,425.5709934499528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Analyze Quotation Comparison Map,1181.7834761548042,366.25022530555725,2022.0782496929169,118178.34761548042,0.0,0.0,0.0,0.0,27558.6,0.0,158460.0,2755860.0,6.56546375641558,2.0347234739197626,11.233768053849538,656.546375641558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41814.42992581043,220.19189310073853,158132.7096066475,8111999.4056072235,40468.85127590243,0.0,156634.52345228195,7850957.147525072,976347.8350515463,0.0,3804300.0,1.8941148E8,7.49391331811268,0.0,15.613871709505718,1453.81918371386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
Approve Purchase Order for payment,41977.683760216234,60.0,169913.07060575485,4197768.376021624,41917.683760216234,0.0,169853.07060575485,4191768.3760216236,984951.6,0.0,3905280.0,9.849516E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,874.5986487293244,0.0,8900.696338415146,87459.86487293243,874.5986487293244,0.0,8900.696338415146,87459.86487293243,26189.4,0.0,252120.0,2618940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,89008.15732220888,442.10367345809937,178096.1848154068,8900815.732220888,88423.36986075163,0.0,177660.45473980904,8842336.986075163,2089221.6,0.0,4218600.0,2.0892216E8,3.248819230318069,2.016980344719357,4.320867289437188,324.88192303180693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1946.444421646595,349.82636165618896,3393.8578157424927,194644.4421646595,0.0,0.0,0.0,0.0,58589.9110624075,0.0,157546.990452528,5858991.106240749,10.813580120258862,1.9434797869788276,18.85476564301385,1081.3580120258862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,94529.65871397257,10955.059555530548,183753.74490356445,9452965.871397257,81475.61989426852,0.0,173565.50254702568,8147561.989426851,2212828.8,252180.0,4384320.0,2.2128288E8,72.52243788724475,16.475871602694195,121.28261129458745,7252.243788724475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,314.60157935619355,30.523412227630615,1077.3118124008179,31460.157935619354,0.0,0.0,0.0,0.0,6702.6,0.0,158460.0,670260.0,3.4955731039577045,0.33914902475145126,11.970131248897976,349.55731039577046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,203888.75706634045,12372.777141571045,505916.36246705055,2.0388875706634045E7,116582.41034522772,0.0,365066.07927536964,1.1658241034522772E7,4767406.2,302580.0,1.180578E7,4.7674062E8,485.03525956173735,65.12296646965875,976.9750846174028,48503.52595617373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Pay Invoice,1681.1411701107024,255.7397997379303,9890.815178632736,168114.11701107025,1119.8587725806237,0.0,9298.21481513977,111985.87725806236,49241.4,0.0,324180.0,4924140.0,3.118235541833773,1.3687395890553793,4.92039444843928,311.82355418337727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1548.6,0.0,154860.0,154860.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,431.10197860240936,131.84464573860168,3704.0999908447266,43110.197860240936,151.6746224117279,0.0,3327.9363956451416,15167.46224117279,7349.4,0.0,169320.0,734940.0,1.552374201059341,0.6869004090627034,2.328937543763055,155.23742010593412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,143745.31146777153,0.0,373101.4915533066,1.4374531146777153E7,143745.31146777153,0.0,373101.4915533066,1.4374531146777153E7,3346759.8,0.0,8700300.0,3.3467598E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,59389.938830919265,765.3744056224823,157109.5089070797,5938993.883091927,57989.546922957896,0.0,155262.9832429886,5798954.69229579,1394316.6,0.0,3685440.0,1.3943166E8,7.779955044229826,1.7801394515567355,13.143731609980266,777.9955044229827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,133251.4086072421,20169.57604122162,225773.36203479767,1.332514086072421E7,97115.80136893272,0.0,174968.02026033401,9711580.136893272,3112659.6,507960.0,5378640.0,3.1126596E8,200.7533735461633,83.96565407911936,292.94153627554573,20075.337354616328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11713.827858283603,66.97550559043884,43847.837893247604,679402.0157804489,956.9627348883398,0.0,8881.666632175446,55503.83862352371,290503.4482758621,0.0,1066320.0,1.68492E7,59.76036179664036,0.3720861421691047,243.59909940693115,3466.100984205141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4584809.215275288,2.1068468269141078E7,2.801447545630002E7
Process Cycle Time excluding out of timetable hours (s),191406.59072852135,863071.1580786705,1144471.8470652103
Process Waiting Time (s),114161.06417346,708460.4855253339,971663.8538751602
Accumulated Process Duration (s),4584809.215275288,2.1068468269141078E7,2.801447545630002E7
Cost,367.964680926005,860.7318115697572,1387.9410762773618


Process Cycle Time (s) distribution
From,To,Count
4584809,6927775,2
6927776,9270742,3
9270743,11613709,4
11613710,13956676,10
13956677,16299643,3
16299644,18642610,7
18642611,20985577,9
20985578,23328544,4
23328545,25671511,45
25671512,28014478,13

Process Waiting Time (s) distribution
From,To,Count
114161,199911,4
199912,285662,7
285663,371413,2
371414,457164,5
457165,542915,6
542916,628666,5
628667,714417,4
714418,800168,13
800169,885919,30
885920,971670,24

Accumulated Process Duration (s) distribution
From,To,Count
4584809,6927775,2
6927776,9270742,3
9270743,11613709,4
11613710,13956676,10
13956677,16299643,3
16299644,18642610,7
18642611,20985577,9
20985578,23328544,4
23328545,25671511,45
25671512,28014478,13

Process Cost distribution
From,To,Count
367,468,7
469,570,12
571,672,13
673,774,13
775,876,13
877,978,5
979,1080,9
1081,1182,10
1183,1284,11
1285,1386,7

In-timetable Cycle time (s) distribution
From,To,Count
191406,286712,2
286713,382019,3
382020,477326,4
477327,572633,9
572634,667940,4
667941,763247,7
763248,858554,9
858555,953861,4
953862,1049168,44
1049169,1144475,14



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.177265186347723E7,484730.8634772301,240388.786550045,1359.8513505564792
2,1.0384967015797138E7,429502.50686335564,198415.6419506073,1285.031205419699
3,4584809.215275288,191406.59072852135,120514.01778078079,394.8756287839677
4,5124765.265049219,212215.03570079803,114161.06417346,545.1371074040732
5,2.5984927676073074E7,1063177.7070679665,945799.4102854729,655.0855688055357
6,1.6193038585963488E7,662902.422337532,465562.2304427624,1098.5246784528094
7,9919181.764072895,408571.4508714676,231102.25840878487,988.6275990181499
8,1.1503806187054873E7,472591.5181593895,223474.84332728386,1385.0800728201866
9,1.3733836755028725E7,562696.7550287247,339136.93053483963,1242.7342053956454
10,1.2296393195215225E7,500659.7784457207,275232.79258704185,1254.1957904378573
11,1.3491989530001879E7,550178.8380723,442092.44449043274,602.3567078298994
12,1.9233821289179564E7,783289.2977843285,613663.5500257015,942.8594809889794
13,1.3677452094067097E7,558398.856811285,442103.49554634094,649.6789425770443
14,8219399.54549861,334534.1634762287,205385.03462696075,718.117303159502
15,1.7668100966846466E7,722235.5131306648,610280.4881346226,622.3364362902112
16,7930916.965849161,322668.6000237465,180382.40444016457,791.9205963664585
17,1.3460747348170519E7,552592.9532995224,424943.1871140003,710.0831810156506
18,8163680.8376472,334928.5991797447,229503.34292697906,587.8526098900371
19,1.3592538415273666E7,557652.7531816959,434114.4941456318,687.4856472094855
20,1.1762536877331257E7,481747.1524732113,278510.001830101,1130.0982888566123
21,1.0119138590761662E7,417258.59076166153,304114.5512804985,630.3926293200918
22,2.599247334089732E7,1064282.3216557503,861766.2631340027,1126.8412247127958
23,1.7871354146226168E7,731623.6727256775,518467.53147149086,1185.9117586851119
24,2.051964886289978E7,839708.3701906204,643547.0572698116,1093.082653127776
25,2.35773643910563E7,964525.1229646206,810464.4023272991,859.1800317976212
26,1.7912963724725008E7,735908.66056633,510693.2384712696,1253.257947001192
27,2.350444444612074E7,962674.5174582005,760054.7557792664,1126.1538596179753
28,2.0565884827350855E7,844432.6112391949,692057.0522861481,848.4420704576705
29,1.3193023545683146E7,536131.8562450409,455646.12368631363,448.06781473557146
30,2.0274847112317085E7,830201.7005770206,755265.4509351254,417.54394910997814
31,2.052506177180004E7,842214.3186714649,701686.3030734062,782.8406406270134
32,2.5690135595758677E7,1053345.0565571785,835663.204075098,1210.359015209145
33,1.6604328106957197E7,681771.0383782387,554412.6241459846,710.4062622865041
34,1.4983995141006708E7,613766.7756459713,506382.33033132553,598.5690772718855
35,2.1230994416009903E7,869286.4001982212,775720.8294870853,521.0974384453561
36,1.656251279827571E7,682038.1710145473,482199.67779016495,1113.28389519453
37,2.5537433754389763E7,1046354.6430561543,801715.1778359413,1359.5021694196594
38,2.5523409553961754E7,1046309.3712015152,971663.8538751602,417.52208073536553
39,2.5510357631714344E7,1047240.3140568733,837180.9710841179,1167.7852293199962
40,2.5579161846775055E7,1050777.6059892178,913917.7649312019,762.7366799434027
41,2.577156967896247E7,1055466.413131237,953266.9661872387,569.6202220413419
42,2.5759435857532024E7,1057236.5347833633,946823.71312356,614.0948606093725
43,2.5530279762480974E7,1047459.6430296898,948303.9772286415,552.3684073819055
44,1.3949747767600298E7,573447.3665893078,461971.26853847504,620.5570799840821
45,1.6428123197684526E7,673664.6952693462,555714.6794745922,656.954093984763
46,2.515079616538596E7,1034238.515182972,816428.2644584179,1210.466063626607
47,2.090432454883504E7,858373.1978042126,722799.52034688,757.1566689716445
48,1.760444262597823E7,724801.7826573849,634094.8198058605,505.79146895541083
49,2.0168998891694307E7,824839.2942101955,721841.5811593533,573.9522773464521
50,2.4146886049420357E7,990729.5451951027,741080.9546542168,1387.9410762773618
51,1.6168454608421564E7,663761.9154407978,559742.246181488,578.1040814055336
52,2.5067378421769142E7,1030718.4217691422,946087.5813922882,471.11429682307767
53,2.4999018199650526E7,1020329.9374682903,834166.2584900856,1035.2948751648269
54,2.191515256418705E7,893751.3121907711,798325.0848591328,533.236893787649
55,2.6235250066752434E7,1073936.4295449257,859312.9114365578,1192.933415842056
56,2.5875572897094727E7,1056135.8689069748,938052.9684391022,657.0117847773763
57,2.4047653167340994E7,982296.2129507065,824796.1729316711,878.3306569642493
58,2.0304750258324146E7,830843.6671097279,747613.4129228592,463.50551950666636
59,2.5312691623239517E7,1039720.8987762928,889672.971225977,834.1873971197341
60,2.00638306139071E7,823322.3674824238,725955.032186985,545.3471332682504
61,2.1815862136561632E7,892558.3659923077,809318.2421188354,463.6131706966293
62,2.526120579773712E7,1033903.576223135,861569.9133796692,957.9486311819819
63,2.144184883205247E7,878035.7881307602,732988.1708447933,807.2560430288315
64,2.540469055869603E7,1043299.5738754272,895101.7482433319,824.4969292031395
65,2.3623600537678003E7,969440.7924187183,844186.4317371845,696.8280125101408
66,2.4871719712068558E7,1021038.5881009102,877445.8172698021,798.0861646387314
67,2.661824942208171E7,1091985.2562401295,938319.2331242561,859.2659964985319
68,2.5177264015661716E7,1026976.5809903145,892551.5604946613,750.8408821317886
69,2.5162926862072945E7,1026636.2360231876,803680.8823695183,1240.7894668764538
70,2.515735844424987E7,1031358.7313058376,965155.6121513844,367.964680926005
71,2.601297006112027E7,1068776.7950377464,928949.7622272968,778.0080008202129
72,2.5123202944509745E7,1025342.7444751263,798443.6303043365,1261.1784649266135
73,2.50343766882751E7,1022538.5197479725,937951.6067521572,472.0625094254811
74,2.5096106316090822E7,1026190.9430453777,888015.1894519329,769.5729448914528
75,2.4904290931414843E7,1017690.5743489265,801762.3237617016,1199.8072786900732
76,2.801447545630002E7,1144471.8470652103,904098.2573504448,1336.5772697673901
77,2.5052936648894787E7,1024911.1472201347,933608.2116215229,511.7136916412247
78,2.546642092081833E7,1041717.4977655411,800936.598146677,1338.9226366731855
79,2.6837643379992962E7,1097642.3662474155,885325.9054682255,1180.6836336361037
80,2.441484712769413E7,1005274.8445436954,907721.6456849575,545.5148169106907
81,2.4819451519957304E7,1016828.0237717628,829460.4659211636,1041.9903715742958
82,2.490683348961234E7,1020944.0801939964,799976.6114604473,1228.0424338698385
83,2.4792906510503292E7,1014736.2456400394,846397.5788357258,938.2768709725806
84,2.5171871132067204E7,1032899.542194128,858524.4047369957,971.9902992023361
85,2.4940082171630144E7,1020472.06244874,823953.7206270695,1093.4438389539719
86,2.6910821389494658E7,1102971.9959228039,925314.1988537312,990.4003032856518
87,2.4912725013628244E7,1021086.8009953499,897885.4865503311,685.7238684839673
88,2.489921298394561E7,1021653.85024786,836313.0827434063,1031.2431768722006
89,2.5155166968844175E7,1035830.7401762009,910693.77689147,699.1728818999397
90,2.4870587336919546E7,1017707.3369195461,864176.3218488693,853.7673100445006
91,2.485697795311165E7,1017842.2320804596,874512.6319093704,798.018911114004
92,2.4842451015293837E7,1017281.9406836033,827519.7233550549,1060.219606338607
93,2.482953158400774E7,1018404.4118099213,778717.7477638721,1333.769290007485
94,2.4638064062330723E7,1010186.955737114,906471.7808763981,580.4465365873443
95,2.6281573267876625E7,1082494.3790545464,934676.3661317825,821.6270569231776
96,2.4785944260165453E7,1009697.269712925,817335.7576498985,1071.749335620138
97,2.469738339273429E7,1007161.2403793335,823256.7536320686,1023.3628530648022
98,2.5186927724029303E7,1028023.956099987,842034.1213054657,1034.7570709864299
99,2.4743780825084686E7,1009597.1398181915,833248.0355641842,981.5903464648461
100,2.4730085555078745E7,1009898.3404228687,875013.2757372856,749.580467499627
